"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","continentOcean","country","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","typeStatus","fieldNumber","preparationType","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag"
"1","2016-02-02 14:37:47-02","BGBM","B","B 30 0012127","S","Plantae","Arnelliaceae","Southbya","organensis","Southbya organensis","Middle and South America","Brazil","<a href=http://herbarium.bgbm.org/object/B300012127 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B300012127","B300012127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-02-14 19:39:00-02","MO","MOBOT","100568755","PreservedSpecimen","Plantae","Southbyaceae","Southbya","organensis","Southbya organensis","South America","Peru",NA,NA,NA,"Herzog","Alfons Schäfer-Verwimp|Inge Verwimp","Schäfer-Verwimp 11865","1989","10","9","Cusco","Ruins of Machu Picchu.","-72.5333333","-13.15","2350.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2011-07-21 11:25:30-03","MNHN","RECOLNAT_MNHN_PC","PC0734395","PreservedSpecimen",NA,"Arnelliaceae","Southbya","organensis","Southbya organensis",NA,"Brésil","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0734395' target='other'> <mi>dwc_moreinfo</mi></a>","PC0734395",NA,"Herzog","von Lützelburg, P.",NA,"1915","8",NA,NA,"Brazil. Serra dos Orgaos, Morro Assu",NA,NA,"2200",NA,"isotype","6003","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-04-23 15:06:19-03","MN","R-BRYOPHYTA","237228","PreservedSpecimen","Plantae","Arnelliaceae","Southbya","organensis","Southbya organensis",NA,"Brasil","Anastrophyllum piligerum (Nees) Steph.; Telaranea diachanta (Mont.) Engel & Merr.","R000237228","R000237228_001","Herzog","Dias, M.S. 1355; Dias-Melo, R. & Portela, C.",NA,NA,NA,NA,"Rio de Janeiro","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"Marchantiophyta","Jungermanniopsida","Jungermanniales","Dias, M.S.","2017","06","Teresópolis","38539","auto"
