"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:42:02-03","E","E","104501","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1998","11","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113720","<a href=http://data.rbge.org.uk/herb/E00104501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00841260","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","R. S. Santos","1963","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899324' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841260","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","28557","Minas Gerais","Entre Montes Claros e Riacho dos Machados. S. do Espinhaço","-43.426363","-16.403631","NY00841260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00841258","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","W. J. Burchell","1828","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841258","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","7512","Goiás","Ribeirao dos Macácos to Olhos de Agoa (Olhos de Agua, ca. 16°, just above on AGS map and just below on Inst. Bras. map., W 48°45' on AGS map and 48°36' on Inst. Bras. map. In this move he retraces his steps also)",NA,NA,"NY00841258_01 NY00841258_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396114","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","F. Chagas e Silva","1995","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396114","Magnoliophyta","Santalales",NA,"L.",NA,"1880","Paraná","Rodovia Guaragi, Texeira Soares","-50.4606","-25.3683","NY00396114_01","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02269594","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","F. E. L. de Miranda","1983","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2429047' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269594","Magnoliophyta","Santalales",NA,"L.",NA,"714","Pará","PA-149","-49.6735668","-3.764569","NY02269594_01","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396112","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","P. K. H. Dusén","1911","01","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396112","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","11039","Paraná","Imbituva","-50.6042","-25.23",NA,"Imbituva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 01:27:00-03","NY","NYBG","1507838","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","W. E. Broadway","1908","02","06","South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1780740' target='other'> <mi>dwc_moreinfo</mi></a>","NY01507838","Magnoliophyta","Santalales",NA,NA,NA,"2554",NA,"Trinidad. Erin. A small tree on the sea shore.",NA,NA,"NY01507838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396119","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","J. S. Blanchet","1841","11","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396119","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer",NA,"Bahia",NA,"-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00841259","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","B. Maguire","1963","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841259","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","56391","Mato Grosso","100 km north of Cuiba, en route to Diamantino. Brasilia-Acre Highway.","-56.0967","-15.5961","NY00841259_01","Cuiabá","200","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","396105","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","W. E. Broadway","1921","06","11","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396105","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","478","Cayenne","Vicinity of cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-02-01 13:52:00-02","NY","NYBG","396109","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","T. M. Pedersen","1956","04","09","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396109","Magnoliophyta","Santalales","americana","L.","R. A. DeFilipps","3876","Corrientes","Estancia Santa Maria",NA,NA,NA,"Mburucuyá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
