"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:25:57-03","UNESC","CRI","14999","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.","Schwirkowski, P.","2017","11","02","Schwirkowski, P.","2556","2017","11","02","Brasil","Santa Catarina","São Bento do Sul","Bairro Rio Vermelho. Bairro Rio Vermelho. Aterro Sanitário Municipal.","-49.335556","-26.265","49º20'8''W","26º15'54''S","950","950","Flores imaturos, cor verde. córtex amarelado Habitat: Borda de mata Habito: Árvore","CRI014322","CRI014322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","1462","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.","S. M. Silva",NA,NA,NA,"R. Negrelle",NA,"1992","05","15","Brasil","Santa Catarina","Itapoá",NA,"-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,NA,"CRI005060","CRI005060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","1463","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.","S. M. Silva",NA,NA,NA,"R. Negrelle",NA,"1992","07","31","Brasil","Santa Catarina","Itapoá",NA,"-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,NA,"CRI005058","CRI005058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:46-03","E","E","81785","PreservedSpecimen","Plantae","Myrsinaceae","Myrsine","venosa","Myrsine venosa",NA,NA,NA,NA,NA,"Harley, R.","19592","1977","02","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00081785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081785",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","495975","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.",NA,NA,NA,NA,"R. Reitz","5151","1953","01","08","Brazil","Santa Catarina","Araquari","Barra do Sul","-48.7219","-26.3703",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495975","NY00495975_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","495971","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.","Y. B. Harvey",NA,NA,NA,"R. M. Harley","25636","1988","10","26","Brazil","Bahia","Rio de Contas","9 km norte da cidade na estrada para o povoado de Mato Grosso","-41.83","-13.5",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495971","NY00495971_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","495752","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.",NA,NA,NA,NA,"R. Reitz","840","1953","07","16","Brazil","Santa Catarina","Palhoça","Campo do Massiambú","-48.62515","-27.834087",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495752","NY00495752_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1582966","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.","T. T. Carrijo",NA,NA,NA,"H. S. Irwin","28009","1970","03","21","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 25 km E. of Diamantina","-43.50795","-18.1448",NA,NA,"790","790","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410819' target='other'> <mi>dwc_moreinfo</mi></a>","NY01582966","NY01582966_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","592249","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.",NA,NA,NA,NA,"R. M. Harley","H50751","1992","01","10","Brazil","Bahia","Abaíra","Campo de Ouro Fino (baixo)","-41.9","-13.25",NA,NA,"1600","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592249","NY00592249_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01805815","PreservedSpecimen","Plantae","Primulaceae","Myrsine","venosa","Myrsine venosa","A.DC.","J. M. Ricketson",NA,NA,NA,"A. M. Amorim","6257","2006","09","04","Brazil","Bahia","Valença","Entroncamento da Rodovia BA 542 com a BR 101.","-39.3306","-13.2803",NA,NA,"700","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123228' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805815","NY01805815_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
