"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","recordNumber","year","month","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","county","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:35:53-03","E","E","334754","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","Tweedie, John","Temperate South America","UY","Banda Orientale","herbarium specimen of unspecif","BGBASE:361315","<a href=http://data.rbge.org.uk/herb/E00334754 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:53-03","E","E","334756","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","Tweedie, John","Temperate South America","AR","Entre Ríos","herbarium specimen of unspecif","BGBASE:361317","<a href=http://data.rbge.org.uk/herb/E00334756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334756","Provincia de Entre Ríos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:53-03","E","E","334757","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","Schwindt, Elena","Temperate South America","AR","Cainguás; Mineral","herbarium specimen of unspecif","BGBASE:361318","<a href=http://data.rbge.org.uk/herb/E00334757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334757","Provincia de Misiones","691","1948","06","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:53-03","E","E","334755","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","Tweedie, John","Temperate South America","AR","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361316","<a href=http://data.rbge.org.uk/herb/E00334755 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334755","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:53-03","E","E","334753","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","Gillies, John","Temperate South America","AR","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361314","<a href=http://data.rbge.org.uk/herb/E00334753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334753","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:35:53-03","E","E","212649","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.","E. Tropical South America","BR","Vale de Sonhos, 80 km N of Barra do Garcas on the road to Xavantina.","herbarium specimen of unspecif","BGBASE:227680","<a href=http://data.rbge.org.uk/herb/E00212649 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212649","Mato Grosso",NA,"1972","08","29","-52.333333","-15.666667","-52.333333","-15.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493352","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","A. F. M. Glaziou","South America","Brazil",NA,"sheet",NA,"donné par Mme SIMARD, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493352",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","Mart.","J. A. Mears","NY00493352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493351","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","G. G. Hatschbach","South America","Brazil","Rio Campo Real","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493351","Paraná","18356","1968","01","19","-51.4581","-25.3956",NA,NA,"Magnoliophyta","Caryophyllales","Mart.","L. B. Smith; S. F. Smith","NY00493351_01","Guarapuava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00051959","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans","J. A. Ratter","South America","Brazil","Vale de Sonhos (80 km N of Barra do Garças on the road to Xavantina).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051959","Mato Grosso","2311","1972","08","29","-52.33","-15.67",NA,NA,"Magnoliophyta","Caryophyllales","Mart.",NA,"NY00051959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","493355","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","elegans","Gomphrena elegans orientalis","T. M. Pedersen","South America","Brazil","Coxilha do Japejú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493355","Rio Grande do Sul","11663","1977","01","27","-56.4514","-30.3878",NA,NA,"Magnoliophyta","Caryophyllales","Pedersen",NA,"NY00493355_01","Quaraí","orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
