"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1200","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana","L. B. Sm","Brasil","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","3772","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana","L. B. Smith","Brasil","1","254","Elton M. C. Leme; Roberto A. Kautsky; Bruno Rezende Silva; Karl Green","LEME4885","2000","04","20","Espirito Santo","Conceição do Castelo","Próximo a Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:45-03","E","E","271773","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,"BR",NA,"<a href=http://data.rbge.org.uk/herb/E00271773 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Harris, V","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:286359","E00271773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:45-03","E","E","281346","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,"BR",NA,"<a href=http://data.rbge.org.uk/herb/E00281346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Harris, V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:289770","E00281346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:45-03","E","E","280353","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,"BR",NA,"<a href=http://data.rbge.org.uk/herb/E00280353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Harris, V","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:288377","E00280353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:45-03","E","E","271771","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,"BR",NA,"<a href=http://data.rbge.org.uk/herb/E00271771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Harris, V","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:286351","E00271771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:45-03","E","E","280354","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,"BR",NA,"<a href=http://data.rbge.org.uk/herb/E00280354 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Harris, V","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:288378","E00280354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:45-03","E","E","271772","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,"BR",NA,"<a href=http://data.rbge.org.uk/herb/E00271772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Harris, V","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:286356","E00271772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:14-03","MN","R","199083","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana","L.B. Sm.","Brasil",NA,NA,"Costa, A.F.","811","2001","07",NA,"Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010013392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:14-03","MN","R","214118","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana","L.B. Sm.","Brasil",NA,NA,"Moura, R.","861","2009","04","20","Espírito Santo","Cachoeiro de Itapemirim",NA,"-41.1128005981445","-20.8488998413086","35694","auto",NA,NA,NA,"R010013394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
