"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:49-03","UNESC","CRI","2037","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata","(Döll) McClure","L. B. Smith","P. R. Reitiz","7368","1968","12","06","Brasil","Santa Catarina","Brusque","Salto Alto.","-48.917778","-27.098611","48º55'4''W","27º5'55''S","150","150","CRI010055","CRI010055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:55-03","UNESC","CRI","6688","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata","(Döll) McClure","L. B. Smith","R. Reitz","7368","1968","12","06","Brasil","Santa Catarina","Brusque","Salto Alto.","-48.917778","-27.098611","48º55'4''W","27º5'55''S","19","19","CRI010056","CRI010056","1978","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:55-03","UNESC","CRI","2042","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata","(Döll) McClure","L. B. Smith","P. R. Reitiz","7354","1968","08","27","Brasil","Santa Catarina","Brusque","Salto Alto.","-48.917778","-27.098611","48º55'4''W","27º5'55''S","19","19","CRI010063","CRI010063","1978",NA,NA,"Habitat: mata do topo do morro Habito: planta baixa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:32-03","E","E","221753","PreservedSpecimen","Plantae","Gramineae","Aulonemia","aristulata","Aulonemia aristulata",NA,NA,"Davis, P.H.","60426","1976","09","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00221753",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00221753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:232240",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:31:00-03","NY","NYBG","628752","PreservedSpecimen","Plantae","Poaceae","Arundinaria","mucronata","Arundinaria mucronata",NA,NA,"A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"NY00628752","NY00628752_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=214395' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales","possible syntype",NA,NA,NA,NA,NA,NA
"6","2016-11-01 11:22:00-02","NY","NYBG","00861443","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata",NA,"L. G. Clark","L. G. Clark","782","1991","02","02","Brazil","Minas Gerais","Lima Duarte","Serra do Ibitipoca, Parque Estadual (Florestal) do Ibitipoca, trail from the Nucleo Administrativo to the Estacionamento, near Gruta dos Coelhos","-43.87","-21.7",NA,NA,"1200","1200","NY00861443","NY00861443_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933330' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00861444","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata","(Döll) McClure","T. R. Soderstrom","H. S. Irwin","9524","1965","10","25","Brazil","Distrito Federal","Brasília","Ca. 25 km E. of Brasília, road to Planaltina","-47.7647222","-15.61995",NA,NA,"1000","1000","NY00861444","NY00861444_01 NY00861444_02",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933335' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 21:17:00-03","NY","NYBG","884662","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata",NA,NA,"L. G. Clark","1028","1992","02","17","Brazil","São Paulo",NA,"Km 528 of BR-116, across the highway from Posto Alto da Serra Paraiso, between Rio Barreiro and Rio Caapora.","-48.35","-24.97",NA,NA,"620","620","NY00884662","NY00884662_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963298' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","884660","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata","(Döll) McClure","S. A. Renvoize","G. G. Hatschbach","51734","1987","11","24","Brazil","Paraná","Jaguariaíva","Serra das Furnas, Rio Lambari","-49.7056","-24.2511",NA,NA,NA,NA,"NY00884660","NY00884660_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963294' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 16:31:00-03","NY","NYBG","627850","PreservedSpecimen","Plantae","Poaceae","Aulonemia","aristulata","Aulonemia aristulata",NA,"E. J. Judziewicz","L. B. Smith","1586","1928","12","31","Brazil","Rio de Janeiro",NA,"Vicinity of Monte Serrat, Mt. Itatiaya, Estaçao Biologica","-44.63","-22.47",NA,NA,"800","800","NY00627850",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=214396' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
