"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","occurrenceRemarks","locality","imagecode","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","typeStatus"
"1","2021-03-30 12:49:41-03","EAO","IAN","94059","PreservedSpecimen","Plantae","Dicotiledônea","Scrophulariaceae","Agalinis","schwackeana","Agalinis schwackeana","(Diels) V.C. Souza & Giul.","Souza, VC","1988","01","Glaziou, AFM","19736","Southern America","Brasil","IAN094059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","85181","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana","(Dubs) V.C. Souza","Rando, J.G. & Souza, V.C.",NA,NA,"Dombrowski, L.T.","6193.0",NA,"Brasil","ESA085181","1975","12","15","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-06 09:56:54-03","UFOP","OUPR","30800","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana","(Diels) V.C.Souza & Giul.","Souza, V.C.","1989","07","Magalhães-Gomes, C.T.","s.n.",NA,"Brasil",NA,"1893","02",NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","06","Fl. lutei. In humidis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:45:00-03","MBM","MBM","60117","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Gerardia","schwackeana","Gerardia schwackeana","Diels","Hatschbach, G.",NA,NA,"Kummrow, R.","220","Southern America","Brazil","MBM060117",NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,"Rio Atuba","MBM060117",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 08:50:58-03","MNHN","RECOLNAT_MNHN_P","P03005767","PreservedSpecimen",NA,NA,"Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana","(Diels) V.C.Souza & Giul.",NA,NA,NA,"Glaziou",NA,NA,"Brasil","P03005767","1892","4","22","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03005767' target='other'> <mi>dwc_moreinfo</mi></a>","[Serra do Cipó].","P03005767_01","19736","hb",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:39:52-03","UFMG","BHCB","145984","PreservedSpecimen","Plantae","Dicotyledon","Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana","(Diels) V.C.Souza & Giul.",NA,"2020","07","Rezende, SG; Mendes, MS","3818","Southern America","Brasil","BHCB056333","2009","07","28","Minas Gerais","Mariana","-43.514722","-20.154722",NA,NA,NA,"Atualizado via BHZB 8301; Herbácea.; Campo rupestre sobre minério de ferro.","Mina Samarco, Norte de Alegria 1 e 6.",NA,NA,NA,"-43.514722","-20.154722","1250","1250",NA,NA,NA
"7","2019-06-10 10:11:22-03","FZB-BH","BHZB","8301","S","Plantae",NA,"Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana",NA,"Scatigna, A.V.","2014","09","Rezende, S.G et al.",NA,NA,"Brasil",NA,"2009","07","28","MG","Mariana","-43.514722","-20.154722",NA,NA,NA,"Coord: 20° 9' 17 S; 43° 30' 53W. Alt: 1180 a 1250 m. BHCB 145984","Mina de Samarco ; Norte de Alegria 1 e 6",NA,NA,NA,"43W 30' 53","20S 9' 17","1180","1180",NA,NA,NA
"8","2020-09-02 16:35:27-03","Cenargen","CEN","92787","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana","(Diels) V.C.Souza & Giul.","G. M. Antar","2015","11","José Rubens Pirani","4144",NA,"Brasil","CEN00092787","1998","03","02","MG","CONGONHAS DO NORTE","-43.725833","-18.881666",NA,NA,NA,"Campo arenoso quartzoso, ao sol. Ramos e pedicelo vinho-profundo; cálice creme vináceo, corola rosa bem claro, pintalgada de vinho na fauce. Doação da Universidade de São Paulo - Herbário SPF. Flora da Serra do Cipó.","Serra da Carapina (Serra Talhada na folha IBGE), setor N da Serra do Cipó.","CEN00092787",NA,"Exsicatas","-43.725833","-18.881666","1220","1220","1",NA,NA
"9","2019-11-13 11:27:45-03","USP","SPF","129742","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Agalinis","schwackeana","Agalinis schwackeana","(Diels) V.C.Souza & Giul.","Antar, GM","2015","11","Pirani, JR","4144",NA,"Brasil","SPF00129742","1998","03","02","Minas Gerais","Congonhas do Norte","-43.725833","-18.881667",NA,NA,NA,NA,"Serra da Carapina","SPF00129742",NA,NA,"-43.725833","-18.881667","1220","1220",NA,NA,NA
"10","2019-09-04 19:41:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Orobanchaceae","Gerardia","schwackeana","Gerardia schwackeana",NA,NA,NA,NA,"C. A. W. Schwacke","7939","South America","Brazil",NA,"1892","4","22",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Holotype"
