"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","locality","barcode","imagecode","recordNumber","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","typeStatus","fieldNumber","sex","preparationType"
"1","2021-02-07 08:35:27-03","MN","R","223899","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","Uribbe, F.P. 128; Neri, J.","2013","03","13","Brasil","Espirito Santo","Burrarama","-40.909028","-20.458028","40°54'32.5''W","20°27'28.9''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:27-03","MN","R","224020","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","Uribbe, F.P. 128; Néri, J.","2013","03","13","Brasil","Espírito Santo","Cachoeiro de Itapemirim","-40.909028","-20.458028","40°54'32,5''W","20°27'28,9''S","Burarama.","R010018827","R010018827 R010018827_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:27-03","MN","R","213676","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","Moura, R.","2008","01","19","Brasil","Espírito Santo","Castelo","-41.184700012207","-20.6035995483398",NA,NA,NA,"R010016873",NA,"494","23588","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:29-03","UFV","VIC","26214","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae",NA,"Paula, C.C. de","2001","12","20","Brasil","Minas Gerais","Fervedouro","-42.2789001464844","-20.7255992889404",NA,NA,"PESB, Córrego São Bento, início da mata","VIC026214","VIC026214","s.n.","20038","auto","Paula, C.C. de","2001","12","16","Epífita, brácteas escapais e florais verdes com pintas vinicolor, apenas uma população no PESB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:33:02-03","UFJF","CESJ","55650","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","F.C. Favoreto; M.M. Redling","2008","09","04","Brasil","Espírito Santo","Cachoeiro do Itapemirim",NA,NA,NA,NA,"Burarama, Canta Galo","CESJ055650",NA,"50",NA,NA,"F.C. Favoreto; A.P.G. de Faria","2008","09","04","Planta com aproximadamente 0,2 m. Em fruto. Folhas verdes com pintas vináceas.","Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:33:02-03","UFJF","CESJ","55684","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","F.C. Favoreto; A.P.G. de Faria","2008","04","14","Brasil","Espírito Santo","Cachoeiro do Itapemirim",NA,NA,NA,NA,"Burarama, Canta Galo","CESJ055684",NA,"41",NA,NA,"F.C. Favoreto; A.P.G. de Faria","2009","04",NA,"Folhas com bainhas vinosas internamente e lâminas verdes com máculas vinosas em ambas as faces. Brácteas do escapo, brácteas florais e sépalas verdes com máculas vinosas. Pétalas brancas.","Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:19:35-03","MBM","MBM","173148","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Sm.","Hatschbach, G.","1995","02","17","Brazil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818",NA,NA,"São Bento de Urânia","MBM173148","MBM173148","61618","32447","auto","Leme, E.M.C.",NA,NA,NA,"Cultivada na Estação Biológica de Sapitanduva sob nº 642",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:19:35-03","MBM","MBM","181564","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Sm.","Hatschbach, G.","1995","07","25","Brazil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818",NA,NA,"São Bento de Urânia","MBM181564","MBM181564","62918","32447","auto","Leme, E.M.C.",NA,NA,NA,"Cultivada na Estação Biológica de Sapitanduva sob nº 570",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","3764",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","H. Q. Boudet Fernandes","1987","06","08","Brasil","Espírito Santo","Santa Teresa","-40.604167","-19.780833","40W36'15","19S46'51","Vinte e Cinco de Julho","MBML003764","MBML003764","2163",NA,NA,"A. Costa/Dez.1993",NA,NA,NA,"Epífita, inflorescência seca, folha com mácula vinho mata primária derrubada, culta/herb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","15415",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","L. Kollmann; et al","2001","09","19","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075","40W33'11","19S54'27","Reserva Biológica Augusto Ruschi - Nova Lombardia","MBML015415","MBML015415","4654",NA,NA,"L. Kollmann/19-09-2001",NA,NA,NA,"Epífita na sombra. Frutos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
