"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","yearIdentified","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184591","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz, G.P.Lewis & Allkin","L. P. de Queiroz","R. P. Belém","1540","1965","08","10","South America","Brazil","Espírito Santo","Reserva Florestal de Sooretama.","-40.10894","-18.996963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471517' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184591","NY01184591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1184590","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz, G.P.Lewis & Allkin","L. P. de Queiroz","R. P. Belém","1540","1965","08","10","South America","Brazil","Espírito Santo","Reserva Florestal de Sooretama.","-40.10894","-18.996963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184590","NY01184590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886897","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz, G.P.Lewis & Allkin","L. P. de Queiroz","J. G. Kuhlmann","6583","1943","12","01","South America","Brazil","Espírito Santo","Margens do Rio Fancas, Colatina Rio Doce.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1065125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886897","NY00886897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886896","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz, G.P.Lewis & Allkin","L. P. de Queiroz","R. P. Belém","1540","1965","08","10","South America","Brazil","Espírito Santo","Reserva Florestal de Sooretama.","-40.10894","-18.996963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1065118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886896","NY00886896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:09:10-03","UFES","SAMES","7087","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz et al.","M.P.Morim","Curso de Campo UFES, UFRRJ, IBRJ, 2017.","1","2017","10",NA,NA,"Brasil","Espírito Santo","Reserva Biológica de Sooretama, estrada do quirino.","-40.0978012084961","-19.1968994140625",NA,"Presença de botões marrons e flores amarelas. Folha discolor Habitat: Mata de Tabuleiro Habito: Árvore","SAMES07087",NA,"Sooretama","-401247223.0","-189977777.0","33715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:27:36-03","MBM","MBM","86685","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz, G.P.Lewis & Allkin",NA,"Lima, H.C. de","1643","1981","12","14","Southern America","Brazil","Espirito Santo","Reserva Florestal da Companhia Vale do Rio Doce","-40.0722007751465","-19.3910999298096",NA,"Árvore com 25m de alt. Flores com cálice ferrugíneo, corola amarela, pilosa na face dorsal.; Mata.","MBM086685","MBM086685","Linhares",NA,NA,"48094","auto","PARATYPE",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:27:36-03","MBM","MBM","98386","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P.Queiroz, G.P.Lewis & Allkin","Lima, H.C. de","Hatschbach, G.; Silva, J.M.; Silva, J.M.","48713","1984","12","07","Southern America","Brazil","Espírito Santo","Rancho Alto","-40.0722007751465","-19.3910999298096",NA,"Árvore 8m, flores amarelas. Mata pluvial; Árvore, 8m, flores amarelas.; Mata Pluvial.","MBM098386","MBM098386","Linhares",NA,NA,"48094","auto","PARATYPE","1986",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:27:36-03","MBM","MBM","86685","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","Queiroz & Alkin",NA,"Lima, H.C. de","1643","1981","12","14","Southern America","Brazil","Espírito Santo","Reserva Florestal da Cia. Vale do Rio Doce","-40.0722007751465","-19.3910999298096",NA,"Árvore com 25m alt. Flores com cálice ferrugíneo, corola amarela, pilosa na face dorsal. Frequente na mata alta","MBM086685","MBM086685","Linhares",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:27:36-03","MBM","MBM","162798","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","Queiroz & Alkin","Queiróz, L.P. de","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","60091",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Reserva Florestal da Sooretama","-40.0722007751465","-19.3910999298096",NA,NA,"MBM162798","MBM162798","Linhares",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2009-12-05 05:17:00-02","MO","MOBOT","3196498","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","papillanthera","Moldenhawera papillanthera","L.P. Queiroz, G.P. Lewis & Allkin","G.P.Lewis(K)","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 60061","1993","11","10","South America","Brazil","Espírito Santo","Reserva Florestal da Sooretama (mun. Linhares). Mata pluvial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
