"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"337","2021-02-08 12:45:27-03","UFRGS","ICN","068693","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Barboza, G","2006",NA,NA,"Occhiani","8466","1978","05","25","Brasil","PR","Morretes","Grota Funda, Estrada Graciosa","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"ICN00033418",NA,"flor branca; orla da mata","Dicotyledon",NA,"América do Sul",NA,"30514","auto",NA,NA,NA,NA,NA,NA
"338","2021-02-08 12:45:27-03","UFRGS","ICN","090269","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Barboza, G","2006",NA,NA,"Sobral, M; et al.","6210","1990","04",NA,"Brasil","PR","Quatro Barras","Trilha dos Jesuítas","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"ICN00033419",NA,"arbusto 2-3 m, flores brancas, frutos imaturos; em interior de mata litorânea","Dicotyledon",NA,"América do Sul",NA,"17116","auto",NA,NA,NA,NA,NA,NA
"339","2021-02-08 12:45:27-03","UFRGS","ICN","145129","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","G.; E.L.C. Soares, LA Mentz",NA,NA,NA,"Vendruscolo, GS; Soares, ELC","535","2006","03","17","Brasil","RS","Cambará do Sul","estrada de chão de Cambará do Sul para Praia Grande Serra do Faxinal","-50.1446990966797","-29.0478000640869",NA,NA,"665","665","ICN00002029","ICN00002029 ICN00002029_1","Arbusto com 0,8 m de altura.; Beira de estrada. 29°10'95.6S; 50°00'13.0W.","Dicotyledon",NA,"América do Sul",NA,"30776","auto",NA,NA,NA,NA,NA,NA
"340","2021-02-08 12:45:27-03","UFRGS","ICN","145120","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","G.; E.L.C. Soares, LA Mentz",NA,NA,NA,"Vendruscolo, GS; Soares, ELC","526","2006","03","16","Brasil","RS","Cambará do Sul","Parque Nacional dos Aparados da Serra Trilha para o Cânion Faxinal","-50.1446990966797","-29.0478000640869",NA,NA,"958","958","ICN00002039","ICN00002039","Arbusto com ca. de 1,50 m de altura.; Região de Floresta Ombrófila Mista. Frequente. 29°12'78.5S; 50°09'55.6W (coordenadas de um local próximo).","Dicotyledon",NA,"América do Sul",NA,"30776","auto",NA,NA,NA,NA,NA,NA
"341","2021-02-08 12:45:27-03","UFRGS","ICN","137566","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Mentz, LA",NA,NA,NA,"Montanha, JA; Bordignon, SAL","s.n.","2004","03","23","Brasil","RS","Canela","Morro Pelado","-50.815601348877","-29.3656005859375",NA,NA,NA,NA,"ICN00002042","ICN00002042","Material testemunho para trabalho em fitoquímica de Jarbas Alves Montanha","Dicotyledon",NA,"América do Sul",NA,"16452","auto",NA,NA,NA,NA,NA,NA
"342","2021-02-08 12:45:27-03","UFRGS","ICN","202107","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Grings, M","2020","05","06","Grings, M","2135","2020","05","06","Brasil","RS","Gramado","Bairro Moura, WGS 84 -29.358608°S -50.877693°W","-50.8739013671875","-29.3785991668701",NA,NA,"800","800","ICN00044366",NA,"arbusto com 1,7 m de altura; flores com corola creme salpicada de verde na porção proximal da face adaxial; frutos imaturos verde-amarelados; em clareira de Floresta Ombrófila Mista","Dicotyledon",NA,"América do Sul",NA,"13851","auto",NA,NA,NA,NA,NA,NA
"343","2021-02-08 12:45:27-03","UFRGS","ICN","190501","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, ELC","2006","08","24","Sobral, M; Jarenkow, JA","8027",NA,NA,NA,"Brasil","RS","Morrinhos do Sul","Morro do Forno","-49.934700012207","-29.3649997711182",NA,NA,"150","150","ICN00002025","ICN00002025 ICN00002025_1","Arbusto, 2m, flores brancas, sem odor pronunciado, frutos imaturos; Região de mata atlântica, na subida da trilha Morro do Forno-Josafá","Dicotyledon",NA,"América do Sul",NA,"12766","auto",NA,NA,NA,NA,NA,NA
"344","2021-02-08 12:45:27-03","UFRGS","ICN","131891","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Barboza, G","2006",NA,NA,"Sobral, M; Jarenkow, JA","8007",NA,NA,NA,"Brasil","RS","Morrinhos do Sul","Tajuva","-49.934700012207","-29.3649997711182",NA,NA,"600","600","ICN00033420",NA,"Região intermediária entre formação de mata atlântica e mata nebular, na subida da trilha Tajuva-Josafá; arvoreta 3m, em interior de mata; flores brancas; frutos imaturos.","Dicotyledon",NA,"América do Sul",NA,"12766","auto",NA,NA,NA,NA,NA,NA
"345","2021-02-08 12:45:27-03","UFRGS","ICN","156638","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, ELC","2006",NA,NA,"Soares, ELC","250","2004","09","30","Brasil","RS","Riozinho",NA,"-50.4524993896484","-29.6410999298096",NA,NA,NA,NA,"ICN00032845",NA,"beira de estrada de chão","Dicotyledon",NA,"América do Sul",NA,"18583","auto",NA,NA,NA,NA,NA,NA
"346","2021-02-08 12:45:27-03","UFRGS","ICN","137976","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Hagelund, K","16218","1987","04","07","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"ICN00002044","ICN00002044 ICN00002044_1","É o mesmo que o ICN 142744","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
