"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","phylum","identifiedBy","yearIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","monthIdentified","dayIdentified","class","order","individualCount"
"1","2021-01-14 15:25:45-03","MN","R","212104","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Vargens, F.A.C.","14","2008","11","29","Brasil","Santa Catarina","Salete","Em cultivo na UFSC","-49.999698638916","-26.9799995422363","13531","R010004724","R010004724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:32:45-03","UFJF","CESJ","67825","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","D.E.F. Barbosa; G.A. Basilio","210","2014","09","28","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca, Fazenda do Tanque, Nanofloresta nebular","-43.913333","-21.698611",NA,"CESJ067825",NA,NA,"Angiosperma","L. Menini Neto","2014","América do Sul","-43.913333","-21.698611","1300","1300","Epífita, da base do tronco até 2m de altura. Bráctea do escapo rosa, sépalas e pétalas verdes com ápice lilás. Interior de mata.",NA,NA,NA,NA,NA
"3","2019-11-21 14:32:45-03","UFJF","CESJ","68616","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","B. Moreira; L.C.D. Dias","282","2015","06","20","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás das casas dos gestores","-43.899167","-21.715278",NA,"CESJ068616",NA,NA,"Angiosperma","B. Moreira","2016","América do Sul","-43.899167","-21.715278","1340","1340","Epífita, frutos verdes. Interior de mata",NA,NA,NA,NA,NA
"4","2020-10-14 10:00:04-03","FURB","FURB","17100","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Korte, A.; Kniess, A.","1048","2009","11","25","Brasil","Santa Catarina","Alfredo Wagner","Alto Limeirinha.","-49.5005556","-27.6302778",NA,"FURB19386","FURB19386",NA,NA,"Korte, A","2009",NA,"-49.5005556","-27.6302778","642","642","Florística IFFSC 309 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita; flor bráctea rosa","11","25",NA,NA,NA
"5","2020-10-14 10:00:04-03","FURB","FURB","17151","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Korte, A.; Kniess, A.","1081","2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","Soldadinho.","-49.4108333","-27.6291667",NA,"FURB19387","FURB19387 FURB19387_1",NA,NA,"Korte, A","2009",NA,"-49.4108333","-27.6291667","772","772","Florística IFFSC 310 (Epífita) Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração Habito: epífita; flor bráctea rosa, flor ver com borda e estames azuis","11","28",NA,NA,NA
"6","2020-10-14 10:00:04-03","FURB","FURB","19267","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Korte, A.; Kniess, A.","1253","2009","12","01","Brasil","Santa Catarina","Alfredo Wagner","Rio das Demoras.","-49.3211111","-27.6313889",NA,"FURB01121","FURB01121 FURB01121_1",NA,NA,"Korte, A","2010",NA,"-49.3211111","-27.6313889","942","942","Florística IFFSC 311 (Epífita) Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; interior do fragmento Habito: epífita; flor verde com extremidades azuis","01","25",NA,NA,NA
"7","2020-10-14 10:00:04-03","FURB","FURB","21940","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1535","2010","02","24","Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.1294445","-27.0002778",NA,"FURB19388","FURB19388",NA,NA,"Bonnet, A","2010",NA,"-50.1294445","-27.0002778","812","812","Forófito 10. Epífita IFFSC e625b (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; Fruto branco com listras pretas;","08","23",NA,NA,NA
"8","2020-10-14 10:00:04-03","FURB","FURB","43405","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Gasper, A.L. de; Funez, L.A. & Vieira, C.","3283","2013","12","03","Brasil","Santa Catarina","Rio do Sul","Estrada Rio do Sul-Lontras.","-49.5402777","-27.2475",NA,"FURB19384","FURB19384",NA,NA,"Funez, L.A.","2013",NA,"-49.5402777","-27.2475000","720","720","Projeto REFLORA FAPESC 14843/2011-1. Habitat: floresta Habito: epífita; flor brácteas rosas e flores amareladas","12","03",NA,NA,NA
"9","2020-12-21 16:19:20-03","MBM","MBM","240305","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Carneiro, J.","444","1998","07","18","Brazil","Paraná","Jundiaí do Sul","Rio Jundiaí","-50.247501373291","-23.4367008209229","17300","MBM240305","MBM240305","auto",NA,"Hatschbach, G.",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:18:23-03","UFPR","UPCB","51575","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Gaiotto, D.F.","187","2003","08","26","Brasil","Paraná","Irati","Rodovia 277, sentido Cadeadinho","-50.6511001586914","-25.4671993255615","47271",NA,NA,"auto",NA,"Gaiotto, D.F.","2003",NA,NA,NA,NA,NA,"Epífita isolada, escapo com lanugem branco farinosa. Cultivada..","09",NA,NA,NA,NA
