"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","615507","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","C. M. D. E. Legrand","R. Reitz","1894","1954","06","21","South America","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081","15","15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615507","NY00615507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00749514","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","A. M. Amorim","W. W. Thomas","11781","1998","02","09","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso, Transect Quadrat 3","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749514","NY00749514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:23-03","UFRJ","RFA","25655","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","G. M. Barroso","F. M. de B. Pereira","17/47","2000","10","28",NA,"Brasil","Rio de Janeiro","Guapimirim","Fazendas Sendas.","-43.078611","-22.681111","2.5","2.5",NA,"Árvore, 5 m de altura, 11 cm de DAP, folha verde, comum no local.","RFA42084",NA,"2001","08","01","43º4'43''W","22º40'52''S",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:39-03","UFRJ","RFA","5930","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","G.M. Barroso","E. Pereira",NA,"1958","12","04",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado - Cotia","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore de flor alva; frutos rubros com 2 sementes","RFA46658",NA,"1988",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:39-03","UFRJ","RFA","15939","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","G.M. Barroso","P. Occhioni","6832","1975","01","00",NA,"Brasil","Rio de Janeiro","Magé","Serra dos Órgãos, próximo Magé","-43.040599822998","-22.6527996063232",NA,NA,NA,"Arbusto de 5 a 6 m de altura; flores alvas","RFA13725",NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:39-03","UFRJ","RFA","4989","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","G.M. Barroso","P. Occhioni","1902","1958","12","04",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Matas da Vista Chinesa - Cotia","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore; flores alvas; fruto maduro rubro com 2 sementes apenas","RFA28372",NA,"1971",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:44:42-03","UNEB","HUNEB","7972","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","Berg",NA,"Guedes, M.L.","8215","2001","02","12",NA,"Brasil","Bahia","Salvador","Dunas de Itapuã, atrás do Motel SKY","-38.5","-12.966667",NA,NA,NA,NA,"HUNEB0007972",NA,NA,NA,NA,"38W30'0''","12S58'0''",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"8","2019-10-09 11:21:18-03","UFBA","ALCB","036465","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","Barroso, GM","Guedes, ML; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1503","1994","12","30","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.471111","-12.456389","1040","1040",NA,"4,00 m. Folhas simples, discolores, glabras, coriáceas. Inflorescência com botões esverdeados. frutos imaturos verdes.; Mata ciliar ao longo de um canal de drenagem pluvial. Arenito e colúvio pedregoso.",NA,NA,"1997",NA,NA,"-41.471111","-12.456389",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-25 16:51:17-03","UFBA","ALCB","52164","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","Guedes, ML","Guedes, ML; Guaré, F; Cerqueira, MD de","8215a","2001","02","12","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapoã, atr s do motel sky","-38.5","-12.966667",NA,NA,NA,"4,0 m. Folhas coriáceas, discolores. Botões esverdeados.",NA,NA,"2001","04",NA,"-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:21:18-03","UFBA","ALCB","82090","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","Guedes, ML","Guedes, ML; Guaré, F; et al.","14257","2007","12","08","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Margem do Rio São José","-41.383333","-12.55",NA,NA,NA,"de ca 5 m de altura. Folhas cartáceas, discolores, com a face adaxial verde intenso e abaxial verdeclaro com muitas glândulas translúcidas. Inflorescência com botões esverdeados. Freqüente.",NA,NA,"2008","01",NA,"-41.383333","-12.55",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:21:18-03","UFBA","ALCB","82092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","Guedes, ML","Guedes, ML; Guaré, F; et al.","14259","2007","12","08","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Margem do Rio São José","-41.383333","-12.55",NA,NA,NA,"de ca 3 m de altura. Folhas cartáceas, discolores. Inflorescência axilar, botões esverdeados.","ALCB060136",NA,"2008","01",NA,"-41.383333","-12.55",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:21:18-03","UFBA","ALCB","82108","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg","Guedes, ML","Guedes, ML; Guaré, F; et al.","14274","2007","12","08","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Margem do Rio São José","-41.383333","-12.55",NA,NA,NA,"de ca 6 m de altura. Folhas Coriáceas, discolores. Inflorescência axilares, flores passadas. Freqüente.",NA,NA,"2008","01",NA,"-41.383333","-12.55",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:06:42-03","NBC","NL-BOTANY","U.1450937","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg",NA,"Kuhlmann M",NA,"1951","12","04","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1450937","NL-U1450937",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0018195",NA,NA,NA,NA
"14","2020-02-08 10:06:42-03","NBC","NL-BOTANY","U.1450938","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O.Berg",NA,"Unknown; Antenor",NA,"1927","03","21","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1450938","NL-U1450938",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0018193",NA,NA,NA,NA
"15","2020-02-08 10:06:42-03","NBC","NL-BOTANY","L.2521786","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana parviflora","Kiaersk.",NA,"Hatschbach GG",NA,"1951","11","18","Southern America","Brazil",NA,NA,"Est Parana, Mun Piraquara, Campininha.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2521786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2521786","NL-L2521786",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"parviflora",NA,NA,NA
"16","2021-01-14 15:32:11-03","MN","R","8887","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O. Berg","Legrand, C.D.","Glaziou, A.F.M.","10804","1878","12","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jacarepagua","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Plantas do Brasil Central","R000008887","R000008887_001",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:31:26-03","IAP","PACA-AGP","64863","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O. Berg","C. D. Legrand","Reitz & Klein","1894","1954","06","21",NA,"Brasil","SC","Itajaí","Cunhas","-48.6618995666504","-26.9078006744385","15","15",NA,"8m de altura e fruto imaturo verde. HBR 10242. Habitat: mata Hábito: arvoreta","PACA064863",NA,"1956",NA,NA,NA,NA,"27253","auto","Magnoliatae",NA,NA,NA,NA,NA
"18","2019-08-27 13:31:26-03","IAP","PACA-AGP","64882","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O. Berg","D. Legrand","R. Klein","1419","1955","06","23",NA,"Brasil","SC","Itajaí","Cunhas","-48.6618995666504","-26.9078006744385","15","15",NA,"8m de altura e fruto imaturo verde. HBR 10209. Habitat: mata Hábito: arvoreta","PACA064882",NA,"1956",NA,NA,NA,NA,"27253","auto","Magnoliatae",NA,NA,NA,NA,NA
"19","2019-08-27 13:31:26-03","IAP","PACA-AGP","64886","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","regeliana","Marlierea regeliana","O. Berg","D. Legrand","R. Klein","1472","1955","07","26",NA,"Brasil","SC","Itajaí","Cunhas","-48.6618995666504","-26.9078006744385","15","15",NA,"8m de altura e fruto imaturo verde. HBR 10200. Habitat: mata Hábito: arvoreta","PACA064886",NA,"1956",NA,NA,NA,NA,"27253","auto","Magnoliatae",NA,NA,NA,NA,NA
