"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:27-03","UNESC","CRI","12423","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","Renato Colares","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Praia do Pinho.","-48.637778","-27.001111","48º38'16''W","27º0'4''S","Coleta 81. Flor amarela.","CRI010630","CRI010630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:27-03","UNESC","CRI","12425","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","Renato Colares & Aline V. Guislon","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","PINHONAT.","-48.579722","-27.018056","48º34'47''W","27º1'5''S","Coleta 80.","CRI010632","CRI010632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:27-03","UNESC","CRI","12424","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","Peterson T. Padilha & Renato Colares","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Praia do Pinho.","-48.637778","-27.001111","48º38'16''W","27º0'4''S","Coleta 82.","CRI010631","CRI010631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:27-03","UNESC","CRI","12438","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","Aline Votri Guislon & Peterson T. Padilha","2017","07","17","Alexandre Medeiros","2017","04","21","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 139. Habito: Arbustivo","CRI010645",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","67689","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","C. E. Anderson",NA,NA,NA,"L. B. Smith","1957","03","28","Brazil","Santa Catarina","Florianópolis","Canavieiras, Ilha de Santa Catarina.","-48.4686756","-27.4355461",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067689","NY00067689_01",NA,NA,"Magnoliophyta","Malpighiales","isotype","12276","South America","1","5","sheet",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","476113","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","C. E. Anderson",NA,NA,NA,"E. H. G. Ule","1887","04","01","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476113","NY00476113_01",NA,NA,"Magnoliophyta","Malpighiales",NA,"711","South America",NA,NA,"sheet",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01857105","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson",NA,NA,NA,NA,"G. W. Barclay","1836","03",NA,"Brazil",NA,NA,"Voyage of the H. M. S. Sulphur. Capt. F. W. Beechey 1836-37; Capt. E. Belcher 1837-41",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2082318' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857105","NY01857105_01",NA,NA,"Magnoliophyta","Malpighiales",NA,"60","South America",NA,NA,"sheet",NA,NA,NA,NA
"8","2019-10-09 11:19:09-03","UFBA","ALCB","034186","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C. Anderson","Hatschbach, G","1997",NA,NA,"Cordeiro, J","1994","04","30","Brasil","Santa Catarina","Penha","praia vermelha","-48.6458015441895","-26.7693996429443",NA,NA,"flor amarela.; restinga arbustiva.","ALCB041166",NA,"9872","auto","Dicotyledon",NA,NA,"314","Southern America",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:55:33-03","NBC","NL-BOTANY","L 0016772","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C.E.Anderson","Anderson C",NA,NA,NA,"Smith LB; Reitz R","1957","03","28","Brazil","Santa Catarina",NA,"Brazil, Santa Catarina","-53.733333","-26.533333","-53.733333","-26.533333","Mun. Florianopolis: rocky shore<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200016772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0016772","NL-L0016772",NA,NA,NA,"Malpighiales","isotype",NA,"Southern America",NA,NA,NA,"Magnoliopsidae","961290228",NA,NA
"10","2021-01-14 15:31:30-03","MN","R","229889","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","catarinensis","Peixotoa catarinensis","C. Anderson",NA,NA,NA,NA,"Alves, R.J.V.","1987","10","10","Brasil","Minas Gerais","Tiradentes",NA,"-44.1781005859375","-21.1103000640869",NA,NA,NA,"R010029411",NA,"10355","auto",NA,NA,NA,"47",NA,"1150","1150",NA,NA,NA,NA,NA
