"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","typeStatus","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:40:47-03","E","E","84730","PreservedSpecimen","Plantae","Leguminosae","Mimosa","acutistipula","Mimosa acutistipula","França, F., Melo, E., Proença, C. et al","2262","1997","05","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93884","<a href=http://data.rbge.org.uk/herb/E00084730 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-28 14:55:00-02","NY","NYBG","00932599","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. Fernandes","s.n.","1979","04","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932599","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Piauí","Carnaiba-S. Raimundo Nonato","NY00932599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","418856","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","R. M. Harley","18967","1977","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418856","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","30km along road NW from Gentio do Ouro to Sao Inacio","NY00418856_01","R. C. Barneby","-42.67","-11.28","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 13:01:00-03","NY","NYBG","418862","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. G. Fernandes",NA,"1985","08","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418862","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Ceará","Carrasco, Xique-Xique, Sao Benedito, Chapada da Ibiapaba","NY00418862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-28 14:55:00-02","NY","NYBG","00932601","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. G. Fernandes","s.n.","1981","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932601","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Piauí","Estrada Bom Jesus- Estaçao Ecológica de Uruçui-Una (20 km antes da Estaçao). Ribeiro Gonçalves","NY00932601_01",NA,"-45.2419","-7.5583",NA,NA,"Ribeiro Gonçalves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","442792","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","L. P. de Queiroz","3396","1993","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=84887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442792","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Ca. 3km N de Agua de Rega na estrada para Souto Soares, localmente conhecido como ladeiro do Veio Dedé","NY00442792_01","J. Santos Silva","-41.7714","-12.1494","1000","1000","Iraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 14:55:00-02","NY","NYBG","00932573","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","G. Gardner","2135","1840",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932573","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Piauí","Brasil trop. Prov. Piauhy","NY00932573_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","418865","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","G. G. Hatschbach","42092","1979","03","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418865","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Rod. BR-020, 10km N de Barreiras","NY00418865_01","R. C. Barneby","-44.99","-12.15","500","500","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01344766","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula ferrea","O. C. Nascimento","1048","1985","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1594259' target='other'> <mi>dwc_moreinfo</mi></a>","NY01344766","Magnoliophyta","Fabales","ferrea","Barneby","Pará","Marabá, Serra dos Carajás, estrada do aeroporto","NY01344766_01","J. Santos Silva","-50.0017244","-6.1172889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01344767","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula ferrea","B. G. S. Ribeiro","1383","1976","06","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1594255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01344767","Magnoliophyta","Fabales","ferrea","Barneby","Pará","Serra dos Carajás","NY01344767_01","R. C. Barneby","-50.6112644","-6.028582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
