"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","875285","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore","J. T. Mickel","A. Salino | R. Mota","8915","2003","08","09","South America","Brazil","Minas Gerais","Conceição do Mato Dentro","No entorno do Parque Natural Municipal do Ribeirão do Campo, na área conhecida como Capão do Felipe.","-43.425","-19.0372","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875285","NY00875285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3108079","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Humb. & Bonpl. ex Willd.) T.Moore",NA,"H. S. Irwin","29112","1971","01","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3580841' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108079","NY03108079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","875284","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore","J. T. Mickel","A. Salino","2749","1996","05","29","South America","Brazil","Minas Gerais","Congonhas","Serra do Cipó.","-43.8578","-20.4997",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875284","NY00875284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","809749","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore","J. T. Mickel","J. L. Zarucchi","5800","1987","09","26","South America","Colombia","Antioquia","Frontino","Km 10 of road Nutibara-Murrí","-76.35","6.77","1970","1970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809749","NY00809749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","875286","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore","J. T. Mickel; R. C. Moran","A. Salino | P. Morais","5093","2000","02","23","South America","Brazil","Minas Gerais","Serro","Distrito de Milho Verde, Cachoeira do Moinho.","-43.3792","-18.6047",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875286","NY00875286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 19:02:00-03","NY","NYBG","809751","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum",NA,NA,"A. C. Brade","9852","1929","10",NA,"South America","Brazil","Rio de Janeiro","Teresópolis","Theresopois, Pedra Chapadão","-42.9656","-22.4122",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809751","NY00809751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02597125","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore",NA,"R. de F. Novelino","799","1990","10","15","South America","Brazil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas.","-43.5080986022949","-20.2875003814697",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2870708' target='other'> <mi>dwc_moreinfo</mi></a>","NY02597125","NY02597125_01","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","809748","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore","J. T. Mickel","A. Allart","374","1924","12",NA,"South America","Venezuela",NA,NA,"Colonia Tovar","-67.285333","10.408256","1800","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809748","NY00809748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 19:02:00-03","NY","NYBG","809750","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum",NA,NA,"E. H. G. Ule","21250","1900","02",NA,"South America","Brazil","Rio de Janeiro",NA,"Serra do Macabé",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809750","NY00809750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02597126","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Willd.) T.Moore",NA,"F. C. Hoehne","4985","1921","01","13","South America","Brazil","Minas Gerais",NA,"Cocaes, Serra do Garimpo.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2870709' target='other'> <mi>dwc_moreinfo</mi></a>","NY02597126","NY02597126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:25:56-03","UFBA","ALCB","045675","PreservedSpecimen","Plantae","Fern",NA,"Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Baill.) Ducke","Guedes, ML","Guedes, ML; Alves, L. de J.; et al.","6916","1999","11","02","Southern America","Brasil","Bahia","Andaraí","Chapada Diamantina, no extrato herbáceo da Mata","-41.383333","-12.809722",NA,NA,NA,"Rizoma rasteiro, delgado, coberto de escamas marrom escuro. Frondes dimorfas, as ferteis mais compridas e mais estreitas que as estéreis.","ALCB001677","ALCB001677",NA,NA,"2000","09","-41.383333","-12.809722",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:25:56-03","UFBA","ALCB","100900","PreservedSpecimen","Plantae","Fern",NA,"Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Baill.) Ducke","Crestani, AC","Crestani, ACV","178","2011","06","04","Southern America","Brasil","Bahia","Jacobina","Piemonte da Diamantina","-40.4125","-11.154167","595","595",NA,NA,"ALCB001674","ALCB001674",NA,NA,"2011","11","-40.4125","-11.154167",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:25:56-03","UFBA","ALCB","69710","PreservedSpecimen","Plantae","Fern",NA,"Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Baill.) Ducke","Guedes, ML","Guedes, ML; Velozo, ES","11815","2005","03","25","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Catolés, Trilha para a Serra do Barbado","-41.888611","-13.285278",NA,NA,NA,"Plantas terrestre. Fronde dimorfas, com lâmina simples. Fronde fértil, com aparelho esporífero cobrindo toda a superfície da lâmina.","ALCB001676","ALCB001676",NA,NA,NA,NA,"-41.888611","-13.285278",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:25:56-03","UFBA","ALCB","73657","PreservedSpecimen","Plantae","Fern",NA,"Dryopteridaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Baill.) Ducke","Guedes, ML;","Guedes, ML; Santana, FA; Santos, JS; Valadão, RM; Carvalho, G","05","2006","06","20","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina","-40.52","-11.386111","1168","1168",NA,"Terrestre. Frondes eretas com lâminas inteiras; estipite pilosa; dimôrficas; Fronde fértil com lamina estreita; aparelho esporifero na face abaxial.","ALCB001675","ALCB001675",NA,NA,"2006","08","-40.52","-11.386111",NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:44:31-03","NBC","NL-BOTANY","L.3544727","PreservedSpecimen","Plantae",NA,"Polypodiales","Lomariopsidaceae","Elaphoglossum","tectum","Elaphoglossum tectum","(Humb. & Bonpl. ex Willd.) T.Moore",NA,"Landsbergen",NA,NA,NA,NA,"Southern America","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3544727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3544727","NL-L3544727",NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA
