"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","561675","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obscura","Calyptranthes obscura","DC.","G. d. R. Prata","G. d. R. Prata","47","1949","03","04","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561675","NY00561675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00908269","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","tuberculata","Calyptranthes tuberculata","O.Berg","G. E. Wickens","E. Onishi","912","1969","02","10","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908269","NY00908269_01","Xavantina. Acampamento da expediçao Inglêsa, 4 km em direçao Norte na Estrada de Rodagem Xavantina-Cachimbo","-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908292","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","tuberculata","Calyptranthes tuberculata","O.Berg","M. L. Kawasaki","C. A. Cid Ferreira","6147","1985","09","19","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908292","NY00908292_01","BR 163, Rod. Cuiabá-Sinop. Estr. da Faz. Sta Maria do Amazonas a 65 km S de Sinop","-55.75","-12.42","Nobres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00908293","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","tuberculata","Calyptranthes tuberculata","O.Berg","B. K. Holst","W. W. Thomas","3872","1985","09","19","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908293","NY00908293_01","1.5-2 km E of BR 163, 18 km S of Rio Celeste, ca. 70 km S of Sinop.","-55.67","-12.45","Nobres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00908270","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","tuberculata","Calyptranthes tuberculata","O.Berg","M. L. Kawasaki","W. W. Thomas","5792","1988","02","09","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908270","NY00908270_01","Serra Dourada, 1.3 km NW of junction of rd to Mossamedes on GO-070 from Goiânia to Goiás","-50.03","-15.95","Goiás","750","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00908294","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","tuberculata","Calyptranthes tuberculata","O.Berg","B. K. Holst","W. W. Thomas","3885","1985","09","19","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908294","NY00908294_01","1.5-2 km E of BR 163, 18 km S of Rio Celeste, ca. 70 km S of Sinop.","-55.67","-12.45","Nobres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533262","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obscura","Neomitranthes obscura","(DC.) N.Silveira",NA,"A. M. Amorim","1429","1993","11","09","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533262","NY00533262_01","Reserva Biológica do Mico-leao (Ibama). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana. Coletas efetuadas na estrada que leva à Sede da Reserva.","-39.08","-15.15","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616879","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obscura","Neomitranthes obscura","(DC.) N.Silveira",NA,"D. S. D. de Araújo","7458","1986","05","23","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616879","NY00616879_01","Area de Proteças Ambiente","-42.8183","-22.9194","Maricá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616882","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obscura","Neomitranthes obscura","(DC.) N.Silveira","C. M. D. E. Legrand","R. Reitz","7334","1958","10","18","South America","Brazil","Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616882","NY00616882_01","Matador, Rio do Sul","-49.6431","-27.2144","Rio do Sul","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616877","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obscura","Neomitranthes obscura","(DC.) N.Silveira","C. E. B. Proença","B. D. Sucre","8735","1972","03","23","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616877","NY00616877_01","Jacarepaguá, lado leste da Pedra de Itauna","-43.2075","-22.9031","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
