"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00909094","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","J. J. Wurdack","H. S. Irwin","22887","1969","01","30","South America","Brazil","Minas Gerais","Ca. 15 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.17","1275","1275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909094","NY00909094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01421505","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","R. Goldenberg; F. A. Michelangeli","R. de Mello-Silva","3146","2009","02","06","South America","Brazil","Minas Gerais","Contagem. Fazenda contagem, ca. 3 km em estrada vicinal saindo a leste da rodovia Gouveia - Curvelo (BR 259), ao sul da sede da fazenda Contagem. Sopés da extremidade norte da Serra do Indaial, base de inselberg próximo ao Ribeirão da Contagem.","-43.7407989501953","-18.4543991088867",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687156' target='other'> <mi>dwc_moreinfo</mi></a>","NY01421505","NY01421505_01","Gouveia","37970","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00909093","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","J. J. Wurdack","H. S. Irwin","27574","1970","03","15","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 25 km E. of Diamantina, near Rio Jequití","-43.50795","-18.1448","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909093","NY00909093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909092","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","J. J. Wurdack","H. S. Irwin","27105","1970","03","07","South America","Brazil","Minas Gerais","Summit of Serra do Cabral, ca. 8 km W. of Joaquim Felício","-44.1708333","-17.7588","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909092","NY00909092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:03:07-03","NBC","NL-BOTANY","L.1086528","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"Irwin HS; et al.",NA,NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1086528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1086528","NL-L1086528",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:03:07-03","NBC","NL-BOTANY","L.1086529","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"Irwin HS; et al.",NA,NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1086529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1086529","NL-L1086529",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-07-02 18:54:51-03","UFJF","CESJ","47448","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"P.L. Viana; L. Menini Neto; T.U.P. Konno; F.R.G. Salimena; H.Bispo; F.BIspo","2165","2006","06","11","América do Sul","Brasil","Minas Gerais","APA Felício","-43.246898651123","-18.0771999359131",NA,NA,NA,"Em campo rupestre. Planta herbácea com folhas em rosetas, em fissuras ou cavidades de rochas quartziticas, em local sombreado. Folhas discolores, ,verde na face adaxial e vinácea na face abaxial; levemente carnosa. Flores com pétalas creme esverdeadas,","CESJ047448",NA,"Felício dos Santos","21878","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:34:20-03","UNICAMP","UEC","170921","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9576","2009","02","27",NA,"Brazil","Minas Gerais","Cadeia do Espinhaço. About 15km northeast od Diamantina on th road to Mendanha, left-hand side of road heading northest.","-43.885611","-18.310556","1173","1173",NA,"Herbs to 7cm tall from a small tuber. Above-ground parts wither away during dry season to regenerate after rain. Leaves flushed with red. Flowers 3 or 4 merous. Petals pale pink. Anthers pale yellowiwish white and unappendaged. Local.;","UEC059032","UEC059032","Diamantina",NA,NA,NA,"-43.885611","-18.310556",NA,NA,NA,NA
"9","2019-11-06 09:56:25-03","UFOP","OUPR","5835","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Damazio, L.B.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Cachoeira do Campo","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:38:15-03","UFMG","BHCB","49904","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
