"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","class","order","typeStatus","continentOcean","individualCount"
"1","2020-04-27 16:09:03-03","UFES","VIES","26357","S","Plantae","Bromeliaceae","Aechmea","guarapariensis","Aechmea guarapariensis","E. Pereira & Leme","Wendt, T.; Sousa, L.O.F.","2004","04","27","Martinelli, G.; Heron, L.; Gomes, J.M.L. & Azoury R.","15605","1999","08","08","Brasil","Espírito Santo","Viana","-40.4961013793945","-20.3903007507324","15195","VIES026357","VIES026357","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","48437",NA,"Plantae","Bromeliaceae","Aechmea","guarapariensis","Aechmea guarapariensis","E.Pereira & Leme","L. Kollmann",NA,NA,NA,"L. Kollmann; A.P. Fontana & K. Brahim","12366","2012","03","14","Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.048333","-22.041389",NA,"MBML048437","MBML048437",NA,"Farol de São Thomé","41W2'54","22S2'29","Restinga. Folhas verdes, inflorescência e flores secas",NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2979166","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","guarapariensis","Aechmea guarapariensis","E. Pereira & Leme",NA,NA,NA,NA,"E. M. Leme","s.n.","1983","9","20","Brazil","Rio de Janeiro",NA,NA,NA,NA,"US00091484","US00091484_01",NA,NA,NA,NA,"Protologue indicates type collection made from cultivated plant(s), although not indicated as such on label on US specimen; specimen also bears no collection number. Typus: Estado do Espírito Santo, Mun. de Guarapari. Terrestre da restinga. Leg. Elton M.C. Leme no. 92, fev. 1978. Florida em cultivo em 20 set. 1983. Holotypus HB. Isotypus US. Email from Eric Gouda, September 2018: You need some additional notes on the isotype specimen barcode 00091484, which is a cultivated specimen flowered in cultivation 20 Sept 1983, this is not the original wild collecting date and the collector number is 93! [sic] Aechmea guarapariensis E.Pereira & Leme -- Brazil: Prov. Espírito Santo, Municipality of Guarapari,. terrestrial in Restinga. Feb 1978. Leme, E.M.C. 93 (holotype HB, isotype US). [NOTE: the specimen bears no collection number, and no indication that it was made from cultivation.]","Monocotyledonae","Bromeliales","Isotype","South America - Neotropics","1"
