"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","487105","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.","L. Y. T. Westra","J. C. Lindeman","4853","1967","03","13","South America","Brazil","Paraná","Guarapuava","Fazenda Reserva, ca. 85 km S.W. of Guarapuava","-52.0758963","-25.9309469","800","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487105","NY00487105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 20:52:00-02","NY","NYBG","487100","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha",NA,"T. M. Pedersen","J. E. Montes","15100","1951","03","10","South America","Argentina","Misiones","Candelaria","Santa Ana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","487102","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.","S. J. Smith; L. B. Smith","G. G. Hatschbach","15483","1966","12","15","South America","Brazil","Paraná","Palmas",NA,"-51.9906","-26.4844",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487102","NY00487102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","487108","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.","L. B. Smith","L. B. Smith","14122","1964","12","18","South America","Brazil","Santa Catarina","Itapiranga","Forest by Rio Peperíguaçu, Linha Coqueiro","-53.78","-27.12","200","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487108","NY00487108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","487107","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.",NA,"T. M. Pedersen","15727","1991","03","17","South America","Brazil","Rio Grande do Sul","Santa Maria","On road from Santa Maria to Cruz Alta, Alto da Serra.","-53.8067","-29.6844",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487107","NY00487107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","487106","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.",NA,"T. M. Pedersen","15755","1991","03","23","South America","Brazil","Rio Grande do Sul","Santa Rosa","Near Santa Rosa.","-54.4814","-27.8708",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487106","NY00487106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","487101","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.","T. M. Pedersen","O. dos S. Ribas","1119","1996","02","09","South America","Brazil","Santa Catarina","Urubici","Rod. SC-430, 20 km N de Urubici","-49.5917","-28.015",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487101","NY00487101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","487103","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.",NA,"P. K. H. Dusén","17728","1916","02","23","South America","Brazil","Santa Catarina",NA,"Rio Uruguay",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487103","NY00487103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","487104","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.","L. B. Smith","L. B. Smith","11047","1957","02","08","South America","Brazil","Santa Catarina","Curitibanos","6 km southeast of Lebon Regis","-50.5842","-27.2831","700","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487104","NY00487104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674556","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Reitz R; Klein RM",NA,"1963","04","13","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina- Brasil. Anita Garibaldi. Pinhal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674556","NL-L1674556","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674557","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Pivetta",NA,"1953","11","28","Southern America","Brazil",NA,NA,"Florae Brasiliae australis. Alternanthera micrantha R.E. fries RGS, Sta. Maria. In umbrosis.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674557","NL-L1674557","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674558","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Reitz R; Klein RM",NA,"1962","04","23","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina-Brasil. Rio des Patos, Lebon Regis Mata.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674558 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674558","NL-L1674558","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674559","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Hatschbach GG",NA,"1966","12","15","Southern America","Brazil",NA,NA,"Paraná (Brasil). Palmas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674559","NL-L1674559","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.3709962","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Pedersen TM",NA,"1984","02","24","Southern America","Argentina",NA,NA,"Plantae Argentinae. San Vicente. Dep. Cainguás. Prov. Missiones.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709962 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709962","NL-L3709962","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1052846","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Lindeman JC; Haas JH de",NA,"1967","03","13","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Fazenda Reserva, ca. 85 km S.W of Guarapuava. Capão on slope of creek valley.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052846","NL-U1052846","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:54:06-03","NBC","NL-BOTANY","WAG.1404868","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","Domin",NA,"Pedersen TM",NA,"1984","02","24","Southern America","Argentina",NA,NA,"Plantae Argentinae. San Vicente. Dep. Cainguás. Prov. Missiones.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1404868 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1404868","NL-WAG1404868","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 10:59:00-03","ESALQ","ESA","55519","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R. E. Fries","Borges, L.M.","Souza, R.P.M.","98.0","2007","04","06",NA,"Brasil","Santa Catarina","Bocaina do Sul","Fazenda Farofa, trilha da estrada do meio. Vegetação secundária de Floresta Ombrófila Mista.","-49.9444007873535","-27.7444000244141","1334","1334",NA,"Erva com 0,2 m. Flores escariosas.","ESA055519",NA,NA,"18696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 10:59:00-03","ESALQ","ESA","78728","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R.E.Fr.",NA,"Krapovickas, A. ; Cristóbal, C.L.","44030.0","1992","01","30",NA,"Brasil","Rio Grande do Sul","Iraí",NA,"-53.2505989074707","-27.1935997009277",NA,NA,NA,NA,"ESA078728","ESA078728",NA,"18820","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 10:59:00-03","ESALQ","ESA","60506","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha",NA,"Pedersen, T.M.","Ribas, O.S.","1119.0","1996","02","09",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"ESA060506","ESA060506",NA,"30102","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 10:59:00-03","ESALQ","ESA","55212","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha",NA,"Vidal, C.Y.","Coelho, R.L.G.","199.0","2007","04","08",NA,"Brasil","Santa Catarina","Urupema","Fazenda Farofa. Trilha da Fazenda do Mário até o campo de altitude. Vegetação secundária de Floresta Ombrófila Mista.","-49.8731002807617","-27.9528007507324","1426","1426",NA,"Erva 0,4m. Flores rosas.","ESA055212","ESA055212",NA,"23096","auto","2007","04","11",NA,NA,NA,NA,NA,NA
"21","2019-08-27 13:28:21-03","IAP","PACA-AGP","91328","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R. E. Fr.","A. Silva Jr.","Rosemeres H. de Laporte",NA,"1997","12","19",NA,"Brasil","PR","Umuarama",NA,"-53.3250007629395","-23.7663993835449",NA,NA,NA,"HASU 6394.","PACA091328",NA,"Magnoliatae","46517","auto","1998","01","08",NA,NA,NA,NA,NA,NA
"22","2019-08-27 13:28:21-03","IAP","PACA-AGP","107086","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R. E. Fr.","M.S. Marchioretto","Marchioretto, M. S.","461","2010","04","08",NA,"Brasil","RS","Tenente Portela","em beira de mato","-53.714139","-27.339278",NA,NA,NA,"27°20'21.4 S 53°42'50.9 O","PACA107086",NA,"Magnoliatae",NA,NA,"2010","04",NA,"53°42'50.9 W","27°20'21.4 S",NA,NA,NA,NA
"23","2019-08-27 13:28:21-03","IAP","PACA-AGP","107094","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","micrantha","Alternanthera micrantha","R. E. Fr.","M.S. Marchioretto","Marchioretto, M. S.","469","2010","04","10",NA,"Brasil","RS","Giruá","Fazenda Sonia Maria","-54.251017","-28.020433",NA,NA,NA,"Habitat: borda de mata","PACA107094",NA,"Magnoliatae",NA,NA,"2010","04",NA,"54°15.061'W","28°01.226'S",NA,NA,NA,NA
