"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:04-03","UNESC","CRI","3808","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","Marcos Sobral","1995","11","03","Z. P. Topanotti","1995","09","10","Brasil","Santa Catarina","Nova Veneza","São Pedro.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","CRI001818","CRI001818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","13678","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","Alexandre Medeiros","2017","10","10","Alexandre Medeiros","2017","10","10","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.6347007751465","-26.9906005859375",NA,NA,"CRI012285",NA,"8793","Flor branca. Coleta 628. Habito: Arbóreo","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2148705","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"M. G. Vieira","1979","10","10","Brazil","Rondônia",NA,"Mineração Taboca, próximo ao Campo de Pouso da Mineração","-63.33","-10.25",NA,NA,"NY02148705","NY02148705_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298118' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","362","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2148694","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"S. A. Mori","1992","06","20","Brazil","Amazonas",NA,"Rio Negro. Ponta do Pagodão.","-60.48","-2.87",NA,NA,"NY02148694","NY02148694_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298105' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","22410","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484392","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","I. M. Johnston",NA,NA,NA,"P. K. H. Dusén","1911","12","26","Brazil","Paraná","Guaratuba","Cubatao","-48.5744","-25.8831",NA,NA,"NY00484392","NY00484392_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339213' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","13669","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00858298","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","Johnston",NA,NA,NA,"Y. E. J. Mexia","1930","11","12","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda do Deserto; on road to Paraiso.","-42.8817","-20.7542",NA,NA,"NY00858298","NY00858298_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954452' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","5285","South America","sheet","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484389","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","J. S. Miller",NA,NA,NA,"J. S. Blanchet",NA,NA,NA,"Brazil",NA,NA,"Probably Bahia.",NA,NA,NA,NA,"NY00484389","NY00484389_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339214' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","207s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","484383","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","L. B. Smith",NA,NA,NA,"R. Reitz","1964","10","08","Brazil","Santa Catarina","Ilhota","Parque Botânico do Morro Baú, Ilhota","-48.8269","-26.8997",NA,NA,"NY00484383","NY00484383_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339209' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","17067","South America","sheet","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00858301","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","N. T. da Silva",NA,NA,NA,"N. A. Rosa","1978","12","16","Brazil","Maranhão","Santa Luzia","Margem direita da Rod. BR-222, a altura do km 124, que liga Santa Inês a Açailândia na Belém-Brasília.","-45.6581","-3.9633",NA,NA,"NY00858301","NY00858301_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","3008","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2148702","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"G. T. Prance","1977","02","19","Brazil","Amazonas",NA,"Rio Juruá, 5-10 Km above mouth","-65.775","-2.6992",NA,NA,"NY02148702","NY02148702_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298115' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","24491","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
