"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02694858","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","M. F. Devecchi","193","2013","07","12","South America","Brazil","Espírito Santo","Pinheiros","Reserva Biológica do Córrego do Veado. Aceiro saindo da sede da reserva, ca. 1,5 km. Com pastagem na propriedade vizinha. Na margem do leito do córrego temporário.","-40.13719","-18.34564","114","114","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978324' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694858","NY02694858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02694890","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","M. F. Devecchi","246","2013","11","20","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Flamengo, a 150 m de distância do prédio do herbário, ao lado do estacionamento, na margem direita da estrada.","-40.06842","-19.15103",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978336' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694890","NY02694890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02694872","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","M. F. Devecchi","252","2013","11","22","South America","Brazil","Bahia","Porto Seguro","Arrail d'Ajuda. Estrada para a balsa, rua Parra Areial, residencia número 1836.","-39.06453","-16.47486",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978340' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694872","NY02694872_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","569218","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","W. W. Thomas","D. A. Folli","592","1986","07","26","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Linhares. Est. Flamengo, ant. X-1, km 6.336, lado esquerdo","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569218","NY00569218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02694891","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","M. F. Devecchi","184","2013","07","10","South America","Brazil","Espírito Santo","Governador Lindenberg","Morelo. Propriedade do Sr. Fernando Nicolli. Na borda do remanescente de mata ao lado da cultura de café.","-40.45742","-19.14808","113","113","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978319' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694891","NY02694891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02695274","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","A. P. Duarte","5953","1961","08","23","South America","Brazil","Bahia","Porto Seguro","Entre Ajuda e Porto Seguro","-39.0644","-16.4497",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2970978' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695274","NY02695274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02681297","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.",NA,"G. H. von Langsdorff","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2971123' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681297","NY02681297_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","538407","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","G. L. Farias","301","1989","08","28","South America","Brazil","Espírito Santo","Linhares","Reserva Biológica de Comboios - IBDF - Regência. Aceiro com a fazenda Carvoeira, lado direito","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538407","NY00538407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02694867","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.","M. F. Devecchi","M. F. Devecchi","175","2013","06","18","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Flamengo, a 150 m de distância do prédio do herbário, ao lado do estacionamento, na margem direita da estrada.","-40.06842","-19.15103","55","55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978317' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694867","NY02694867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02681291","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","cuneata","Simaba cuneata","A.St.-Hil. & Tul.",NA,"I. A. Silva","9","1978","07","20","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. X-2, m 2900, talhão 205","-40.0722007751465","-19.3910999298096",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2971111' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681291","NY02681291_01","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
