"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","869465","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy","C. C. Berg","isotype","C. C. Berg","P18477","1973","10","13","South America","Brazil","Mato Grosso","Rio Aripuanã, at base of Salto dos Dardanelos, west side of river.","-59.35","-10.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869465","NY00869465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:45:21-03","EAO","IAN","142491","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & F.Kooy","Pelissari, G",NA,"Rosa, NA; Santos, RR dos","147","1974","07","22","Southern America","Brasil","Mato Grosso","A margem da Cachoeira Andorinha Humboldt.",NA,NA,NA,"Planta de 5m x 80cm; leite branco, agarrada sobre pedras da cachoeira.","IAN142491",NA,"2016","03","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:45:21-03","EAO","IAN","143373","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & F.Kooy","Pelissari, G",NA,"Cordeiro, MR","157","1974","06","19","Southern America","Brasil","Mato Grosso","Aripuanã, margem do rio, acima da Cachoeira dos Patos.",NA,NA,NA,"Árvore de 8m altura, infl. vermelha.","IAN143373",NA,"2016","03","01","Dardanelos",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:45:21-03","EAO","IAN","147282","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & F.Kooy","Berg, CC","paratipo","Anderson, WR","10871","1974","02","12","Southern America","Brasil","Pará","1-10km. upriver (SE) from village of Pratatí.","-57.083333","-8",NA,"Dense inundated vegetation of trees and vines along edge of river at flood level. Tree 8m tall; stems with latex, fruit green.","IAN147282",NA,"1985","01","29",NA,"-57.083333","-8","200","300",NA,NA,NA,NA
"5","2021-03-30 12:45:21-03","EAO","IAN","156173","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & F.Kooy","Pelissari, G",NA,"Silva, MG da; Maria, J","3341","1977","07","15","Southern America","Brasil","Mato Grosso","Rio Juruena, Igarapé Chuini. Mata da beira do igarapé.",NA,NA,NA,"Árvore de 4m. de altura, fruto imaturo verde.","IAN156173",NA,"2016","03","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:23:28-03","NBC","NL-BOTANY","U.1426465","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy","Berg CC",NA,"Anderson WR",NA,"1974","02","12","Southern America","Brazil","Pará",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426465","NL-U1426465",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0023008",NA,NA
"7","2020-02-08 10:23:28-03","NBC","NL-BOTANY","U.1426466","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy","Berg CC",NA,"Silva MG; Maria J",NA,"1977","07","15","Southern America","Brazil","Mato Grosso",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426466","NL-U1426466",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0023009",NA,NA
"8","2020-02-08 10:23:28-03","NBC","NL-BOTANY","U 0285771","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy",NA,NA,"Berg CC; Steward WC; et al.",NA,"1973","10","13","Southern America","Brazil","Mato Grosso","State of Mato GrossoRio Aripuana, at base of Salto dos Dardanelos, west side of river.","-59.35","-10.2",NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0285771",NA,NA,NA,NA,NA,"-59.35","-10.2",NA,NA,"Magnoliopsidae","Uw20915",NA,NA
"9","2020-02-08 10:23:28-03","NBC","NL-BOTANY","U 0004568","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy",NA,"isotype","Berg CC; Steward WC; et al.",NA,"1973","10","13","Southern America","Brazil","Mato Grosso","State of Mato GrossoRio Aripuana, at base of Salto dos Dardanelos, west side of river.","-59.35","-10.2",NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004568 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004568","NL-U0004568",NA,NA,NA,NA,"-59.35","-10.2",NA,NA,"Magnoliopsidae","332651 B",NA,NA
"10","2015-09-05 11:43:11-03","MNHN","RECOLNAT_MNHN_P","P06823511","PreservedSpecimen",NA,NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy",NA,NA,"Barrier, S.",NA,"1980","3","8",NA,"Peru",NA,"Dept. Loreto, Prov. Maynas, Com. Colonia Rio Zunum, affluent du rio Yahuas-Yacu, affluent du rio Ampi-Yacu. Territoire des indiens Bora. Peru",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06823511' target='other'> <mi>dwc_moreinfo</mi></a>","P06823511","P06823511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1873",NA
"11","2019-01-25 04:36:00-02","MO","MOBOT","100644070","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy",NA,NA,"Luis Valenzuela G.|J.L. Mateo|R. Rivera|C. Mateo|Edison Ballesteros","Valenzuela Gamarra 20493","2011","10","18","South America","Peru","Pasco","Dist. Palcazú. Izcozacín. Parque Nacional Yanachaga Chemillén. Parcela permanente TEAM 06 (VGYANCh 06).","-75.3155556","-10.4219445",NA,NA,NA,NA,NA,NA,NA,"Oxapampa",NA,NA,"1188.00000000","1207.00000000",NA,NA,"52","1"
"12","2019-01-25 04:36:00-02","MO","MOBOT","100645107","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy",NA,NA,"Luis Valenzuela G.|J.L. Mateo|R. Rivera|C. Mateo|Edison Ballesteros","Valenzuela Gamarra 20718","2011","10","18","South America","Peru","Pasco","Dist. Palcazú. Izcozacín. Parque Nacional Yanachaga Chemillén. Parcela permanente TEAM 06 (VGYANCh 06).","-75.3155556","-10.4219445",NA,NA,NA,NA,NA,NA,NA,"Oxapampa",NA,NA,"1188.00000000","1207.00000000",NA,NA,"52","1"
"13","2019-01-25 04:36:00-02","MO","MOBOT","100645149","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy",NA,NA,"Luis Valenzuela G.|J.L. Mateo|R. Rivera|C. Mateo|Edison Ballesteros","Valenzuela Gamarra 20762","2011","10","18","South America","Peru","Pasco","Dist. Palcazú. Izcozacín. Parque Nacional Yanachaga Chemillén. Parcela permanente TEAM 06 (VGYANCh 06).","-75.3155556","-10.4219445",NA,NA,NA,NA,NA,NA,NA,"Oxapampa",NA,NA,"1188.00000000","1207.00000000",NA,NA,"52","1"
