"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:25:37-03","UNESC","CRI","8454","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brevistyla","Eugenia brevistyla","D.Legrand","Ribeiro, C.L.","2019","08","05","Régis Cardoso da Silva","2009","01","01","Brasil","Rio Grande do Sul","Torres","Parque Estadual Itapeva.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI005194","CRI005194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","8475","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brevistyla","Eugenia brevistyla","D.Legrand","Ribeiro, C.L.","2019","08","05","Kleber Haileê Emerich","2008","07","15","Brasil","Santa Catarina","Turvo","Mata ciliar.","-49.679444","-28.926667","49º40'46''W","28º55'36''S","CRI005195","CRI005195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","8230","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brevistyla","Eugenia brevistyla","D.Legrand","Marcos Sobral",NA,NA,NA,"Kleber Haileê Emerich; Marcelo Romagna Pasetto","2008","07","10","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","CRI005014","CRI005014","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","7878","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brevistyla","Eugenia brevistyla","D.Legrand","Vanilde Citadini-Zanette","2008","04","20","Jean Gabriel Cemin","2007","12","21","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","CRI005193","CRI005193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561510","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","australis","Calycorectes australis","D.Legrand","M. Sobral",NA,NA,NA,"J. M. Silva","1996","10","30","Brazil","Paraná","Sao José dos Pinhais","Castelhanos, Rio Arraial","-49.2064","-25.5347",NA,NA,"NY00561510","NY00561510_01",NA,NA,"Magnoliophyta","Myrtales","1754","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239244' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561506","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","australis","Calycorectes australis","D.Legrand",NA,NA,NA,NA,"R. Negrelle","1992","09","27","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6158","-26.1169",NA,NA,"NY00561506","NY00561506_01",NA,NA,"Magnoliophyta","Myrtales","A-394","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239250' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561481","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","australis","Calycorectes australis impressovenosa","D.Legrand",NA,NA,NA,NA,"R. M. Klein","1957","09","28","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I.N.P., Ibirama.","-49.5178","-27.0569",NA,NA,"NY00561481","NY00561481_01","400","400","Magnoliophyta","Myrtales","2214","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425144' target='other'> <mi>dwc_moreinfo</mi></a>","impressovenosa","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561512","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","australis","Calycorectes australis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","1968","10","03","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"NY00561512","NY00561512_01","30","100","Magnoliophyta","Myrtales","19897","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239248' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557982","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","australis","Calycorectes australis","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1968","02","14","Brazil","Paraná","Paranaguá","Picadao Cambará - Col. Limeira","-48.5092","-25.5203",NA,NA,"NY00557982","NY00557982_01","50","50","Magnoliophyta","Myrtales","19500","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479608' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","561509","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","australis","Calycorectes australis","D.Legrand",NA,NA,NA,NA,"G. G. Hatschbach","1968","09","17","Brazil","Paraná","Morretes","Rio Sagrado de Cima.","-48.8342","-25.4769",NA,NA,"NY00561509","NY00561509_01",NA,NA,"Magnoliophyta","Myrtales","19734","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239249' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
