"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem","infraspecificEpithet","fieldNumber","sex"
"1","2016-09-29 11:07:00-03","NY","NYBG","443227","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","selloi","Mimosa selloi","A. C. Filho; W. Mantovani","T. Sendulsky","615","1967","03","14","South America","Brazil","São Paulo","Sao Paulo","10km south of center of city of Sao Paulo, in grounds of the Instituto de Botanica, Parque do Estado","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443227","NY00443227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:40:07-03","EAO","IAN","2817","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","selloi","Mimosa selloi",NA,"Sellow, F","243",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN002817","IAN002817_f","Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:40:07-03","EAO","IAN","93136","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","selloi","Mimosa selloi",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093136",NA,"Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:10:30-03","NBC","NL-BOTANY","L.2037332","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","selloi","Mimosa selloi",NA,"Klein RM",NA,"1955","02","08","Southern America","Brazil",NA,NA,"Cunhas Itajaí.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2037332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2037332","NL-L2037332","(Benth.) Benth.","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1309462","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","selloi","Mimosa selloi",NA,"Harley RM; et al.",NA,"1974","01","30","Southern America","Brazil",NA,NA,"Estado do Bahia. Serra do Sincora. N. face of Serra de Ouro 7 km S of Barra da Estiva on the Ituacu road.","-41.333333","-13.666667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309462","NL-U1309462","(Benth.) Benth.","Magnoliopsidae","-41.333333","-13.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-22 11:45:44-03","IPA","IPA","23812","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","selloi","Mimosa selloi","Lewis, G.P.; Page, J.S.","Harley, R.M.","15677","1974","01","30","Southern America","Brasil","Bahia",NA,"Serra do Sincorá. N. face of Serra de Ouro 7Km S of Barra da Estiva on the Ituaçu road. Sansdstone hills, dry grassland among rocks and woodland along small stream.","-41.333333","-13.666667",NA,"Subshrub with decumbent stems, leaves dark green. Flowers heads bright pink.","IPA0023812",NA,"(Benth.) Benth.",NA,"-41.333333","-13.666667","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:29:53-03","IAP","PACA-AGP","9139","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","selloi","Mimosa selloi","Burkart","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,"Sem material Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA009139",NA,"Benth.","Magnoliatae",NA,NA,NA,NA,"1954","08","13","59498","auto",NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:29:53-03","IAP","PACA-AGP","34544","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","selloi","Mimosa selloi","Emrich-Rambo","Rambo, B.",NA,"1946","12","30",NA,"Brasil","RS","Vacaria","Fazenda da Ronda","-50.9338989257812","-28.5121994018555",NA,"Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA034544",NA,"Benth.","Magnoliatae",NA,NA,NA,NA,"1954","08","13","63451","auto",NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:29:53-03","IAP","PACA-AGP","55202","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","selloi","Mimosa selloi","A. Burkart","Reitz, R.","6421","1952","01","24",NA,"Brasil","SC","Chapecó","Capetinga","-52.6183013916016","-27.096399307251",NA,"Habitat: in campestribus prostrata Fenofase: flor","PACA055202",NA,"Benth.","Magnoliatae",NA,NA,NA,NA,"1953",NA,NA,"22671","auto",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:36:55-03","UFJF","CESJ","43188","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Mimosa","selloi","Mimosa selloi",NA,"A. Schinini","36264","2002","11","22","América do Sul","Argentina","Corrientes","Santo Tomé","Ruta 14, Km 650, Lat: 28°44'010 S. Lon: 56°20'451 W. Suelo arenoso, suelto en campos modificados.",NA,NA,NA,"Decumbente. Flores rosadas. Abundante.","CESJ043188",NA,"Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
