"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:34-03","UNESC","CRI","3266","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","verticillata","Aegiphila verticillata","Vell.","Ricardo Ribeiro Rodrigues","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1887","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: beira de mata atlântica secundária de encosta Habito: arvoreta","CRI007859","CRI007859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:03-03","E","E","114650","PreservedSpecimen","Plantae","Labiatae","Aegiphila","paraguariensis","Aegiphila paraguariensis",NA,NA,"W.E.M.",NA,"1986","11","25","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114650 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114650",NA,"Central America","herbarium specimen of unspecif","BGBASE:122745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:03-03","E","E","27407","PreservedSpecimen","Plantae","Labiatae","Aegiphila","paraguariensis","Aegiphila paraguariensis",NA,NA,"Sorénsen, C. & Teixeira, S.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00027407 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00027407",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:32441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:03-03","E","E","19474","PreservedSpecimen","Plantae","Labiatae","Aegiphila","splendens","Aegiphila splendens",NA,NA,"P C M Ramos","374","1990","12","31","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00019474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00019474",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:24783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:03-03","E","E","114648","PreservedSpecimen","Plantae","Labiatae","Aegiphila","splendens","Aegiphila splendens",NA,NA,"Ratter, J.A.",NA,"1976","12","05","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114648 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114648",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:03-03","E","E","114647","PreservedSpecimen","Plantae","Labiatae","Aegiphila","splendens","Aegiphila splendens",NA,NA,"Ratter, J.A.",NA,"1976","12","05","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114647 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114647",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:03-03","E","E","83124","PreservedSpecimen","Plantae","Labiatae","Aegiphila","verticillata","Aegiphila verticillata",NA,NA,"Ribas, O.S. & Pereira, L.B.S.","1633","1997","02","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083124",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:03-03","E","E","187420","PreservedSpecimen","Plantae","Labiatae","Aegiphila","verticillata","Aegiphila verticillata",NA,NA,"Giulietti, A.M., Sakuragui, C.M., Harley, R.M., Atkins, S. & Souza, V.C.","13903","1994","01","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00187420 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187420",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540972","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","crenata","Aegiphila crenata","Moldenke","H. N. Moldenke","G. Jönsson","403a","1914","05","21","Brazil","Paraná","Jaguariaíva","Jaguariahyva opp.","-49.713647","-24.340602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540972","NY00540972_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","103755","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","crenata","Aegiphila crenata","Moldenke","H. N. Moldenke","P. K. H. Dusén","10541","1910","10","21","Brazil","Paraná",NA,"Jaguaiahyra",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103755","NY00103755_01","South America","sheet",NA,"Magnoliophyta","Lamiales","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
