"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","locality","occurrenceRemarks","imagecode","class","order","typeStatus","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-11-04 11:12:10-03","ESALQ","ESA","16095","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","Assis, L.C.S.","2009","Tamashiro, J.Y. et al.","128.0","1980","08","27","Brasil","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","ESA016095","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:10-03","ESALQ","ESA","16153","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","Assis, L.C.S.","2009","Tamashiro, J.Y. et al.","128.0","1980","08","27","Brasil","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","ESA016153","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:32:49-03","UNICAMP","UEC","120904","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Ness) Mart. ex Mez","Baitello, JB","2002","Meireles, LD; Flores, A; Rodrigues, RS; Belinello, R","580","2001","09","19","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC035839","auto","07","Monte Verde, Afloramento da Pedra do Selado","Árvore, 4m, flores cremes - esverdeadas","UEC035839",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:32:49-03","UNICAMP","UEC","121136","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Ness) Mart. ex Mez","Baitello, JB","2002","Meireles, LD; Pereira, MFPA","654","2001","10","16","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC035844","auto","07","Monte Verde, Afloramento da Pedra Partida","Árvoreta, 2m , flores creme-esverdeadas","UEC035844",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2014-10-14 15:56:44-03","BS","M","M-0121088","S","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mez",NA,NA,"Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"M0121088",NA,NA,"Habitat in sylvulis udis depressi Capoès dictis; Prov. Min. Gen.",NA,NA,"Magnoliopsida","Laurales","NOTATYPE",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:31:23-03","MBM","MBM","429946","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mez","Brotto, M.L.","2020","Brotto, M.L.; Völtz, R.R.; Völtz, R.R.","3921","2020","07","25","Brazil","Rio de Janeiro","Nova Friburgo","-42.530833","-22.438611",NA,"MBM429946",NA,"08","Macaé de Cima, Pedra Bicuda, cume","Árvore com 2 m de altura; flores branco-esverdeadas e mais um fruto apenas.; Floresta Ombrófila Densa Altomontana.",NA,NA,NA,NA,"21","Southern America","-42.530833","-22.438611","1450","1450"
"7","2020-12-21 16:31:23-03","MBM","MBM","415107","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mez","Meireles, L.D.","2009","Meireles, L.D.; Pereira, MFP de A; Pereira, MFP de A","654","2001","10","16","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","MBM415107","auto",NA,"Monte Verde, Afloramento da Pedra Partida","Arvoreta, 2m, flores creme-esverdeadas.",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"8","2020-12-11 11:37:08-03","UFMG","BHCB","65167","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Ness) Mart.",NA,"2010","Stehmann, JR; Castro, IB","2995","2001","10","22","Brasil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","BHCB048400","auto",NA,NA,"Árvore, em mata próximo a rio, com ca. 7m de altura; flores com tépalas creme",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"9","2019-02-19 04:30:00-03","MO","MOBOT","1543633","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mez",NA,NA,"C.F.P. Martius","Martius 19279","1817",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"10","2019-11-13 11:21:18-03","USP","SPF","170515","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart.","Assis, LCS","2009","Moraes, PLR","2364","2001","01","23","Brasil","São Paulo","Mogi Mirim","-46.938528","-22.450528",NA,"SPF00170515",NA,"10","Bairro Mirante.",NA,NA,NA,NA,NA,NA,NA,"-46.938528","-22.450528",NA,NA
