"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","identifiedBy","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","order","individualCount","fieldNumber","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag"
"1","2020-09-23 10:38:46-03","E","E","261800","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus","isosyntype","Humboldt, Friedrich W.H.","Temperate South America","CO","Departamento de Cundinamarca","Fusagasaca","1030","1030","herbarium specimen of unspecif","BGBASE:272202","<a href=http://data.rbge.org.uk/herb/E00261800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00261800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:46-03","E","E","261801","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus","isosyntype","Humboldt, Friedrich W.H.","Temperate South America","CO","Departamento de Cauca","In apricis frigidis montis Chimborazo","2430","2430","herbarium specimen of unspecif","BGBASE:272204","<a href=http://data.rbge.org.uk/herb/E00261801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00261801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1914860","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"S. P. Churchill","South America","Colombia","Antioquia","Corregimiento de San Antonio de Prado, ca. 10 km de San Antonio.",NA,NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153111' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914860","Bryophyta","(Hook.) E.B.Bartram","14078","1986","07","04","Medellín","-75.58","6.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1914799","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"S. P. Churchill","South America","Colombia","Antioquia","Llanos de Cuiva, 2 km sobre carretera de entrada a Rio Grande, 145 km N de Medellin.","2730",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153049' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914799","Bryophyta","(Hook.) E.B.Bartram","14875","1986","07","29","Yarumal","-75.5","6.75","J.-P. Frahm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1914794","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"B. R. Ramírez P.","South America","Colombia","Nariño","Corregimiento del Encano. Motilon-El Socorro.","3400",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914794","Bryophyta","(Hook.) E.B.Bartram","2825","1990","11","10","Pasto","-77.18","1.18","S. P. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1914782","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"H. Bischler","South America","Colombia","Boyacá","Nevado del Cocuy. Corralitos. Salto de San Pablino.","4000",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153032' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914782","Bryophyta","(Hook.) E.B.Bartram","2988","1959","06","11","Guicán","-72.3","6.42","S. P. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1914839","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"G. S. Bryan","South America","Peru",NA,"Tambo de Vaca.","3962",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914839","Bryophyta","(Hook.) E.B.Bartram","575a","1923","06","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1914821","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"S. P. Churchill","South America","Colombia","Antioquia","Llanos de Cuiva, 2 km sobre carretera de entrada a Rio Grande, 145 km N de Medellin.","2730",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153071' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914821","Bryophyta","(Hook.) E.B.Bartram","15076-a","1986","07","29","Yarumal","-75.5","6.75","S. P. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1914802","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"S. P. Churchill","South America","Colombia","Nariño","Entre el km 13-15 de la carretera que conduce de Pasto a la Laguna de la Cocha.","3100",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153052' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914802","Bryophyta","(Hook.) E.B.Bartram","15926","1988","11","05","Pasto","-77.2","1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1914826","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","longisetus","Atractylocarpus longisetus",NA,"J. L. Luteyn","South America","Venezuela","Táchira","Trail leading to summit of Paramo de Tama.","2500","3200","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153076' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914826","Bryophyta","(Hook.) E.B.Bartram","7927","1978","01","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
