"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","individualCount","phylum","order","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag"
"1","2020-07-20 10:08:00-03","MO","MOBOT","101208102","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","guartelaense","Pleroma guartelaense","F.S. Mey. & R. Goldenb.","fide Guimarães et al.","Holotype","F.S. Meyer|J. Jardim","Meyer 844","2008","11","29","South America","Brazil","Paraná","Tibagi","Parque Estadual do Guartelá, trilha para o mirante","-50.2552278","-24.5612972","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-12 17:01:44-03","UEL","FUEL","46987","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","guartelaense","Pleroma guartelaense","F.S.Mey. & R.Goldenb.","Meyer, FS",NA,"Pires, HH; et al.","s.n.","2009","11","28",NA,"Brasil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.668056","-24.171111",NA,"Tracheophyta","Myrtales","2017","08","-49.668056","-24.171111","FUEL004895",NA,NA
"3","2020-11-12 17:01:44-03","UEL","FUEL","11484","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","guartelaense","Pleroma guartelaense","F.S.Mey. & R.Goldenb.","Meyer, FS","paratype","Silva, JM; Cordeiro, J; Poliquesi, CB","1826","1996","12","13",NA,"Brasil","Paraná","Tibagi","Cânion Guartelá, Margem do rio","-50.4136009216309","-24.5093994140625",NA,"Tracheophyta","Myrtales","2017","08",NA,NA,"FUEL011484","56988","auto"
"4","2020-11-12 17:01:44-03","UEL","FUEL","28887","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","guartelaense","Pleroma guartelaense","F.S.Mey. & R.Goldenb.","Meyer, FS",NA,"Kinupp, VF","295","1997","02","10",NA,"Brasil","Paraná","Tibagi","Parque Estadual Canyon Guartelá","-50.4136009216309","-24.5093994140625",NA,"Tracheophyta","Myrtales","2017","08",NA,NA,"FUEL004812","56988","auto"
