"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","occurrenceRemarks","continentOcean","individualCount","barcode","phylum","class","order","monthIdentified","dayIdentified","imagecode"
"1","2021-03-31 13:40:48-03","MN","R","216605","PreservedSpecimen","Plantae","Orchidaceae","Cochleanthes","flabeliformis","Cochleanthes flabeliformis","Schults & Garay","Silva, A.G.O.","2011","Silva, A.G.O.; Lacerda, R.W.","53","2011","03","26","Brasil","Rio de Janeiro","Duque de Caxias","Taquara","-43.3116989135742","-22.7856006622314","43°13#?#39.57#?##?#W","22°35#?#26.41#?##?#S","34388","244","244","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:19-03","MN","R","3442","PreservedSpecimen","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.","Hoehne, F.C.",NA,"Schreiner, C.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-06 09:56:50-03","UFOP","OUPR","14289","PreservedSpecimen","Plantae","Orchidaceae","Cochleanthes","flabelliformis","Cochleanthes flabelliformis","(Sw.) Schultes & Garay","Barros, F.; Vinhos, F.; Rodrigues, VT (LEFB)","2012","Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra do Frazão","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"auto","Sobre rovhas. Ervas. Flores brancas e azuis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-11-16 05:22:00-02","MO","MOBOT","1078589","PreservedSpecimen","Plantae","Orchidaceae","Cochleanthes","flabelliformis","Cochleanthes flabelliformis","(Sw.) R.E. Schult. & Garay",NA,NA,"Ángel M. Andreetta","Andreetta s.n.",NA,NA,NA,"Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-05-11 20:55:00-03","MO","MOBOT","645959","PreservedSpecimen","Plantae","Orchidaceae","Cochleanthes","flabelliformis","Cochleanthes flabelliformis","(Sw.) R.E. Schult. & Garay",NA,NA,"Gustav Wallis","Wallis s.n.",NA,NA,NA,"Ecuador","Zamora-Chinchipe",NA,"1000","-78.8333","-4.25",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-13 12:06:00-03","MO","MOBOT","655105","PreservedSpecimen","Plantae","Orchidaceae","Cochleanthes","flabelliformis","Cochleanthes flabelliformis","(Sw.) R.E. Schult. & Garay",NA,NA,"W. Mark Whitten","Whitten s.n.","1989","4","27","Ecuador","Zamora-Chinchipe",NA,"Río Jamboe S of Zamora",NA,NA,NA,NA,NA,"1200.00000000",NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","3638",NA,"Plantae","Orchidaceae","Warczewiczella","wailesiana","Warczewiczella wailesiana","(Lindl.) Rchb.f. ex É.Morren","T.E.C. Meneguzzo/2017",NA,"H. Q. Boudet Fernandes; W.Boone",NA,"1986","10","16","Brasil","Espírito Santo","Pedro Canário","Fazenda São Joaquim","-39.803889","-18.263889","39W48'14","18S15'50",NA,NA,NA,NA,"Culta. Herb/alcool em 21/06/1988. sépalas e pétalas e coluna brancas, base do labelo branca, calosidade do meio até o ápice violeta e vinho nas laterais.",NA,NA,"MBML003638",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","16315",NA,"Plantae","Orchidaceae","Warczewiczella","wailesiana","Warczewiczella wailesiana","(Lindl.) Rchb.f. ex É.Morren","T.E.C. Meneguzzo/2017",NA,"C. N. de Fraga","624","2000","04","10","Brasil","Espírito Santo","Linhares","Urussuquara","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,NA,"auto","Formação de restinga floresta arenosa litorânea. Epífita, flores com sépalas e pétalas brancas, labelo com ápice coerulea, calo com máculas lilás.",NA,NA,"MBML016315",NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","12996",NA,"Plantae","Orchidaceae","Warczewiczella","wailesiana","Warczewiczella wailesiana","(Lindl.) Rchb.f. ex É.Morren","T.E.C. Meneguzzo/2017",NA,"C. N. de Fraga; et al","208","1995","06","04","Brasil","Espírito Santo","Domingos Martins","Margens do Rio Jucu","-40.6591987609863","-20.3633003234863",NA,NA,"48150",NA,NA,"auto","Mata Atlântica. Folhas verdes com nervuras brancas, flores brancas nas pétalas e sépalas e labelo com centro e carina lilás, forte odor do gênero Zygopetalum, epífita em Pseudobombax grandiflorum, pétalas e sépalas dobradas para trás.",NA,NA,"MBML012996",NA,NA,NA,NA,NA,NA
"10","2021-02-25 10:11:24-03","CVRD","CVRD","4944","PreservedSpecimen","Plantae","Orchidaceae","Cochleanthes","wailesiana","Cochleanthes wailesiana","(Lindl.) Schultes & Garay","J. T. Atwood","1995","Folli, D.A.","2316","1994","05","24","BRASIL","ES","Linhares","Erva epífita.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,NA,"auto","<ll>dwc_commonname:</ll> Orquídea flor azul","América do Sul",NA,"CVRD004944","Magnoliophyta","Liliopsida","Asparagales","06","30","CVRD004944"
"11","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","candida","Warczewiczella candida","(Lindl.) Rchb.f.",NA,NA,"Morel, F","s.n.",NA,NA,NA,"Brazil","Bahia",NA,"Habitat in prov. Bahia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"Floret Octobri - Novembri","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","candida","Warczewiczella candida","(Lindl.) Rchb.f.",NA,NA,"Morel, F","s.n.",NA,NA,NA,"Brazil","Bahia",NA,"Habitat in prov. Bahia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,"Floret Octobri - Novembri","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Bradford, E","s.n.",NA,NA,NA,"Trinidad and Tobago",NA,NA,"in ins. Trinitatis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Wagener, H","s.n.",NA,NA,NA,"Venezuela",NA,NA,"Etiam in Venezuelae prov. Caracas altit. 1000m",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Eggers, HFA","5250?",NA,NA,NA,"Cuba",NA,NA,"in Cuba supra arbores altit. 800m",NA,NA,NA,NA,NA,NA,NA,NA,"Floret Octobri - Decembri","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Bradford, E","s.n.",NA,NA,NA,"Trinidad and Tobago",NA,NA,"in ins. Trinitatis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Eggers, HFA","5250",NA,NA,NA,"Cuba",NA,NA,"in Cuba supra arbores altit. 800m",NA,NA,NA,NA,NA,NA,NA,NA,"Floret Octobri - Decembri","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Sintenis, PEE","4710",NA,NA,NA,"?",NA,NA,"ad saxa et in sylvis primaevis ad radices arborum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Sintenis, PEE","4264?",NA,NA,NA,"?",NA,NA,"ad saxa et in sylvis primaevis ad radices arborum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Sintenis, PEE","507?",NA,NA,NA,"?",NA,NA,"ad saxa et in sylvis primaevis ad radices arborum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Sintenis, PEE","4264",NA,NA,NA,"?",NA,NA,"ad saxa et in sylvis primaevis ad radices arborum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warczewiczella","flabelliformis","Warczewiczella flabelliformis","(Sw.) Cogn.",NA,NA,"Sintenis, PEE","2192",NA,NA,NA,"?",NA,NA,"ad saxa et in sylvis primaevis ad radices arborum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
