"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","continentOcean","country","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","year","month","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","fieldNumber","preparationType","minimumElevationInMeters","recordNumber","stateProvince","county","maximumElevationInMeters","individualCount","phylum","sex"
"1","2020-02-08 08:46:38-03","NBC","NL-BOTANY","L 0061898","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe","McCook LM","1989","01","01","isolectotype","Schomburgk RH","Southern America","Guyana","Guyana AnglicaRoraima??","90810320","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200061898 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0061898","NL-L0061898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:38-03","NBC","NL-BOTANY","U.1463113","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe",NA,NA,NA,NA,NA,"Granville J-J de; Berg CC; Jansen-Jacobs MJ; Setten J van","Southern America","French Guiana","Montagnes de la Trinité. Sommet nord.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463113","NL-U1463113","1984","01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:38-03","NBC","NL-BOTANY","U.1463114","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe",NA,NA,NA,NA,NA,"Hahn W; Judziewicz EJ; Tiwari S; Gopaul D","Southern America","Guyana","Plants of Guianas. Region: Potaro-Siparuni. Kaieteur Falls National Park.","U 0205957","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463114","NL-U1463114","1988","04","16","-59.483333","5.166667","-59.483333","5.166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:46:38-03","NBC","NL-BOTANY","U.1463115","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe",NA,NA,NA,NA,NA,"Hahn W; Judziewicz EJ; Tiwari S; Gopaul D","Southern America","Guyana","Plants of Guianas. Region: Potaro-Siparuni. Kaieteur Falls National Park.","U 0205956","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463115","NL-U1463115","1988","04","16","-59.483333","5.166667","-59.483333","5.166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:38-03","NBC","NL-BOTANY","U.1463118","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe",NA,NA,NA,NA,NA,"Boschwezen","Southern America","Surinam","Wilhelmina Gebergte. Lijn naar Lucie-riv., km 40½, moeri-moeri bos.","U 0205961","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463118","NL-U1463118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:38-03","NBC","NL-BOTANY","U.1463119","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe",NA,NA,NA,NA,NA,"Boschwezen","Southern America","Surinam","Wilhelmina Gebergte. Lijn naar Lucie-riv., km 40½, moeri-moeri bos.","U 0205960","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463119","NL-U1463119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 12:27:37-03","MNHN","RECOLNAT_MNHN_P","P00331045","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe","Veyret",NA,NA,NA,NA,"Larpin, D.",NA,"Guyane française","Montagne des Nouragues. Bassin de l'Arataye",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00331045' target='other'> <mi>dwc_moreinfo</mi></a>","P00331045","P00331045_01","1989","4",NA,NA,NA,NA,NA,"627","hb",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-03 19:30:05-03","MNHN","RECOLNAT_MNHN_P","P00331046","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe","Granville",NA,NA,NA,NA,"Granville, J.J. de",NA,"Guyane française","Massif des Emerillons, zone centrale",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00331046' target='other'> <mi>dwc_moreinfo</mi></a>","P00331046","P00331046_01","1980","9","10",NA,NA,NA,NA,"3803","hb","400",NA,NA,NA,NA,NA,NA,NA
"9","2016-12-21 13:55:43-02","MNHN","RECOLNAT_MNHN_P","P00331047","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe","Granville",NA,NA,NA,NA,"Granville, J.J. de",NA,"Guyane française","Massif des Emerillons, zone centrale",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00331047' target='other'> <mi>dwc_moreinfo</mi></a>","P00331047","P00331047_01","1980","9","10",NA,NA,NA,NA,"3803","hb","400",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-03 19:30:05-03","MNHN","RECOLNAT_MNHN_P","P00331048","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Phragmipedium","lindleyanum","Phragmipedium lindleyanum","(R.H.Schomb. ex Lindl.) Rolfe","Granville",NA,NA,NA,NA,"Granville, J.J. de",NA,"Guyane française","Massif des Emerillons, zone centrale",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00331048' target='other'> <mi>dwc_moreinfo</mi></a>","P00331048","P00331048_01","1980","9","10",NA,NA,NA,NA,"3803","hb","400",NA,NA,NA,NA,NA,NA,NA
