"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:36:11-03","E","E","313037","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","Hind, D.J.N.; Queiroz, R.F.","50058","1992","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315708","<a href=http://data.rbge.org.uk/herb/E00313037 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00313037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:11-03","E","E","162887","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","J.H.Kirkbride","5264","1983","04","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171116","<a href=http://data.rbge.org.uk/herb/E00162887 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:11-03","E","E","281793","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","Brooks, R.R.; Reeves, R.D.","540","1990","06","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293662","<a href=http://data.rbge.org.uk/herb/E00281793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476631","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","W. Ganev","3040","1994","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476631","Magnoliophyta","Gentianales","(Turcz.) Fontella","D. J. Goyder","Bahia","Abaíra","Serrinha Guarda-Mor","-41.87","-13.3","1400","1400","NY00476631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","439830","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","R. C. Forzza","1261","1999","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439830","Magnoliophyta","Gentianales","(Turcz.) Fontella","A. Rapini","Bahia","Oliveira dos Brejinhos","Serra da Agua Quente","-42.8958","-12.3169",NA,NA,"NY00439830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","572250","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","W. Ganev","1870","1993","07","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572250","Magnoliophyta","Gentianales","(Turcz.) Fontella","D. J. Goyder","Bahia","Abaíra","Rio de Contas: Gerais do Porco-gordo","-42.42","-13.75","1170","1170","NY00572250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","572258","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","D. J. N. Hind","H50058","1992","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572258","Magnoliophyta","Gentianales","(Turcz.) Fontella","D. J. Goyder","Bahia","Abaíra","Campo de Ouro Fino (alto)","-41.9","-13.25","1700","1800","NY00572258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","572263","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","W. Ganev","1644","1992","12","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572263","Magnoliophyta","Gentianales","(Turcz.) Fontella","D. J. Goyder","Bahia","Piata","Jambreiro-Cravada, Serra do Atalho","-41.92","-13.1","1400","1400","NY00572263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","971664","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","cordata","Ditassa cordata","M. A. Farinaccio","275","1998","07","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971664","Magnoliophyta","Gentianales","(Turcz.) Fontella","M. A. Farinaccio","Minas Gerais","Sao Roque de Minas","Parque Nacional da Serra da Canastra. Torre de observação próximo ao Curral de Pedras.","-46.3656","-20.2456",NA,NA,"NY00971664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1104886","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","virgata","Ditassa virgata","P. Clausen","359",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104886","Magnoliophyta","Gentianales","E.Fourn.",NA,"Minas Gerais",NA,"[Protologue does not give specific locality]",NA,NA,NA,NA,"NY01104886_01","Authentic (Not A Type)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
