"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","imagecode","order","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","607577","PreservedSpecimen","Plantae","Marchantiophyta","Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Hook. & Wilson","J. J. Engel","W. R. Buck","41376","2001","11","26","South America","Chile","Magallanes y Antártica Chilena","Antártica Chilena","Cabo de Hornos. Isla Navarino, Cerro de la Bandera","-67.6391667","-54.9633333","600","650","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1776837","PreservedSpecimen","Plantae","Marchantiophyta","Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Hook. & Wilson","S. P. Churchill","S. P. Churchill","22638","2003","05","22","South America","Bolivia","Cochabamba","Carrasco","Serrania Siberia. ca. 4 km oeste de El Churo.","-64.7789","-17.8111","2720",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1776836","PreservedSpecimen","Plantae","Marchantiophyta","Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Hook. & Wilson","S. P. Churchill","S. P. Churchill","22707","2003","06","10","South America","Bolivia","Cochabamba","Chapare","80 km de Villa Tunari, entre Locotal-Corani, carretera nuevo Cochabamba-Santa Cruz.","-65.9761","-17.2047","2600",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1776835","PreservedSpecimen","Plantae","Marchantiophyta","Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Hook. & Wilson","R. Grolle","J. Hyvönen","5355","1991","12","25","South America","Chile",NA,NA,"XI Region de Aisen del General Carlos Ibanez del Campo. Prov. Aisen: Rio Cisne valley by the S border of Parque Nacional Queulat, ca. 26.5 km from Puerto Cisnes.",NA,NA,"60",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","607531","PreservedSpecimen","Plantae","Marchantiophyta","Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Hook. & Wilson","J. J. Engel","W. R. Buck","40768","2001","11","21","South America","Chile","Magallanes y Antártica Chilena","Antártica Chilena","Cabo de Hornos. Isla Navarino, Parque Etnobotánico Omora, ca. 3 km W of Puerto Williams","-67.65403","-54.94125","100","100","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","607564","PreservedSpecimen","Plantae","Marchantiophyta","Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Hook. & Wilson","J. J. Engel","W. R. Buck","41304","2001","11","25","South America","Chile","Magallanes y Antártica Chilena","Antártica Chilena","Cabo de Hornos. Isla Navarino, La Vuelta del Perro, ca. 16.5 km E of Puerto Williams","-67.3886","-54.9331",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:46-03","UFRJ","RFA","40943","PreservedSpecimen","Plantae",NA,"Fossombroniaceae","Noteroclada","confluens","Noteroclada confluens","Taylor ex Hook. & Wilson","E.C.N. Melo; G.R. de Amorim","E.C.N. Melo; G.R. de Amorim","19","2016","09","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.614167","-22.435","1081","1081",NA,NA,"RFA41120","2016","10","10","44º36'51''W","22º26'6''S",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:34-03","UFABC","HUFABC","001388","PreservedSpecimen","Plantae",NA,"Pelliaceae","Noteroclada","confluens","Noteroclada confluens","Taylor ex Hook. f. & Wilson","Peralta, DF","Yano, O; Marcelli, MP","13426","1989","08","19",NA,"Brasil","São Paulo","Ibiuna","Bairro Morro Grande, No barranco úmido, jumto da estrada","-47.0756","-23.2332","860","860",NA,"Doação do Herbário SP","HUFABC001388","2017","08",NA,"-47.0756","-23.2332",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:05:53-03","UFBA","ALCB","100362","PreservedSpecimen","Plantae",NA,"Pelliaceae","Noteroclada","confluens","Noteroclada confluens","(Hook.f. & Taylor) Spruce",NA,"Schäfer-Verwimp; Verwimp","10073","1988","10","09","Southern America","Brasil","Espírito Santo","Domingos Martins","Reserva Florestal Pedra Azul","-41.016667","-20.416667","1180","1180",NA,NA,NA,NA,NA,NA,"-41.016667","-20.416667",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-09 17:04:57-03","IAP","PACA-BRYOPHYTES","111333","PreservedSpecimen","Plantae",NA,"Noterocladaceae","Noteroclada","confluens","Noteroclada confluens","Taylor ex Hook. f. & Wilson","Costa, D. P.","Sehnem, A.","1085","1936","07","15",NA,"Brasil","RS","São Leopoldo","Feitoria","-51.1472015380859","-29.7602996826172",NA,NA,NA,"Hepática Habitat: Ad terram.","PACA111333","2016","06",NA,NA,NA,"10287","auto",NA,NA,NA,NA,NA,NA
