"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","imagecode","geoFlag","class","order","typeStatus","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1671353","PreservedSpecimen","Plantae","Marchantiophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm. & Lindenb.","Y. Yuzawa","L. Brako","4391","1982","05","31","South America","Ecuador","Cotopaxi","Cotopaxi National Park. 1-3 km below entrance gate.","3600","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1948040' target='other'> <mi>dwc_moreinfo</mi></a>","NY01671353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","BRI029","S","Plantae","Bryophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana",NA,NA,"Starling, M. F. V.; Yano, O.; Patrus, P.",NA,"2003","04","13",NA,"Brasil","Minas Gerais","Serra do Curral","1.2",NA,"48",NA,"Belo Horizonte","-44.010833","-20.031944","44°00'39'' W","20°01'55'' S","1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","BRI030","S","Plantae","Bryophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana",NA,NA,"Starling, M. F. V.; Yano, O.; Patrus, P.",NA,"2003","04","13",NA,"Brasil","Minas Gerais","Serra do Curral","1.2",NA,"72",NA,"Belo Horizonte","-44.010833","-20.031944","44°00'39'' W","20°01'55'' S","1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-27 20:28:30-03","PUCPR","HUCP","7449","S","Plantae","Marchantiidae","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm. & Lindenb.","Shirata, MT","Shirata, MT","2524","1994","09","27",NA,"Brasil","Paraná","Estrada da Graciosa",NA,NA,NA,"HUCP00023695","Morretes","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","HUCP00023695","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-04-07 13:09:41-03","MICH","MICH","514789","PreservedSpecimen","Plantae","Hepatophyta","Hepaticae","Jungermannia","beyrichiana","Jungermannia beyrichiana","Lehm. et Lindenb.",NA,"Beyrich,","s.n.",NA,NA,NA,NA,"Brazil",NA,"Serra Dos Orgaos, near Semidorio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hepatopsida","Jungermanniales","isotype",NA,NA,NA,NA,NA
"6","2019-10-09 11:26:30-03","UFBA","ALCB","123870","PreservedSpecimen","Plantae","Marchantiophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm. & Lindenb.","Bastos, C","Bastos, C","5798","2016","10","06","Southern America","Brasil","Bahia","Povoado de Pedra Branca, Serra da Jiboia, Morro da Pioneira, interior da mata.",NA,NA,"Lejeunea adpressa Nees, Diplasiolejeunea brunnea Steph.",NA,"Santa Teresinha","-39.474722","-12.847778","-39.474722","-12.847778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:26:30-03","UFBA","ALCB","123968","PreservedSpecimen","Plantae","Marchantiophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm. & Lindenb.","Bastos, C","Vilas Bôas-Bastos, SB","2683b","2015","09","17","Southern America","Brasil","Bahia","Recôncavo Sul, Povoado de Pedra Branca, Serra da Jiboia, Morro da Pioneira, interior da mata.",NA,NA,"Corticícola; Floresta ombrófila montana",NA,"Santa Teresinha","-39.475556","-12.855556","-39.475556","-12.855556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-25 16:51:34-03","UFBA","ALCB","124164","PreservedSpecimen","Plantae","Marchantiophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm. & Lindenb.","Bastos, C","Vilas Bôas-Bastos, SB","2650-A","2015","09","18","Southern America","Brasil","Bahia","povoado de Pedra Branca, Serra da Jiboia, Morro da Pioneira, Interior da mata. Corticícola. Floresta ombrófila.",NA,NA,"Corticícola",NA,"Santa Teresinha","-39.476111","-12.848611","-39.476111","-12.848611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-25 16:51:34-03","UFBA","ALCB","124387","PreservedSpecimen","Plantae","Marchantiophyta","Frullaniaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm. & Lindenb.","Carvalho, C","Bastos, C","5965","2017","09","28","Southern America","Brasil","Bahia","Município de Wenceslau Guimarães, Comunidade Quilombola de Nova Esperança, Estação Ecológica de Wenceslau Guimarães, Trilha Serra Grande. Corticícola.",NA,NA,"Corticícola Ceratolejeunea cornuta (Lindenb.) Steph.",NA,"Wenceslau Guimarães","-39.720278","-13.595278","-39.720278","-13.595278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-09 17:04:45-03","IAP","PACA-BRYOPHYTES","106209","PreservedSpecimen","Plantae",NA,"Jubulaceae","Frullania","beyrichiana","Frullania beyrichiana","(Lehm. & Lindenb.) Lehm & Lindemb.","O. Yano","Sehnem, A.","6339","1953","02","04",NA,"Brasil","RS","Serra da Rocinha",NA,NA,"Habitat: Ad ramos arboris in silva nebulari.","PACA106209","Aparados da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","06",NA,NA,NA
