"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:35:53-03","E","E","334983","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","G.Claraz","56","Temperate South America","AR","Bahia Blanca, Patagonia. Entre Rios","herbarium specimen of unspecif","BGBASE:365510","<a href=http://data.rbge.org.uk/herb/E00334983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:53-03","E","E","334827","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","Tweedie, John",NA,"Temperate South America","UY","Banda Oriental","herbarium specimen of unspecif","BGBASE:361650","<a href=http://data.rbge.org.uk/herb/E00334827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:53-03","E","E","334829","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","Tweedie, John",NA,"Temperate South America","UY","Pastures of Banda Oriental","herbarium specimen of unspecif","BGBASE:361652","<a href=http://data.rbge.org.uk/herb/E00334829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:53-03","E","E","334828","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","Gillies, John",NA,"Temperate South America","AR","Pampas of Buenos Ayres","herbarium specimen of unspecif","BGBASE:361651","<a href=http://data.rbge.org.uk/herb/E00334828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334828","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:53-03","E","E","334984","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","G.Claraz","184","Temperate South America","AR","Bahia Blanca, el nord le la Patagonia.","herbarium specimen of unspecif","BGBASE:365511","<a href=http://data.rbge.org.uk/herb/E00334984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334984","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:35:53-03","E","E","334986","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","Gourlay, William Balfour",NA,"Temperate South America","AR","Córdoba","herbarium specimen of unspecif","BGBASE:365513","<a href=http://data.rbge.org.uk/herb/E00334986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334986","Provincia de Córdoba","1905","03","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:35:53-03","E","E","334985","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","G.Claraz","101","Temperate South America","AR","Bahia Blanca, el nord le la Patagonia.","herbarium specimen of unspecif","BGBASE:365512","<a href=http://data.rbge.org.uk/herb/E00334985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334985","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:35:53-03","E","E","334826","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","gnaphaloides","Pfaffia gnaphaloides","Tweedie, John",NA,"Temperate South America","AR","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361649","<a href=http://data.rbge.org.uk/herb/E00334826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334826","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","639082","PreservedSpecimen","Plantae","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","R. M. Harley","19057","South America","Brazil","Serra do Açuruá. Ca. 4 km N. of Sao Inácio on road to Xique Xique","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639082","Bahia","1977","02","25","Magnoliophyta","Caryophyllales","(Schult.) Seub.","M. S. Marchioretto","-42.72","-11.08","500","500","NY00639082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","639081","PreservedSpecimen","Plantae","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","R. M. Harley","16376","South America","Brazil","49 km N. of Senhor do Bonfim on the BA 130 highway to Juazeiro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639081","Bahia","1974","02","26","Magnoliophyta","Caryophyllales","(Schult.) Seub.","M. S. Marchioretto","-40.22","-10.08","500","500","NY00639081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
