"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01173174","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","N. H. Holmgren","H. H. Rusby","1388","1886","10","South America","Brazil","Rondônia","Falls of Madeira","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387211' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173174","NY01173174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 14:38:00-03","NY","NYBG","569163","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii",NA,"N. H. Holmgren","G. Gardner","I.214","1836","11","South America","Brazil","Rio de Janeiro","In humidis prope Tejuca.",NA,NA,"sheet","Aug. - Nov. 1836. Comm. am. Shuttleworth. 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","569161","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","S. Bidgood","R. M. Harley","25296","1988","10","South America","Brazil","Bahia","Livramento do Brumado. Arredores da cidade, na beira da estrada para Rio de Contas.","-41.83","-13.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569161",NA,"22","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1181986","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","D. C. Zappi","W. Ganev","1541","1992","11","South America","Brazil","Bahia","Estrada Catolés - Abaira, ca. 5 km de Catolés, mata do engenho.","-41.82","-13.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181986",NA,"24","1000","1000","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01173176","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","N. H. Holmgren","H. T. Beck","324","1987","11","South America","Brazil","Pará","Cuantã do Anajás. Rio Anajás between Anajás and Vista Alegre. Terra firme, Field clearing for heavily grazed pasture.","-49.8258036","-0.9555302","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317513' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173176","NY01173176_01","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01173175","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","N. H. Holmgren","R. Spruce","1027",NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,"sheet","[Collector has used this collection number more than once.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387213' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173175","NY01173175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 02:12:00-03","NY","NYBG","1182013","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii",NA,NA,"L. Riedel","39",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391325' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","569164","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","F. W. Pennell","Martii Herbar. Florae Brasil.","1288",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","569157","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","N. H. Holmgren","S. A. Mori","9857","1978","04","South America","Brazil","Bahia","Area do CEPEC (Centro de Pesq. do Cacau), Km 22 rodovia Ilhéus/Itabuna - BR 415.","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569157",NA,"13","50","50","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 21:46:00-03","NY","NYBG","911374","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Torenia","thouarsii","Torenia thouarsii",NA,NA,"L. Riedel","39",NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
