"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","order"
"1","2020-11-04 11:01:41-03","ESALQ","ESA","56534","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Hysterionica","pinatissecta","Hysterionica pinatissecta","Matzenb. & Sobral","Stehmann, J.R.","4385.0","2005","11","22","Brasil","Santa Catarina","Bom Jardim da Serra","-49.624698638916","-28.3369007110596","32577","ESA056534","ESA056534","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 09:59:09-03","FURB","FURB","58072","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Funez, L.A.; Zermiani, A.E.","7457","2018","03","16","Brasil","Santa Catarina","Bom Jardim da Serra","-49.624698638916","-28.3369007110596","32577","FURB58072","FURB58072","auto","Funez, L.A.","2020","02","27","Serra do Rio do Rastro.","lígulas brancas, disco amarelo Habitat: Aparados da Serra Habito: Erva",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:16:13-03","MBM","MBM","387034","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10204","2013","11","08","Brazil","Santa Catarina","Bom Jardim da Serra","-49.550339","-28.398556",NA,"MBM387034",NA,NA,"Barboza, E.","2013","12","03","Estrada do Rio do Rastro","Planta ereta. Capítulos alvacentos. UNICATA.; Paredões úmidos.","Southern America","-49.550339","-28.398556","1330","1330",NA,NA
"4","2020-12-21 16:16:13-03","MBM","MBM","387034","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10204","2013","11","08","Brazil","Santa Catarina","Bom Jardim da Serra","-49.550339","-28.398556",NA,"MBM387034",NA,NA,"Barboza, E.","2013","12","03","Estrada do Rio do Rastro","Planta ereta. Capítulos alvacentos. UNICATA.; Paredões úmidos.","Southern America","-49.550339","-28.398556","1330","1330",NA,NA
"5","2020-12-21 16:16:13-03","MBM","MBM","347483","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.","7201","2008","11","16","Brazil","Santa Catarina","Lauro Müller","-49.3967018127441","-28.3927993774414","15992","MBM347483",NA,"auto","Heiden, G.","2010","07","18","Serra do Rio do Rastro","Subarbusto, 40 cm, capítulo alvacento.; Encosta do paredão úmido.","Southern America",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:16:13-03","MBM","MBM","303670","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Hatschbach, G.; Barboza, E.; Costa, E.F.; Barboza, E.; Costa, E.F.","79109","2005","03","13","Brazil","Santa Catarina","Timbé do Sul","-49.8471984863281","-28.8302993774414","15081","MBM303670",NA,"auto","Sobral, M.","2005","03","13","Serra do Rio do Rastro","Ereta, 50 cm, capítulo lilás.; Campo de altitude.","Southern America",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:16:13-03","MBM","MBM","212653","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Matzenbacher, N.I.","1675","1994","12","09","Brazil","Santa Catarina","Lauro Müller","-49.3967018127441","-28.3927993774414","15992","MBM212653","MBM212653","auto",NA,NA,NA,NA,"Serra do Rio do Rastro","Em fendilhamentos do paredão da rocha, à beira da rodovia; Em fendilhamentos do paredão da rocha, à beira da rodovia.","Southern America",NA,NA,"1170","1170","ISOTYPE",NA
"8","2020-12-11 11:33:02-03","UFMG","BHCB","99766","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Stehmann, JR; Mentz, LA; Fregonezi, JN; Teles, AM","4385","2005","11","26","Brasil","Santa Catarina","Bom Jardim da Serra","-49.557222","-28.38",NA,NA,NA,NA,NA,NA,NA,NA,"Serra do Rio do Rastro.","Plantas do Brasil. Subarbustivo, ca. 0,4m. Flores do raio brancas, do disco amarelas. MATERIAL PRESERVADO EM ÁLCOOL ANTES DA SECAGEM.","Southern America","-49.557222","-28.38","1433","1433",NA,NA
"9","2012-09-13 06:54:00-03","MO","MOBOT","2456957","PreservedSpecimen","Plantae",NA,"Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","Nélson I. Matzenbacher","Matzenbacher 1675","1994",NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serra do Rio do Rastro, Lauro Müller",NA,"South America",NA,NA,NA,NA,NA,NA
"10","2021-01-26 14:12:24-03","CPACT","ECT","3836","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Hysterionica","pinnatisecta","Hysterionica pinnatisecta","Matzenb. & Sobral","G.Heiden; C.T.Oliveira","1809","2011","11","14","Brasil","Santa Catarina","Lauro Muller","-49.548611","-28.395833",NA,"ECT0003836","ECT0003836",NA,"G.Heiden","2011","11","12","Serra do Rio do Rastro. Floresta ombrófila densa (Mata Atlântica), afloramentos rochosos de basalto.",NA,NA,"49º32'55''W","28º23'45''S","1252","1252",NA,NA
