"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","yearIdentified","monthIdentified","class","individualCount","dayIdentified","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","816085","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","montana","Thelypteris montana","Salino","A. Salino","A. C. Brade","20708","1929","07","28","South America","Brazil","Rio de Janeiro","Sa da Estrella, Meio da Serra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816085","NY00816085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","816086","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","montana","Thelypteris montana","Salino","A. Salino","A. C. Brade","14499","1935","05","21","South America","Brazil","Rio de Janeiro","Itatiaia - Lote 21.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816086","NY00816086_01","Itatiaia","-44.65833","-22.358","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","816087","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","montana","Thelypteris montana","Salino","A. Salino","A. C. Brade","14499","1935","05","21","South America","Brazil","Rio de Janeiro","Itatiaia - Lote 21.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816087","NY00816087_01","Itatiaia","-44.65833","-22.358","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:33:40-03","MN","R","232807","PreservedSpecimen","Plantae",NA,NA,"Thelypteridaceae","Goniopteris","montana","Goniopteris montana","(Salino) Salino & T.E. Almeida",NA,"Damasceno, E. R.; Wenderroschy, N. G.","613","2013","05","09",NA,"Brasil","Rio de Janeiro","Parque Estadual dos Três Picos",NA,NA,"R010043341,R010043342,R010043343",NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-01 15:33:16-03","PUC-RIO","FCAB","8024","PreservedSpecimen","Plantae",NA,"Pteridophyta","Thelypteridaceae","Goniopteris","montana","Goniopteris montana","(Salino) Salino & T.E. Almeida","E.R. Damasceno","E.R. Damasceno; N.G. Wenderroschy","555","2013","02","25",NA,"Brasil","Rio de Janeiro","Parque Estadual dos Três Picos, Trilha do antigo Leito Ferroviário. Acesso à floresta após o segundo rio.",NA,"Com gemas desenvolvidas no ápice da folha.&nf;; No solo.","FCAB008024",NA,"Cachoeira de Macacu","-42.573972","-22.378111","862","862",NA,NA,"-42.573972","-22.378111",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 17:37:42-03","MNHN","RECOLNAT_MNHN_P","P00167480","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Thelypteris","montana","Thelypteris montana","Salino","Salino","Glaziou, A.",NA,"1867","4","4",NA,"Brésil",NA,"Serra d'Estrella","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00167480' target='other'> <mi>dwc_moreinfo</mi></a>","P00167480","P00167480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"962",NA,NA,NA,NA,NA,NA
"7","2020-09-29 14:53:50-03","UFPR","UPCB","61226","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Thelypteridaceae","Goniopteris","montana","Goniopteris montana","(Salino) Salino & T.E.Almeida","Salino, A.","Labiak, P.H. et al.","4399","2008","01","09",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, trilha para a Cachoeira Itaporani.",NA,"Terrestre no interior da mata. Grande população. Caule decumbente. Frondes com 1,2m. Floresta Atlântica..","UPCB0010300","UPCB0010300","Itatiaia","-44.619444","-22.428333","1150","1150",NA,NA,"-44.619444","-22.428333",NA,"2016","11",NA,NA,NA,NA
"8","2020-07-15 14:43:46-03","UNESP-RC","HRCB","64815","PreservedSpecimen","Plantae",NA,NA,"Thelypteridaceae","Goniopteris","montana","Goniopteris montana","Salino","Alexandre Salino","Grupo Vermelho",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia - Travessa do Rui Braga",NA,NA,NA,NA,"Itatiaia","-44.620028",NA,NA,NA,NA,NA,"44º37'12.1''w","22º25'48.1'' SS",NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1443989","PreservedSpecimen","Plantae",NA,"Polypodiales","Thelypteridaceae","Goniopteris","montana","Goniopteris montana","(Salino)",NA,"P. von Luetzelburg","6838","1916","11",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Serra Estrella",NA,NA,"US01655497","US01655497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridophyte","1",NA,NA
"10","2019-12-19 16:21:06-03","UFMG","BHCB-SL","134034","PreservedSpecimen","Plantae",NA,NA,"Thelypteridaceae","Goniopteris","montana","Goniopteris montana","(Salino) Salino & T.E.Almeida","Salino, A","Salino, A; Viveros, RS","14680","2009","10","30","América","Brasil","Espírito Santo","Cominidade Couro dos Monos, Sítio Recanto do Aconchego, Floresta Estacional Semidecidual",NA,"Terrestre; interior de mata","BHCB001736","BHCB001736","Rio Novo do Sul","-40.89375","-20.837611","135","135",NA,NA,"-40.89375","-20.837611",NA,NA,NA,NA,NA,NA,NA
