"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","355343","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Mespilodaphne","glauca","virescens","Mespilodaphne glauca virescens","Meisn.","syntype","J. S. Blanchet","3250","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","The No. 3250 B is also written on specimen. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355343","NY00355343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","538037","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"J. G. Jardim","559","South America","Brazil","Bahia","-39.08","-14.77","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538037","NY00538037_01","H. H. van der Werff","1994","09","29","Ilhéus","Mata da Esperança. Ca. de 3 km ao W da sede, próximo à Represa para captaçao de água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","538039","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"R. P. Belém","1493","South America","Brazil","Espírito Santo","-40.10894","-18.996963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538039","NY00538039_01","J. G. Rohwer","1965","08","09","Linhares","Reserva Florestal de Sooretama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02841571","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"J. Braga","240","South America","Brazil","Rio de Janeiro","-42.9818992614746","-22.5372009277344","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3165704' target='other'> <mi>dwc_moreinfo</mi></a>","NY02841571","NY02841571_01",NA,"1993","02","26","Guapimirim","Bairro de Setiba, restinga de Setiba, próximo ao condomínio Aldeia de Setiba.","21463","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","538040","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"W. W. Thomas","7558","South America","Brazil","Bahia","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538040","NY00538040_01","W. W. Thomas","1991","07","01","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda lagoa do Conjunto Fazenda Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","538038","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"J. R. Pirani","3059","South America","Brazil","Espírito Santo","-40.065886","-19.852031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538038","NY00538038_01","H. H. van der Werff","1994","02","21","Aracruz","Rodovia Coqueiral - Regência, ramal a E da estrada a 2 km do trevo de Barra do Riacho, Restinga de Comboios, propriedade da Aracruz Florestal S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02862401","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"L. Quintanilha","17","South America","Brazil","Rio de Janeiro","-42.189167","-22.850278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3270558' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862401","NY02862401_01",NA,"2012","05","04","Iguaba Grande","BR 106.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","538041","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca",NA,"Ocotea glauca","Mez",NA,"W. W. Thomas","9813","South America","Brazil","Bahia","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538041",NA,"H. H. van der Werff","1993","05","06","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Transect study site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","355349","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","glauca","virescens","Ocotea glauca virescens","Mez","syntype","J. S. Blanchet","3250","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","The No. 3250 B is also written on specimen. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355349","NY00355349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","355716","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Oreodaphne","glauca",NA,"Oreodaphne glauca","Nees & Mart.","isotype fragment","F. Sellow","458","South America",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355716","NY00355716_01",NA,NA,NA,NA,NA,"[locality unspecified on label. Filed at NY under S. Amer.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
