"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","class","order","continentOcean","locality","occurrenceRemarks","imagecode","phylum","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","fieldNumber","preparationType","individualCount","typeStatus","relatedCatalogItem"
"1","2021-01-06 11:41:48-03","UFPI-MRV","HDELTA","1840","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Andrade, I. M.","2016","04","12","Andrade, I. M.","4368","2015","03","21","Brasil","São Paulo","Iporanga","-48.590278","-24.580556","48°35'25,00''W","24°34'50,00''S","HDELTA001840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056925","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Brade AC; Altamiro; Apparicio",NA,"1946","06","03","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1056925","Magnoliopsidae","Lamiales","Southern America","Proced. Espirito Santo-Mun. Itaguaçú-Jatiboca.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1056925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:18:47-03","MN","R","11220","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Glaziou, A.F.M.","18398","1890","06","15","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"R000011220",NA,NA,NA,NA,"Plantas do Brasil Central","R000011220_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:29:53-03","UFJF","CESJ","64104","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A. Indriunas","2014","04",NA,"V.A.O. Dittrich; A. Salino; P.O. Morais; F.A. Carvalho; L.C.R.S. Teixeira","956","2001","09","11","Brasil","São Paulo","Bananal","-44.3199996948242","-22.6800003051758",NA,NA,"CESJ064104",NA,NA,"América do Sul","Estação Ecológica de Bananal, Altitude aproximada","Herbácea/subarbustiva de aprox. 0,5m de altura na Floresta Ombrófila Densa Montana. Corola rosado-avermelhada.","CESJ064104","Angiosperma","26795","1250","1250","auto",NA,NA,NA,NA,NA
"5","2021-03-01 16:21:11-03","UNICAMP","UEC","45814","S","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Côrtes, ALA","2013","11",NA,"Weyland Vieira, MC","705","1983","07","06","Brazil","Minas Gerais","Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,"UEC049610",NA,NA,NA,"Fazenda Montes Claros","Herbácea. Flores branca-arroxeadas. Matão.",NA,"Magnoliopsida","49886",NA,NA,"auto",NA,NA,NA,NA,NA
"6","2019-07-05 19:08:16-03","UFES","VIES","42569","S","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Sossai, B.G.; Nicchio, R.; Miranda, V.S.; Mendes, B.; Dias, L.F.D.; Alves-Araújo, A.; Nepomuceno, A.","384","2019","02","20","Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"VIES042569",NA,NA,NA,"Estrada Principal. Flona do Rio Preto",NA,"VIES042569",NA,"41644",NA,NA,"auto",NA,NA,NA,NA,NA
"7","2020-12-21 16:11:09-03","MBM","MBM","161042","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Kameyama, C.","1992",NA,NA,"Kameyama, C.; Prado, J.; Prado, J.","18","1992","07","16","Brazil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"MBM161042",NA,NA,"Southern America","mata ao lado direito na direção de Teresópolis, além Paraíba, margem de rio.","40cm, flores com corola rosa e estames brancos.","MBM161042",NA,"38539",NA,NA,"auto",NA,NA,NA,NA,NA
"8","2020-12-21 16:11:09-03","MBM","MBM","144252","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Wasshausen, D.","1992",NA,NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","55680","1991","06","16","Brazil","Espírito Santo","Venda Nova do Emigrante",NA,NA,NA,NA,"MBM144252",NA,NA,"Southern America","Alto Bananal","50cm, flor lilás.","MBM144252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:11:09-03","MBM","MBM","201686","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Côrtez, A.L.A.","2010","10","02","Hatschbach, G.; Silva, J.M.; Silva, J.M.","65289","1996","08","10","Brazil","Espírito Santo","Venda Nova do Emigrante",NA,NA,NA,NA,"MBM201686",NA,NA,"Southern America","Alto Bananal","Flor lilás.","MBM201686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:11:09-03","MBM","MBM","426865","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Maciel, T.A.; Burda, T.M.",NA,NA,NA,"Burda, T.M.; Maciel, T.A.; Martins, B.R.; Labiak, P.; Goldenberg, R.; Maciel, T.A.; Martins, B.R.; Labiak, P.; Goldenberg, R.","10","2016","02","13","Brazil","Paraná","Curitiba","-49.236944","-25.441667","-49.236944","-25.441667","MBM426865",NA,NA,"Southern America","Jardim Botânico de Curitiba","Erva, 60 cm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
