"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","phylum","order","imagecode","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:03-03","UNESC","CRI","12290","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans","(L.) Juss. ex Kunth","Alexandre Medeiros","2017","04","23","Alexandre Medeiros","2017","04","23","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho.","-48.6347007751465","-26.9906005859375","8793","Coleta 199","CRI010474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:36-03","E","E","130109","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans",NA,NA,NA,NA,NA,"Matthews, A.",NA,NA,NA,"PE",NA,NA,"Tarna?",NA,NA,NA,"Collected July.<a href=http://data.rbge.org.uk/herb/E00130109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00130109",NA,"692","W. Tropical South America","herbarium specimen of unspecif","BGBASE:139742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:36-03","E","E","268753","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans",NA,NA,NA,NA,NA,"C.A. Pendry","1999","03","31","BO","Santa Cruz","Valle Grande","On road from Pucara to bridge over Rio Grande, c. 14 km S of Pucara","-64.26","-18.690833",NA,"<a href=http://data.rbge.org.uk/herb/E00268753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00268753",NA,"701","W. Tropical South America","herbarium specimen of unspecif","BGBASE:108160","-64.260000","-18.690833","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:36-03","E","E","394579","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans",NA,NA,NA,NA,NA,"Bang, Miguel",NA,NA,NA,"BO",NA,NA,"Vic. Sorata",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00394579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394579",NA,"1596","W. Tropical South America","herbarium specimen of unspecif","BGBASE:442047",NA,NA,NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","423622","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans","(L.) Juss. ex Kunth","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","01","01","Bolivia","Santa Cruz","Florida","2.5 km on dirt road off and north from the Samaipata to Mairana highway, the turnoff just below the highest point and on the Mairana side, 7 km (by air) SE of Mairana.","-63.9","-18.15",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423622",NA,"47709","South America","sheet",NA,NA,NA,"1950","1950",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","402920","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans","(L.) Juss. ex Kunth","A. H. Gentry",NA,NA,NA,"J. M. Vimercat","1984","05","22","Brazil","Espírito Santo","Santa Teresa","Santa Teresa, Caminho p/ torre de VHF.","-40.6003","-19.9358",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402920",NA,"145","South America","sheet",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","NY00402920_01",NA,NA,NA,NA,NA,NA
"7","2016-09-29 16:50:00-03","NY","NYBG","402921","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans",NA,NA,NA,NA,NA,"C. Kozera","1996","11","06","Brazil","Paraná","Curitiba","Parque Barigui.","-49.22","-25.37",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402921",NA,"335","South America","sheet",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","NY00402921_01",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402914","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans","(L.) Juss. ex Kunth","A. H. Gentry",NA,NA,NA,"A. Peixoto","1985","01","30","Brazil","Rio de Janeiro","Silva Jardim","BR 101 Rio-Campos, 168 km ao sul de Campos","-42.3917","-22.6508",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402914",NA,"3004","South America","sheet",NA,NA,NA,"30","30",NA,"Magnoliophyta","Lamiales","NY00402914_01",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","948791","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans","(L.) Juss. ex Kunth","I. de Vattimo",NA,NA,NA,"R. Pinto","1982","05","02","Brazil","Distrito Federal","Brasília","Jardim.","-47.87","-15.85",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948791",NA,"18","South America","sheet",NA,NA,NA,"1000","1000",NA,"Magnoliophyta","Lamiales","NY00948791_01",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","948792","PreservedSpecimen","Plantae","Bignoniaceae","Tecoma","stans","Tecoma stans","(L.) Juss. ex Kunth",NA,NA,NA,NA,"J. H. Kirkbride Jr.","1980","04","28","Brazil","Distrito Federal","Brasília","Escola Maternal e Jardim de Infãncia Pinócchio em W4, EQN 712/912, lote C, Brasília.","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948792",NA,"3134","South America","sheet",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","NY00948792_01",NA,NA,NA,NA,NA,NA
