"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","continentOcean","verbatimLongitude","verbatimLatitude","relatedCatalogItem","imagecode","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","individualCount","sex"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","928","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:00-03","UFRJ","RFA","37882","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","Planta crescendo como terrestre no canteiro. Divisão anterior muito desenvolvida, com lobo central longo. Estéril","L.S.B Calazans","2012","02","03","Calazans, L.S.B.; Stefano, M.V. Srs. Aderval e Gildo (habitantes locais)","151","2011","12","14","Brasil","Bahia","Itacaré","Plantado em canteiro no centro da cidade","-38.9967002868652","-14.2775001525879","41230","RFA24248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:51:19-03","EAO","IAN","88925","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott",NA,NA,NA,NA,NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:51:19-03","EAO","IAN","88925","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott",NA,NA,NA,NA,NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:43:01-03","NBC","NL-BOTANY","U.1097619","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","Fourré de lisière de savane roche. Grimpant sur un arbre à quelques mètres du sol, en plein soleil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Croat TB",NA,NA,NA,"Granville J-J de; Crozier F; Sarthou C",NA,"2002","07","12","French Guiana",NA,NA,"Guyane Francaise. Monts d' Arawa: Savane-roche centrale.","-53.366667","2.816667",NA,"NL-U1097619",NA,"Southern America","-53.366667","2.816667","U 0183626","NL-U1097619",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:01-03","NBC","NL-BOTANY","U.1097620","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","Fourré de lisière de savane roche. Grimpant sur un arbre à quelques mètres du sol, en plein soleil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097620 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Croat TB",NA,NA,NA,"Granville J-J de; Crozier F; Sarthou C",NA,"2002","07","12","French Guiana",NA,NA,"Guyane Francaise. Monts d' Arawa: Savane-roche centrale.","-53.366667","2.816667",NA,"NL-U1097620",NA,"Southern America","-53.366667","2.816667","U 0183625","NL-U1097620",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:43:01-03","NBC","NL-BOTANY","U.1097621","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","Fourré de lisière de savane roche. Grimpant sur un arbre à quelques mètres du sol, en plein soleil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Croat TB",NA,NA,NA,"Granville J-J de; Crozier F; Sarthou C",NA,"2002","07","12","French Guiana",NA,NA,"Guyane Francaise. Monts d' Arawa: Savane-roche centrale.","-53.366667","2.816667",NA,"NL-U1097621",NA,"Southern America","-53.366667","2.816667","U 0183624","NL-U1097621",NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:13-03","NBC","NL-BOTANY","U.1097784","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Philodendron","wayombense","Philodendron wayombense","A.M.E.Jonker & Jonker","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Bunting GS; Akkermans LMA; Rooden J van",NA,"1969","07","06","Venezuela",NA,NA,"Territorio Federal Amazonas, Depto. Casiquiare, alrededores de Yavita (río Temi) y cerca de la carretera, Yavita Pimichin hasta el km 5 hacia Pimichin.",NA,NA,NA,"NL-U1097784",NA,"Southern America",NA,NA,NA,"NL-U1097784",NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:00:29-03","JBP","HPL","916","S","Plantae",NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott",NA,"E.G. Gonçalves","2001","05","28","E.R. Salviani & H. Lorenzi","668","1999","11","25","Brasil","RJ","Rio de Janeiro","Sítio R. Burle Marx.","-43.2075","-22.9028","57442",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-21 19:39:59-03","UFC","EAC","33677","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","Erva trepadeira por raízes. Caule marrom; pecíolo cilíndrico, achatado na face superior, coloração verde escuro na face superior e verde claro na face abaxial.","Mayo, S.; Andrade, I. .M.","2002","03",NA,"Andrade, I.M.; Mayo, S.; Ribeiro, T.A.","526","2002","02","17","Brasil","Ceará","Pacatuba","Aratanha, Entrada para a trilha, Cetrece, Barra.","-38.6203002929688","-3.98416996002197","16295","EAC0033677","auto","Southern America",NA,NA,NA,"EAC0033677",NA,NA,NA,NA,NA,NA
"11","2021-03-21 19:39:59-03","UFC","EAC","21218","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","Erva escandente.; Mata Úmida","Mayo, S.","1996","02","10","Lima-Verde, L.W.","s.n.","1994","04","15","Brasil","Ceará","Fortaleza","Cultivo em jardim, procedência: região amazônica.","-38.543098449707","-3.71722006797791","19924","EAC0021218","auto","Southern America",NA,NA,NA,"EAC0021218",NA,NA,NA,NA,NA,NA
"12","2015-09-03 19:13:04-03","MNHN","RECOLNAT_MNHN_P","P02136081","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136081' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Engler, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"P02136081",NA,NA,NA,NA,NA,"P02136081_01","237","hb",NA,NA,NA,NA
"13","2015-09-03 19:13:04-03","MNHN","RECOLNAT_MNHN_P","P02136082","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136082' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Engler",NA,NA,NA,NA,"Brasil",NA,NA,"Patria: Brasilia.",NA,NA,NA,"P02136082",NA,NA,NA,NA,NA,"P02136082_01","238","hb",NA,NA,NA,NA
"14","2015-09-03 19:13:04-03","MNHN","RECOLNAT_MNHN_P","P02136083","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136083' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil",NA,NA,"Brésil.",NA,NA,NA,"P02136083",NA,NA,NA,NA,NA,"P02136083_01","15563","hb",NA,NA,NA,NA
"15","2015-09-03 19:13:04-03","MNHN","RECOLNAT_MNHN_P","P02136084","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136084' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Glaziou",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"P02136084",NA,NA,NA,NA,NA,"P02136084_01","15563","hb",NA,NA,NA,NA
"16","2015-09-03 19:13:04-03","MNHN","RECOLNAT_MNHN_P","P02136085","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Philodendron","bipennifolium","Philodendron bipennifolium","Schott","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136085' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Engler",NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia.",NA,NA,NA,"P02136085",NA,NA,NA,NA,NA,"P02136085_01","238","hb",NA,NA,NA,NA
