"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","typeStatus","continentOcean","occurrenceRemarks"
"1","2021-02-11 17:20:58-03","UFPR","UPCB","88092","PreservedSpecimen","Plantae","Orchidaceae","Masdevallia","discoidea","Masdevallia discoidea","Luer & Würstle","E.C.Smidt","2016","10","Royer, C.A. | Cardoso, W.C.","151","2016","10","06","Brasil","Espirito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi","-40.553056","-19.906944","-40.553056","-19.906944","UPCB0029403","UPCB0029403",NA,NA,NA
"2","2009-07-17 14:40:00-03","MO","MOBOT","1447459","PreservedSpecimen","Plantae","Orchidaceae","Masdevallia","discoidea","Masdevallia discoidea","Luer & Würstle",NA,NA,NA,"Carl A. Luer","Luer 11404","1985","9","22","Brazil",NA,NA,"Without locality.",NA,NA,NA,NA,NA,NA,"Holotype","South America",NA
"3","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","13902",NA,"Plantae","Orchidaceae","Masdevallia","discoidea","Masdevallia discoidea","C.A Luer & Würstle","L. Kollmann/18-06-2003",NA,NA,"L. Kollmann; et al","2942","2000","05","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML013902",NA,NA,NA,"Epífita no galho caído no chão. Sépalas vináceas com base amarela, ápice dos lobos amarelados. Labelo vináceo."
