"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","382452","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","J. Spada","16/78","1978","01","05","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Esp. Santo Est. ROXINHO, ant. 163, Km 1,020, talhao 606.","-40.0719","-19.3911","sheet","collector given as: J. S. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382452","NY00382452_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687594","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","W. W. Thomas","13585","2003","07","26","South America","Brazil","Bahia","Jequié","Serra do Brejo, Fazenda of Francisco Brito, 10.5 km S of Mandacara on road to Serra do Brejo (road that goes past stadium)","-40.1111","-13.9469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687594",NA,"600","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382451","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra",NA,"L. A. Mattos Silva","2261","1988","03","01","South America","Brazil","Bahia","Maracás","Fazenda Contendas. Rodovia-BA 250, trecho Maracás/Itiruçu, km 12. Regiao de Mata de cipó.","-40.4306","-13.4411","sheet","Coleta de folhas para analises. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382451","NY00382451_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","382450","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","L. A. Mattos Silva","230","1979","02","14","South America","Brazil","Bahia","Maracás","Rod. Maracás/Contendas do Sincorá (BA 026), km 2. Regiao de Mata de Cipó. Folha SD 24 (14-40a).","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382450","NY00382450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","416440","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","W. W. Thomas","12291","2000","10","15","South America","Brazil","Bahia","Boa Nova","3.3 km east of Boa Nova on road to Dario Meira; Mata de Cipó","-40.186283","-14.38305","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416440","NY00416440_01","850","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","806485","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","P. Fiaschi","1408","2003","03","08","South America","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (proprietário Alipe Maia), entrada à esq., ca. 1,2 km E de Boa Nova, na estrada para Dario Meira.","-40.1875","-14.3736111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806485","NY00806485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","416441","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","W. W. Thomas","12291","2000","10","15","South America","Brazil","Bahia","Boa Nova","3.3 km east of Boa Nova on road to Dario Meira; Mata de Cipó","-40.186283","-14.38305","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416441","NY00416441_01","850","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382448","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","S. A. Mori","11259","1978","11","21","South America","Brazil","Bahia","Barra do Choça","Estrada que liga a Rod. BR-116 a Sao Sebastiao, 4 Km a W da cidade. Folha SD-24 (15-41b).","-40.57","-14.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382448","NY00382448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382449","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","T. S. dos Santos","3447","1979","02","13","South America","Brazil","Bahia","Itiruçu","Km 18 da Rodovia Itiruçu/Maracás (BA 554). Capoeira em Regiao de Mata de Cipó. Folha SD 24 (13-40c).","-40.1503","-13.5319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382449","NY00382449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862781","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","J. A. Kallunki","W. W. Thomas","13922","2004","02","07","South America","Brazil","Bahia","Mun. Poçoes","Fazenda Boa Esperança (owner Alberto Santos Vitoria), 7 km from Poções on road to Duas Vendas, Fazenda house and grounds.","-40.3596111","-14.5972778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862781","NY00862781_01","875","925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:24:10-03","UFBA","ALCB","01881","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","Pirani, JR","Costa, AL","s/n","1970",NA,NA,"Southern America","Brasil","Bahia","Mundo Novo","Paraguaçu, Fazenda Aliança","-40.466667","-11.85",NA,NA,NA,NA,NA,NA,"1991","-40.466667","-11.85",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:24:10-03","UFBA","ALCB","07382","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","Pirani, JR","Queiroz, LP de; Guedes, ML","141","1981","01","18","Southern America","Brasil","Bahia","Maracás","Sudoeste","-40.416667","-13.433333",NA,"Árvore esgalhante de ca.60m, com folhas semicoriáeas e flores amarelas.",NA,NA,NA,NA,"1998","-40.416667","-13.433333",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:24:10-03","UFBA","ALCB","106747","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Metrodorea","maracasana","Metrodorea maracasana","Kaastra","Pirani, JR","Guedes, ML; et al.","20122","2012","07",NA,"Southern America","Brasil","Bahia","Maracás","Sudoeste","-40.416667","-13.433333",NA,"de ca 4 m de altura . Folhas com folíolos cartáceos, discolores. Inflorescência com botões cremes. cremes","ALCB063419",NA,NA,NA,"2013","-40.416667","-13.433333",NA,NA,NA,NA,NA,NA,NA
