"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01104819","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre","isotype","B. D. Sucre","7351","1970","12","29","South America","Brazil","Rio de Janeiro","Na encosta de Jacarepaguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104819","NY01104819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00643798","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre",NA,"H. Kennedy","854","1971","03","10","South America","Brazil","Rio de Janeiro","Guanabara: Rio de Janeiro; Leme, Morro da Babilonia","sheet","Kennedy 854 cited by the authors of the species in Sellowia 25: 104. 1974, with same locality but different date. det. B. Schubert, 1992 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00643798","NY00643798_01","B. G. Schubert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00248170","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre","isotype","B. D. Sucre","7351","1970","12","29","South America","Brazil","Rio de Janeiro","Formaçao rupícola de encosta em Jacarepaguá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248170","NY00248170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1477599","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre","not a type","B. D. Sucre","6637[=herb. RB 145092]","1970","04","16","South America","Brazil","Rio de Janeiro","Jacarepaguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833822' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477599","NY01477599_01",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00248169","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre","isotype","B. D. Sucre","7351",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Formaçao rupícola de encosta em Jacarepaguá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248169","NY00248169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1546563","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre","not a type","B. D. Sucre","7505[= herb. RB 1500991]","1971","03","14","South America","Brazil","Rio de Janeiro","Leme, Morro da Babilônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1894431' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546563","NY01546563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01104820","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso, E.F.Guim. & Sucre","isotype","B. D. Sucre","7351","1970","12","29","South America","Brazil","Rio de Janeiro","Na encosta de Jacarepaguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104820","NY01104820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:06-03","UFRJ","RFA","42361","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M.Barroso et al.",NA,"R.S. Couto","168","2009","01","14",NA,"Brasil","Rio de Janeiro","Itaipú. Trilha do Morro das Andorinhas, após o ultimo mirante voltado para Itacoatiara, inicio da trilha do grotão.",NA,"Trepadeira robusta de folhas verde-escuro coriáceas, espinhos de origem genicular nos ramos basais. Inflorescencia longa, de cor verde-claro, com flores alvo-esverdeadas.","RFA36548",NA,NA,"Niterói","-43.1035995483398","-22.88330078125","14785","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:06:12-03","ESALQ","ESA","99292","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa",NA,NA,"Milla, A.P.","34.0","2003","05","28",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA099292","ESA099292","Araújo, D.","Uberlândia","-48.2771987915039","-18.9186000823975","58223","auto","2012","02","15",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:06:12-03","ESALQ","ESA","16012","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dioscoreaceae","Dioscorea","pseudomacrocapsa","Dioscorea pseudomacrocapsa","G.M. Barroso et al.",NA,"Rodrigues, R.R. et al.","22.0","1994","07","20",NA,"Brasil","São Paulo",NA,NA,NA,"ESA016012","ESA016012","Araújo, D.","Novo Horizonte","-49.2200012207031","-21.4599990844727","32394","auto","2012","02","15",NA,NA,NA,NA,NA,NA,NA,NA
