"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","monthIdentified","dayIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:43:50-03","E","E","221579","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","Gardner, George","4992","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:232043","<a href=http://data.rbge.org.uk/herb/E00221579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","221578","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","Gardner, George","4992","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:232044","<a href=http://data.rbge.org.uk/herb/E00221578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182589","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","A. F. Regnell","Ser. II47","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182589","Magnoliophyta","Ericales","Pohl","P. W. Fritsch","1864","12","02","Minas Gerais","Caldas","-46.386100769043","-21.9235992431641","25710","NY01182589_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1182587","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","L. Riedel","542","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182587","Magnoliophyta","Ericales","Pohl","P. W. Fritsch","1824","09",NA,"Minas Gerais",NA,NA,NA,NA,"NY01182587_01",NA,"Caité",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182588","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","G. Gardner","4992","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182588","Magnoliophyta","Ericales","Pohl","P. W. Fritsch","1836",NA,NA,NA,NA,NA,NA,NA,"NY01182588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:21:02-03","UFRJ","RFA","9626","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","G.G. Hatschbach","22931",NA,"Brasil",NA,NA,"Arbusto 2 m, flor alva, anteras amarelas","RFA49791",NA,NA,"Pohl","C. Aranha","1969","11","18","Paraná","Ortigueira","-50.9494018554688","-24.2082996368408","46016",NA,"auto","Serra dos Mulatos","1970","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:52-03","NBC","NL-BOTANY","L.2676628","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolium","Styrax latifolium","Sellow F",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2676628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2676628",NA,"Ericales","Pohl","Fritsch PW","1900","01","01",NA,NA,NA,NA,NA,"NL-L2676628",NA,NA,NA,NA,NA,"Magnoliopsidae","L 0275213",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:04:52-03","NBC","NL-BOTANY","L.2676629","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolium","Styrax latifolium","Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2676629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2676629",NA,"Ericales","Pohl","Fritsch PW","1900","01","01","Bahía",NA,NA,NA,NA,"NL-L2676629",NA,NA,NA,NA,NA,"Magnoliopsidae","L 0275118",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:04:52-03","NBC","NL-BOTANY","L.2676630","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolium","Styrax latifolium","Sellow F",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2676630 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2676630",NA,"Ericales","Pohl","Fritsch PW","1900","01","01",NA,NA,NA,NA,NA,"NL-L2676630",NA,NA,NA,NA,NA,"Magnoliopsidae","L 0275117",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:04:52-03","NBC","NL-BOTANY","U.1739494","PreservedSpecimen","Plantae","Styracaceae","Styrax","latifolius","Styrax latifolius","Regnell AF",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1739494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1739494",NA,"Ericales","Pohl",NA,"1864","12","02",NA,NA,NA,NA,NA,"NL-U1739494",NA,"Prov. Minas Geraës, Caldas.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
