"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","929899","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler","H. J. Wiehler","H. S. Irwin","21737","1968","03","24","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 24 km S. of Paraíso.","-47.48","-14.37","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929899","NY00929899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:31:47-03","NBC","NL-BOTANY","L 0003237","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler","Skog LE","Burchell WJ",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia at Porto real",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200003237 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0003237","NL-L0003237","Magnoliopsidae","isotype","9096498",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:31:47-03","NBC","NL-BOTANY","WAG0001432","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler","Skog LE","Burchell WJ",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia at Porto real",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG0001432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG0001432","NL-WAG0001432","Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:31:47-03","NBC","NL-BOTANY","WAG.1826184","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler","Wiehler HJ","Burchell WJ",NA,"1829","02","08","Southern America","Brazil",NA,NA,"...Brasiliae. At Porto Real (Goyaz). In a walk to the Boracao, bearing south of my house c. a mile.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826184","NL-WAG1826184","Magnoliopsidae","isotype","WAG0001432","1975","11","01",NA,NA,NA,NA,NA
"5","2020-02-08 09:31:47-03","NBC","NL-BOTANY","WAG.1826185","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler","Wiehler HJ","Irwin HS; Maxwell H; Wasshausen DC",NA,"1968","03","24","Southern America","Brazil","Goiás",NA,"Northern Goiás. c. 24 km S of Paraíso.",NA,NA,NA,NA,NA,"Soil-filled crevices, in outcrops. Outcrops and rocky slopes.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826185","NL-WAG1826185","Magnoliopsidae",NA,"WAG0110707","1975","11","25",NA,NA,NA,NA,NA
"6","2020-11-04 11:11:09-03","ESALQ","ESA","90020","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler",NA,"Araújo, A.O.; Scalon, V.R. ; Chautems, A.","510.0","2005","01","21",NA,"Brasil","Distrito Federal","Brasília","Distrito Samambaia.Sítio de propriedade do Sr. Nena localizado em uma estrada de terra saido à direita da rodovia para Goiânia. Rochas na margem esquerda do Rio Belchior.","-47.9296989440918","-15.7797002792358","909","909",NA,"Ao lado de uma figueira, em uma rocha de ca. 2 m altura. Erva prostrada, raízes e rizomas enterrados nas rochas. Frutos secos e poucos botões.","ESA090020","ESA090020",NA,NA,NA,NA,NA,NA,"-48,216,889","-15,897,611","70570","auto",NA
"7","2020-11-04 11:11:09-03","ESALQ","ESA","90045","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Gloxinia","burchellii","Gloxinia burchellii","(S.M.Phillips) Wiehler",NA,"Araújo, A.O.; Scalon, V.R. ; Chautems, A.","535.0","2005","01","27",NA,"Brasil","Tocantins","Porto Nacional","Buracão. Próximo à igreja São Judas Tadeu. Local bastante alterado. Rochas formando uma pequena baía na margem direita do Rio Tocantins.","-48.4171981811523","-10.7081003189087","250","250",NA,"População pequena. Erva entre rochas, na parte vertical das rochas, com musgos e samambaias. Rizoma não observado. Botões com cálice verde. Localidade do tipo.","ESA090045","ESA090045",NA,NA,NA,NA,NA,NA,"-48,418,111","-10,715,917","77281","auto",NA
"8","2015-07-02 14:42:34-03","JBP","HPL","12418","S","Plantae",NA,NA,"Gesneriaceae","Sphaerorrhiza","burchellii","Sphaerorrhiza burchellii","(S.M. Phillips) Roalson & Boggan","A.O. de Araujo, 2011","M. Peixoto","27","2011","02","10",NA,"Brasil","SP","Mogi das Cruzes","Município de Porto Nacional, Tocantins; Buracão. Próximo à igreja São Judas Tadeu, local bastante alterado, rochas formando uma pequena baía na margem direita do Rio Tocantins; entre rochas, na parte vertical das rochas, com musgos e samambaias; material","-48.418111","-10.715917","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48° 25' 05,2 W","10° 42' 57,3 S",NA,NA,NA
"9","2013-08-23 04:12:00-03","MO","MOBOT","3061241","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sphaerorrhiza","burchellii","Sphaerorrhiza burchellii","(S.M. Phillips) Roalson & Boggan","A. Chautems (G)","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 21737","1968","3","24","South America","Brazil","Goiás",NA,"Soil-filled crevices, in outcrops. Outcrops and rocky slopes, ca. 24 km. S of Paraíso.",NA,NA,"600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"10","2020-09-12 05:00:02-03","US","US","2755236","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sphaerorrhiza","burchellii","Sphaerorrhiza burchellii","(S.M. Phillips) Roalson & Boggan","Boggan, J. K.; Skog, L. E.","H. S. Irwin, H. Maxwell & D. C. Wasshausen","21737","1968","3","24","South America - Neotropics","Brazil","Goiás",NA,"Ca. 24 km S of Paraíso, Goias","-47.52","-14.12","600",NA,NA,NA,"US00243934","US00243934_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
