"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","eventTime","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","542257","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","J. E. Leite","638","1941","11",NA,"Brazil","Rio Grande do Sul","Sapucaia do Sul","Sapucaia","-51.1481","-29.8247",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542257","NY00542257_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","573452","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis pilosa","Moldenke","H. N. Moldenke","Collector info in notes","3990","1947","01","26","Argentina","Misiones","San Ignacio","Canal Torto",NA,NA,NA,NA,NA,NA,"Collector Schwarz [initials unclear] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573452",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 19:15:00-03","NY","NYBG","2341831","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"L. Eggers","14843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fragment ex herb. Berlin. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534950' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341831","NY02341831_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","542252","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","F. C. Hoehne","s.n.","1929","10","16","Brazil","Santa Catarina","Florianópolis","Trindade, Florianopolis","-48.5188222","-27.5869396",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542252","NY00542252_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","573451","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis pilosa","Moldenke","H. N. Moldenke","G. G. Hatschbach","745","1947","06","26","Brazil","Paraná",NA,"Paranaí. Margens da estrada Curitiba - S. Paulo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573451","NY00573451_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02684204","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke",NA,"M. H. Nee","55021","2007","04","07","Bolivia","Santa Cruz","Andrés Ibáñez","1.7 km S of Montero Hoyos and 2.6 km N of highway and railroad at Puerto Pailas","-62.8064","-17.65",NA,NA,"305",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982356' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684204","NY02684204_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 11:25:00-03","NY","NYBG","01788491","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"C. Stellfeld","1227","1947","01","31","Brazil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2100024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788491","NY01788491_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-30 11:26:00-03","NY","NYBG","01857542","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"J. Evangelista de Oliveira","231","1940","10","10","Brazil","Minas Gerais","Arcos","Fazenda do Engenho - Calciolandia.","-45.5392","-20.2819",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2102350' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857542","NY01857542_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","330513","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","M. H. Nee","M. H. Nee","48645","1998","03","13","Bolivia","Santa Cruz","Florida","Along pipeline and dirt road between Bermejo and the antennas on Cerro Herradura, 4.7 km from turnoff from highway from Santa Cruz to Samaipata, 2.5 km (by air) NE of Bermejo.","-63.62","-18.12",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330513","NY00330513_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","542253","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","Padre Russel A.","200","1897","11","25","Brazil","São Paulo","Itu","Itú","-47.29","-23.2603",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542253","NY00542253_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
