"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","870243","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","G. L. Webster","H. S. Irwin","22916","1969","01","30","South America","Brazil","Minas Gerais","Ca. 25km NE of Diamantina on road to Mendanha. Serra do Espinhaço.","-43.53","-18.12","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870243","NY00870243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","870245","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","G. L. Webster","H. S. Irwin","14441","1966","04","06","South America","Brazil","Goiás","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870245","NY00870245_01","Posse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","870244","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","G. L. Webster","H. S. Irwin","14441","1966","04","06","South America","Brazil","Goiás","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870244","NY00870244_01","Posse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","870246","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","G. L. Webster","H. S. Irwin","27577","1970","03","15","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 25 km E. of Diamantina, near Rio Jequití","-43.50795","-18.1448","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870246","NY00870246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1065354","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","G. L. Webster","H. S. Irwin","22415","1969","01","22","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 26 km S.W. of Diamantina on road to Gouveia","-43.68525","-18.41625","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230694' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065354","NY01065354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","870250","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","I. Cordeiro","A. M. Giulietti","CFCR2327","1981","10","30","South America","Brazil","Minas Gerais","Estr. Diamantina - Sopa, a 25 km de Diamantina. Caminho para S. João da Chapada.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870250","NY00870250_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","870248","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","G. L. Webster","H. S. Irwin","28657","1970","03","30","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 7 km N. of São João da Chapada, road to Inhaí.","-43.6002998352051","-18.2493991851807","1150",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870248","NY00870248_01","Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:38:17-03","EAO","IAN","5044","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.",NA,"Glaziou","19848",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN005044","IAN005044_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:08-03","PUCPR","HUCP","7309","S","Plantae","Eudicotiledonea",NA,"Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & K.Hoffm.","Cordeiro, I","Hatschbach, GG","29938","1972","08","05",NA,"Brasil","Minas Gerais","Serra Cipó",NA,NA,NA,NA,NA,NA,"HUCP00010809","HUCP00010809","Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:14:01-03","UFBA","ALCB","041438","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","similis","Bernardia similis","Pax & Hoffmanns.","Cordeiro, I","Furlan, A; Cordeiro, I; Kawasaki, ML; Pirani, JR","s/n","1981","10","05","Southern America","Brasil","Minas Gerais","Ao longo da rodovia Belo Horizonte - Conceição do Mato","-43.616667","-19.333333",NA,NA,NA,"ca. de 50 cm de altura. Flores masculinas verdes.; Rio da cachoeira de São Nicolau","ALCB051052","ALCB051052 ALCB051052_1","Santana do Riacho",NA,NA,"-43.616667","-19.333333",NA,NA,NA,NA,NA,NA,NA,NA
