"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:26:09-03","UNESC","CRI","14794","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs","Schwirkowski, P.","2018","11","20","Schwirkowski, P.","3164","2018","11","20","Brasil","Santa Catarina","São Bento do Sul","Bairro Progresso. Bairro Progresso. Parque Florestal SAMAE.","-49.360278","-26.233056","49º21'37''W","26º13'59''S","900","900","FOM. Fragmento. Heliófita. Cálice verde, corola amarelo-vinácea Habitat: Beira de trilha Habito: Arbusto","CRI014122","CRI014122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00076892","PreservedSpecimen","Plantae","Solanaceae","Cyphomandra","angustifolia","Cyphomandra angustifolia","L.B.Sm. & Downs",NA,NA,NA,NA,"L. B. Smith","8736","1956","12","18","Brazil","Santa Catarina","Pôrto Uniao","Ruderal near Pôrto Uniao on the road to Santa Rosa","-51.0781","-26.2383",NA,NA,"750","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076892","NY00076892_01","Magnoliophyta","Solanales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00853890","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs","M. H. Nee",NA,NA,NA,"M. de J. Robim","352","1985","11","21","Brazil","São Paulo","Campos do Jordão","P. E. Campos do Jordão, Instituto Florestal.","-45.454379","-22.673246",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00853890","NY00853890_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669226","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs",NA,NA,NA,NA,"G. G. Hatschbach","13144","1965","11","18","Brazil","Paraná","Bocaiúva do Sul","Passa Vinte.","-49.115","-25.2061",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669226","NY00669226_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669229","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs",NA,NA,NA,NA,"R. Reitz","2363","1948","12","15","Brazil","Santa Catarina","Bom Retiro","Riosinho.","-49.4892","-27.7972",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669229","NY00669229_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669228","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs",NA,NA,NA,NA,"R. Reitz","11391","1962","01","03","Brazil","Santa Catarina","Santa Cecília","Campo do Areao.","-50.4267","-26.9608",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669228","NY00669228_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669232","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs",NA,NA,NA,NA,"G. Eiten","6688","1965","11","07","Brazil","Rio de Janeiro","Resende","West side of base of Mt. Itatiáia, at km 1 on road leading to shelter house, Abrigo Rebouças. (About 1km east of Registro, a point on the highway to Caxambu).","-44.75","-22.38",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669232","NY00669232_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","669230","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs",NA,NA,NA,NA,"P. K. H. Dusén","9404","1910","03","12","Brazil","Paraná",NA,"Calmao.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669230","NY00669230_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669227","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs",NA,NA,NA,NA,"R. Reitz","6596","1958","03","07","Brazil","Santa Catarina","Vidal Ramos","Sabiá.","-49.3556","-27.3919",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669227","NY00669227_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2447068","PreservedSpecimen","Plantae","Solanaceae","Solanum","pinetorum","Solanum pinetorum","(L.B.Sm. & Downs) Bohs","S. D. Knapp",NA,NA,NA,"J. G. Jardim","4472","2005","02","13","Brazil","Bahia","Camacan","RPPN Serra Bonita, 9,7 km W de Camacan na estrada para Jacareci, entrada para a RPPN e torre de transmissão, ca. 6 km da entrada","-39.5653","-15.3917",NA,NA,"835","835","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326168' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447068","NY02447068_01","Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
