"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843993","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","A. Macedo","3386","1951","10","28","South America","Brazil","Minas Gerais","Ituiutaba","Aroeira.","-49.465","-18.9692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134371' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843993","NY01843993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843992","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","A. Macedo","3386","1951","10","28","South America","Brazil","Minas Gerais","Ituiutaba","Aroeira.","-49.465","-18.9692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134326' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843992","NY01843992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:30-03","ESALQ","ESA","87810","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb. f. & Warm.","Batista, J.A.N. et al.","1258.0","2001","10","20",NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"ESA087810","ESA087810","Batista, J.A.N.","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:49-03","MN","R","2999","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb. f. & Warm.","Hoehne, F.C.","143","1914","10",NA,NA,"Brasil","Mato Grosso","Cuiabá",NA,"-56.0966987609863","-15.5960998535156",NA,"Comissão de Linhas Telegráficas e Estratégicas do Mato Grosso ao Amazonas",NA,NA,"Bianchetti, L.B. & Batista, J.A.N","74875","auto","2000","09",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:20:10-03","UNICAMP","UEC","127174","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Batista, JAN","1258","2001","10","20",NA,"Brazil","Distrito Federal","Brasília","Plano Piloto, RA-I. Asa Norte, 713-714 N, área da UnB (arboreto) entre o Parque Olhos D'água e a estação de tratamento de esgoto da CAESB. Cerrado ralo. Solo argiloso, profundo, avermelhado (Latossolo vermelho escuro). Área anteriormente queimada, co","-47.9296989440918","-15.7797002792358",NA,"Erva terrestre. Ocasional, observado ca. de 3 conjuntos esparsos, cada um com várias plantas em floração. Pseudobulbos completamente enterrados, externamente brancos. Folhas muito pouco desenvolvidas, em início de crescimento. Em iníci","UEC064327","UEC064327","Bianchetti, LB; Batista, JAN","70570","auto","2001","10",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:00:41-03","UNICAMP","UEC","139194","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Singer, RB","97/42","1997","05","20",NA,"Brazil","Minas Gerais","Carrancas","Caminho da Serra de Bicas","-44.6425018310547","-21.4874992370605",NA,"Cultivada. Prensada em nov. 1997.","UEC064330","UEC064330","Singer, RB","21143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:00:41-03","UNICAMP","UEC","135291","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Simões, AO; Belinello, R; Koehler, S; Singer, RB","978","1999","11","06",NA,"Brazil","Minas Gerais","Carrancas","Caminho para a Serra de Bicas, Campo arenoso próximo a bifurcação na estrada. Solo arenoso, bem drenado.","-44.6425018310547","-21.4874992370605",NA,"Terrestre, 20-25 cm, escapo vináceo, brácteas também vináceas, sépalas vináceas, labelo amarelo com manchas arroxeadas, pseudobulbo subterrâneo. Flores fragrantes. Havia variação no padrão de manchas entre indivíduos.","UEC064329","UEC064329","Singer, RB","21143","auto","2005","05","14",NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:00:41-03","UNICAMP","UEC","23117","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Leitão Filho, HF; Martins, FR; Shepherd, GJ","11810","1980","12","09",NA,"Brazil","Minas Gerais","Lavras","Sapé da Serra., Citologia. Em campo rupestre.","-44.999698638916","-21.2453002929688",NA,"Terrestre, sépalas vinosas, pétalas amarelas, com labelo amarelo de bordas vinosas.","UEC064332","UEC064332","Bianchetti, LB; Patzernheim, M","20044","auto","1999","02",NA,NA,NA,NA,NA,NA,NA
"9","2020-10-01 14:25:53-03","JBB","HEPH","20872","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Salles, AEH; et al.","3149","2004","09","28","Southern America","Brasil","Distrito Federal","Brazlândia","Próximo ao Lago Oeste, DF-250",NA,NA,NA,NA,NA,NA,"Salles, AEH",NA,NA,"2004","09","28",NA,NA,NA,NA,NA,NA
"10","2020-10-01 14:25:53-03","JBB","HEPH","22188","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Jesus, FPR de; Carvalho Júnior, J de","307","2005","11","16","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília, Próximo a área de captação 2","-47.85","-15.866667",NA,NA,NA,NA,"Salles, AEH",NA,NA,"2005","11","16","-47.85","-15.866667","1025","1025",NA,NA
"11","2020-10-01 14:25:53-03","JBB","HEPH","6847","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Salles, AEH","317","1985","10","27","Southern America","Brasil","Distrito Federal","Brasília","Estrada Plano-Piloto - Paranoá, terreno arenoso","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"Batista, JAN","70570","auto","2003","02",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:44:27-03","UFMG","BHCB","154181","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb & Warm.","Santos, AA","1646","2002","11","25","Southern America","Brasil","Minas Gerais","Unaí","Cabeceira Grande, A jusante da ponte da divisa DF/MG. Área de influência da AHE Queimado.","-46.9061012268066","-16.3575000762939",NA,"Erva terrestre. Flor amarelo-amarronzada.; Campo limpo","BHCB031208",NA,NA,"97926","auto","2002","11",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:44:27-03","UFMG","BHCB","70009","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb & Warm.","Batista, JAN","1258","2001","10","20","Southern America","Brasil","Distrito Federal","Brasília","RA-I, Plano Piloto. Asas Norte, 713-714 N, área da","-47.9296989440918","-15.7797002792358",NA,"Erva terrestre . Ocasional, observado ca. de 3 conjuntos esparsos, cada um com várias plantas; Em cerrado ralo. Solo argiloso, profundo, avermelhado (Latossolo vermelho escuro). Área anteriormente queimada, com a vegetação ainda em br","BHCB001282","BHCB001282",NA,"70570","auto","2001","10",NA,NA,NA,NA,NA,NA,NA
"14","2018-10-09 16:31:58-03","UFLA","ESAL","14419","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Oswaldo Jorge Bispo Jr.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras","Reserva Florestal Poço Bonito","-44.999444","-21.245278",NA,"erva; 0,32; rósea e amarela;; cerrado",NA,NA,"L.Biancheti; M.Potzernheim",NA,NA,NA,NA,NA,"-44.999444","-21.245278","9","9",NA,NA
"15","2017-11-24 14:11:52-02","UFLA","ESAL","22959","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Argenta, JA","412",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"; 45cm; amarelas;",NA,NA,"Massensini, Jr A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-10-09 16:31:58-03","UFLA","ESAL","26069","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","triste","Cyrtopodium triste","Rchb.f. & Warm.","Julia, Pedro, Vit","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras",NA,"-44.999444","-21.245278",NA,"erva; ; amarela e vermelha;; campo rupestre",NA,NA,"L.R.S Guimarães; C.F.Hall",NA,NA,NA,NA,NA,"-44.999444","-21.245278",NA,NA,NA,NA
