"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:34:11-03","UNESC","CRI","11858","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","M. Verdi","2010","04","28","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4480","2010","04","28","Brasil","Santa Catarina","Garopaba","Morro da Ressacada.","-48.617778","-28.03","48º37'4''W","28º1'48''S","147","147","Floresta Ombrófila Densa Habito: arbórea","CRI008607","CRI008607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","11675","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","M. Sobral","2010","10","29","A. Stival-Santos; E. Legal & S. Silveira","2922","2010","05","31","Brasil",NA,"Brasil","Cova da Onça.","-48.780833","-27.628889","48º46'51''W","27º37'44''S","236","236","Floresta Ombrófila Densa Habitat: entorno do fragmento, beira de estrada Habito: arbórea","CRI008542","CRI008542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:07-03","UNESC","CRI","11674","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","A. Korte","2011","01","17","A. Korte","5302","2010","12","02","Brasil","Santa Catarina","Palhoça","Parque Estadual do Tabuleiro - Guarda do Embaú.","-48.599444","-27.904722","48º35'58''W","27º54'17''S","15","15","Restinga","CRI008541","CRI008541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:07-03","UNESC","CRI","14568","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","Padilha, P. T.","2016","08","24","Padilha, P. T.; Mols, M.",NA,"2015","10","15","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"Habito: Arbórea","CRI013872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:26-03","E","E","16221","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,NA,NA,NA,NA,"Marcelo T Nascimento","35","1991","11","14","BR","Roraima",NA,"Estação Ecológica Ilha de Maracá","-61.433333","3.366667","-61.433333","3.366667",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00016221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00016221",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:23666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:26-03","E","E","47158","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,NA,NA,NA,NA,"Balée, W.","2673","1986","10","03","BR","Maranhao",NA,"Urutawy, Ra'apor Indian Reserve, basin of Rio Turiaçu, Monção",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00047158 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00047158",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:55078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:26-03","E","E","277683","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,NA,NA,NA,NA,"De Oliveira Filho, Ary Teixeira","403","1990","05","15","BR","Mato Grosso",NA,"Mataraca PB",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277683",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:327212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01251456","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"N. A. Rosa","1792","1977","04","20","Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251456","NY01251456_01 NY01251456_02 NY01251456_03","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 03:08:00-03","NY","NYBG","01251439","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,NA,NA,NA,NA,"M. A. de Freitas","805","1990",NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251439","NY01251439_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01252108","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.",NA,NA,NA,NA,"G. T. Prance","P25879","1977","11","29","Brazil","Pará",NA,"BR 230, Transamazon highway; 10 km W of Ruropolis Presidente Medici towards Itaituba","-54.984464","-4.123301",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1495729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252108","NY01252108_01 NY01252108_02","South America","packeted",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 03:08:00-03","NY","NYBG","01251430","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"T. D. Pennington",NA,NA,NA,"R. de Lemos Fróes","145","1941","06","12","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468438' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251430","NY01251430_01 NY01251430_02","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01251475","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"G. T. Prance","14969","1971","07","27","Brazil","Amazonas",NA,"Basin of Rop Negro - Rio Cuieras just below mouth of Rio Brancinho.","-60.5082321","-2.8301453",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468745' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251475","NY01251475_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02674723","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"L.A. Gomes","611","2012","08","14","Brazil","Sergipe",NA,"Santa Luzia do Itanhy, RPPN Mata do Crasto: Borda de mata.","-37.43092118655","-11.396321",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2293167' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674723","NY02674723_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-30 01:41:00-03","NY","NYBG","01251450","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"W. A. Rodrigues","10626","1984","03",NA,"Brazil","Amazonas","Barcelos","1 km ao Sul da parte central da Serra do Araca, no caminho entre a pista de pouso e a encosta e a 11 km a Leste do rio Jauari ou a 40 minutos a pe do acampamento, situado ao pe da encosta da serra.","-63.316667","0.816667",NA,NA,"60","60","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330292' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251450","NY01251450_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01251484","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"G. T. Prance","P25879","1977","11","29","Brazil","Pará",NA,"BR 230, Transamazon highway; 10 km W of Ruropolis Presidente Medici towards Itaituba","-54.984464","-4.123301",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468766' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251484","NY01251484_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"16","2016-09-30 03:08:00-03","NY","NYBG","01251437","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,NA,NA,NA,NA,"J. A. Ratter","5876","1987","10","25","Brazil","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251437","NY01251437_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 01:40:00-03","NY","NYBG","01251479","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"B. M. Boom","8779","1988","12","08","Brazil","Amazonas",NA,"Manaus. Distrito Agropecuário, Reserva 1501 (Km 41)","-59.833333","-2.516667",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328895' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251479",NA,"South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 11:21:00-03","NY","NYBG","375770","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"B. K. Holst","3395","1987","03","07","Venezuela","Amazonas","Mun. Atures","Valley of Rio Coro-Coro, W of Serrania de Yutaje. 8km N of settlement of Yutaje","-66.13","5.6917",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375770",NA,"South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01251482","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"H. S. Irwin","47558","1960","08","16","Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251482","NY01251482_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
