"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","16229","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","lanatum","Machaerium lanatum","Tul.","isotype","P. Clausen","883","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016229","NY00016229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","16228","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","lanatum","Machaerium lanatum","Tul.","isotype","P. Clausen","883","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016228","NY00016228_01","1838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","604303","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"J. G. Kuhlmann","s.n.","South America","Brazil","Rio de Janeiro","Jardim Botânico.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604303","NY00604303_01","1949","J. G. Kuhlmann","10","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01057726","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"E. P. Heringer","10789","South America","Brazil","Distrito Federal","Parque Municipal do Gama","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162135' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057726","NY01057726_01","1965","V. E. Rudd","12","18","Brasília","-48.05","-16.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","604305","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"W. Mantovani","1280","South America","Brazil","São Paulo","Mogi-Guaçu, Matinho Prado, Reserva Biolgica da Fazenda Campininha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604305","NY00604305_01","1980","W. Mantovani","11","17",NA,"-47.164784","-22.242395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01057653","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"H. C. de Lima","2657","South America","Brazil","Minas Gerais","Estr. p/Belo Horizonte, km 91, próximo a Cachoeira do Campo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162144' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057653","NY01057653_01","1986","H. C. de Lima","01","26","Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01057677","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"E. P. Heringer","5580","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057677","NY01057677_01","1980","H. C. de Lima","10","15","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01057652","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"E. P. Heringer","10789","South America","Brazil","Distrito Federal","Parque Municipal do Gama","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162136' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057652","NY01057652_01","1965","V. E. Rudd","12","18","Brasília","-48.05","-16.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","44226","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"M. J. G. Hopkins","122","South America","Bolivia","Santa Cruz","Between kms 15 and 35 from Asención dos Guarayos on road to Urubicha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00044226",NA,"1983","V. E. Rudd","08","03","Ñuflo de Chávez","-63.03","-15.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","604308","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"W. Hoehne","s.n.","South America","Brazil","São Paulo","Prox. a Araraquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604308","NY00604308_01","1951",NA,"11","29",NA,"-48.1408386","-21.8035721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","604309","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel",NA,"M. H. Nee","48085","South America","Bolivia","Santa Cruz","Along valley of Río Salado [also called Quebrada Salada], 7.4-8 km NW of turnoff at Tarumá from highway from Santa Cruz to Samaipata","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604309",NA,"1998","A. M. V. de Carvalho","01","22","Andrés Ibáñez","-63.52","-18.1","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
