"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","infraspecificEpithet","relatedCatalogItem","typeStatus","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:25:04-03","UNESC","CRI","14567","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Ronaldo dos Santos","2011","04","16","Robson dos Santos","2011","04","16","Brasil","Santa Catarina","Criciúma","Satc","-49.370278","-28.678333","49º22'13''W","28º40'42''S","Habito: Epífita","CRI013871","CRI013871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","7536","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Jader Lima Pereira","2006","11","07","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,"CRI006406","CRI006406","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","8101","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Telma Elyta V. Azeredo","2009","01","26","Telma Elyta V. Azeredo","2009","01","26","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","Floresta Ombrófila Densa de Terras Baixas","CRI006405","CRI006405",NA,"111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:04-03","UNESC","CRI","7535","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Jader Lima Pereira","2006","10","26","Telma Elyta V. Azeredo","2006","10","26","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","Habito: epífita","CRI006404","CRI006404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:04-03","UNESC","CRI","12712","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Peterson T. Padilha","2017","09","18","Alexandre Medeiros","2017","06","25","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 468. Habito: Epífita","CRI010926",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3877225","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.",NA,NA,NA,NA,"J. A. Steyermark","1945","04","05","Venezuela","Monagas",NA,"vicinity of San Agustín, near house of Roberto Mezzano, in valley northwest of Caripe",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187295' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877225",NA,"61865","1100",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01112581","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","H. E. Luther",NA,NA,NA,"P. Fiaschi","2002","09","18","Brazil","Bahia","Jussari","Fazenda São Roque, 2.5 km N da estrada de Palmeira a Itajú de Colônia","-39.57","-15.13",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112581","NY01112581_01","1064",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","687034","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","M. das G. L. Wanderley",NA,NA,NA,"W. Ganev","1994","01","12","Brazil","Bahia","Abaíra","Serra do Rei","-41.9","-13.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687034","NY00687034_01","2793","1600","1600",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","873329","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","L. B. Smith",NA,NA,NA,"H. S. Irwin","1968","02","25","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 20km N. of Sêrro on road (MG 2) to Diamantina.","-43.57","-18.55",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873329","NY00873329_01","20853","1200","1200",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","873331","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","L. B. Smith",NA,NA,NA,"H. S. Irwin","1970","03","28","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 5 km N. of São João da Chapada, road to Inhaí","-43.7533","-18.0359",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873331","NY00873331_01","28528","1200","1200",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
