"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","continentOcean","individualCount","yearIdentified","monthIdentified","county"
"1","2021-03-01 16:35:05-03","UNICAMP","UEC","150318","S","Plantae","Magnoliopsida","Melastomataceae","Pleroma","petiolatum","Pleroma petiolatum","(R.Romero & A.B.Martins) P.F.J. Guim. & Michelang.","holotypus","Romero, R; Semir, J; Goldenberg, R; Dutilh, JHA; Belinello, R","5131","1998","02","13","Brazil","Minas Gerais","Estrada Furnas - Capitólio, ca. de 15 km após a ponte da represa de Furnas, beira da estrada","Arbusto, ca. 0,7 m. Brácteas marrons, glutinosas. Hipanto vinho. Corola púrpura. Filetes vináceos. Anteras mais claras. Estilete vináceo e creme no ápice. Planta glutinosa; Afloramentos rochosos, lado direito da estrada","UEC055429","UEC055429",NA,NA,NA,NA,NA,NA
"2","2020-07-27 10:53:00-03","MO","MOBOT","101209560","PreservedSpecimen","Plantae",NA,"Melastomataceae","Pleroma","petiolatum","Pleroma petiolatum","(R. Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Holotype","Rosana Romero|João Semir|Renato Goldenberg|J. H. A. Dutilh","Romero 5131","1998","2","13","Brazil","Minas Gerais","Estrada Furnas–Capitão, c. de 15 km após a ponte da represa de Furnas, beira da estrada, afloramentos rochosos, lado direito da estrada",NA,NA,NA,"fide Guimarães et al.","South America","1",NA,NA,NA
"3","2021-02-05 11:38:48-03","UFU","HUFU","42869","S","Plantae",NA,"Melastomataceae","Pleroma","petiolatum","Pleroma petiolatum","R.Romero & (A.B. Martins) & P.J.F. Guim. & Michelang.",NA,"Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Rezende, T.M. & Hattori, E.K.O.","3905","2005","09","29","Brasil","Minas Gerais","Região da Represa de Furnas., Paraíso Perdido, Córrego Quebra-Anzol, 4,5 km da rodovia MG 050.","Arbusto ca. de 0,2 m. Frutos secos.; Beira do ribeirão.","HUFU00037057",NA,"Romero, R.",NA,NA,"2007","07",NA
"4","2021-02-05 11:38:48-03","UFU","HUFU","57976","S","Plantae",NA,"Melastomataceae","Pleroma","petiolatum","Pleroma petiolatum","R.Romero & (A.B. Martins) & P.J.F. Guim. & Michelang.","Isotype","Romero, R.; Semir, J.; Goldemberg, R.; Dutilh, J. & Belinello, R.","5131","1996","11","13","Brasil","Minas Gerais","Estrada Furnas - Capítólio, Estrada Furnas - Capítólio, ca de 15 km após a ponte da represa de Furnas. Beira de estrada.","Isotype.; Arbusto, ca. de 0,7 m. Brácteas marrons, glutinosas. Hipanto vinho. Corola púrpura. Filetes vináceos, anteras mais claras. Estilete vináceo e creme no ápice. Planta glutinosa.; Afloramento rochoso.","HUFU00070332",NA,"Romero, R.",NA,NA,"2003","01","Furnas"
