"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:20-03","UNESC","CRI","2648","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra","(Spreng.) Yakovlev","Smith, S. F.","1992","klein, R. M.; Klein, M. M.","1972","11","12","Brasil","Santa Catarina","Navegantes","-48.655","-26.894722","48º39'18''W","26º53'41''S","CRI003164","CRI003164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684834","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra","(Spreng.) Yakovlev","V. de F. Mansano",NA,"E. Pereira","1941","07","26","Brazil","Rio de Janeiro",NA,"-43.36594","-23.011012",NA,NA,"NY00684834","NY00684834_01","Magnoliophyta","Fabales","2","South America","Restinga da Barra da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881555' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02861576","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra","(Spreng.) Yakovlev",NA,NA,"A. D. Mattedi","2013","07","05","Brazil","Rio de Janeiro","São João da Barra","-41.0411111","-21.7561111",NA,NA,"NY02861576","NY02861576_01","Magnoliophyta","Fabales","339","South America","RPPN Fazenda Caruara. RPPN Fazenda Caruara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196295' target='other'> <mi>dwc_moreinfo</mi></a>","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-07 11:47:00-02","NY","NYBG","1127849","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra",NA,NA,NA,"E. P. Heringer","1946","10","16","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01127849","NY01127849_01","Magnoliophyta","Fabales","2441","South America","Estação Exp. do café Coronel Pacheco.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271453' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 11:49:00-02","NY","NYBG","684829","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra",NA,"V. de F. Mansano",NA,"Z. A. Trinta","1964","09","20","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00684829","NY00684829_01","Magnoliophyta","Fabales","886","South America","Prope Bonfim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:15:00-02","NY","NYBG","778675","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra",NA,"V. de F. Mansano",NA,"J. M. A. Braga","2001","10","06","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00778675","NY00778675_01","Magnoliophyta","Fabales","6827","South America","Mun. de São Francisco de Itabapoana, Mata do Carvão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796678' target='other'> <mi>dwc_moreinfo</mi></a>","20","40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 11:49:00-02","NY","NYBG","684828","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra",NA,"V. de F. Mansano",NA,"G. F. J. Pabst","1957","08",NA,"Brazil","Rio de Janeiro",NA,"-43.209611","-22.804901",NA,NA,"NY00684828","NY00684828_01","Magnoliophyta","Fabales","4321","South America","Guanabara, Ilha do Governador","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881457' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-07 11:41:00-02","NY","NYBG","01096449","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra",NA,"H. C. de Lima",NA,"H. G. Dantas","2003","08","29","Brazil","Rio de Janeiro","Armação dos Búzios","-41.9611","-22.7406",NA,NA,"NY01096449","NY01096449_01","Magnoliophyta","Fabales","HGD-PG43","South America","Praia da Gorda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:03:00-02","NY","NYBG","623593","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra",NA,"R. C. Barneby",NA,"J. R. Pirani","1993","05","15","Brazil","Rio de Janeiro","Cabo Frio","-42.0183","-22.8794",NA,NA,"NY00623593","NY00623593_01","Magnoliophyta","Fabales","2880","South America","Armaçao dos Búzios. Estrada para a Praia de Tucuns.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528549' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","623590","PreservedSpecimen","Plantae","Fabaceae","Zollernia","glabra","Zollernia glabra","(Spreng.) Yakovlev","V. de F. Mansano",NA,"Schott",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00623590","NY00623590_01","Magnoliophyta","Fabales","4300","South America","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528553' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
