"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","class","order","scientificNameAuthorship","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","infraspecificEpithet","phylum","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:35:53-03","E","E","334768","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen, Troels Myndel","7746","1966","04","11","Temperate South America","AR","Provincia de Corrientes","Dep. Concepcíon; Paso Puc?","herbarium specimen of unspecif","BGBASE:361329","<a href=http://data.rbge.org.uk/herb/E00334768 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:53-03","E","E","334767","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Gourlay, William Balfour",NA,"1905","03","22","Temperate South America","AR","Provincia de Córdoba","Córdoba","herbarium specimen of unspecif","BGBASE:361328","<a href=http://data.rbge.org.uk/herb/E00334767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:53-03","E","E","334770","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella",NA,NA,NA,NA,NA,"Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361331","<a href=http://data.rbge.org.uk/herb/E00334770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:53-03","E","E","334771","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Tweedie, John",NA,NA,NA,NA,"Temperate South America","AR",NA,"Fort Argentino, near buenos Ayres in Entre Ríos","herbarium specimen of unspecif","BGBASE:361332","<a href=http://data.rbge.org.uk/herb/E00334771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:53-03","E","E","334769","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella",NA,NA,NA,NA,NA,"Temperate South America","AR",NA,"Aguadita","herbarium specimen of unspecif","BGBASE:361330","<a href=http://data.rbge.org.uk/herb/E00334769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696444","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Fiebrig K",NA,"1904","01","01","Southern America","Bolivia",NA,"Tarija.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696444 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696444","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:54:30-03","NBC","NL-BOTANY","AMD.23343","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Herter WG",NA,"1927","11","01","Southern America","Uruguay",NA,"Plantae Uruguayenses. Dep. de Rio Negro. Bote.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.23343 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD23343","Magnoliopsidae","Caryophyllales","Mart.","NL-AMD23343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696377","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen TM",NA,"1966","04","11","Southern America","Argentina",NA,"Groves of Caranday-palms. Paso Pucú, Dep. Concepción, prov. Corientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696377","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696378","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Morel I",NA,"1946","11","19","Southern America","Argentina",NA,"Gob. Formosa. Dep. Pilcomayo, Ruta 11, Clorinda a Formosa-Km.4.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696378","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696379","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Morel I",NA,"1946","11","19","Southern America","Argentina",NA,"Gob. Formosa. Dep. Pilcomayo, Ruta 11, Clorinda a Formosa-Km.4.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696379","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
