"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","locality","imagecode","year","month","day","fieldNumber","identifiedBy","class","individualCount","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","sex"
"1","2020-09-23 10:40:18-03","E","E","259431","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","syntype","Gardner, George","5149","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:270825","<a href=http://data.rbge.org.uk/herb/E00259431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355522","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","isosyntype","G. Gardner","5149","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355522","Magnoliophyta","Laurales","Meisn.","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","NY00355522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","355523","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","isosyntype","G. Gardner","5149","South America","Brazil","Minas Gerais","sheet",NA,"Shuttl. 1842. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355523","Magnoliophyta","Laurales","Meisn.","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","NY00355523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:11:58-03","ESALQ","ESA","483","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa",NA,"Souza, R.",NA,NA,"Brasil",NA,NA,NA,NA,"ESA000483","Magnoliophyta",NA,NA,NA,NA,"1915","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:20-02","BGBM","B","B 10 0185137","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","isosyntype","Gardner","5161","Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185137 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185137",NA,NA,"Meisn.","Minaes Geraes.","B100185137 B100185137_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:20-02","BGBM","B","B 10 0185138","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","isosyntype","Gardner","5149","Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185138 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185138",NA,NA,"Meisn.","Minaes Geraes.","B100185138 B100185138_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-29 05:26:27-03","MNHN","RECOLNAT_MNHN_P","P00745183","PreservedSpecimen",NA,"Lauraceae","Nectandra","venulosa","Nectandra venulosa","isosyntype","Gardner, G.",NA,NA,"Brésil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745183' target='other'> <mi>dwc_moreinfo</mi></a>","P00745183",NA,NA,"Meisn.","Minas Geraes","P00745183_01",NA,NA,NA,"5149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-02-25 13:47:41-03","MNHN","RECOLNAT_MNHN_P","P00745184","PreservedSpecimen",NA,"Lauraceae","Nectandra","venulosa","Nectandra venulosa","isosyntype","Gardner, G.",NA,NA,"Brésil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745184' target='other'> <mi>dwc_moreinfo</mi></a>","P00745184",NA,NA,"Meisn.","Minas Geraes","P00745184_01",NA,NA,NA,"5149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 19:11:44-03","MNHN","RECOLNAT_MNHN_P","P02006911","PreservedSpecimen",NA,"Lauraceae","Nectandra","venulosa","Nectandra venulosa",NA,"Gardner",NA,NA,"Brasil","Minas Gerais","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02006911' target='other'> <mi>dwc_moreinfo</mi></a>","P02006911",NA,NA,"Meisn.",NA,"P02006911_01",NA,NA,NA,"5149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2011-02-10 10:41:00-02","MO","MOBOT","1819276","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa",NA,"George Gardner","Gardner 5149","South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Meisn.",NA,NA,"1842",NA,NA,NA,"J.G. Rohwer (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","1067031","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","Isosyntype","G. Gardner","5149","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US00099298",NA,"Laurales","Meisn. in DC.",NA,"US00099298_01",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA
