"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","recordNumber","continentOcean","coordinatePrecision","imagecode","geoFlag","class","order"
"1","2020-11-13 09:20:23-03","UFRJ","RFA","25699","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","estrellensis","Marlierea estrellensis","O.Berg","G. M. Barroso","2001","01","26","A. Quinet","2000","11","25","Brasil","Rio de Janeiro","Magé","Distrito de Piabetá.","-43.124444","-22.573333","43º7'28''W","22º34'24''S","290","290","Árvore, 7 m de altura, DAP 27 cm, folha verde discolor, comum no local.","RFA42066",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 16:36:59-03","UNESP-IBB","BOTUW","861","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","estrellensis","Marlierea estrellensis","O. Berg.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667","40°32'W","19°52'S",NA,NA,NA,"BOTUW000861",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:39:17-03","UFMG","BHCB","20527","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","estrellensis","Marlierea estrellensis","O.Berg",NA,"1990","07","17","Folli, DA","1981","06","02","Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Est. GAVEA, ant. X-2, Km 19,868, lado esquerdo. Floresta alta.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"Árvore, +/- 17m de altura e fuste de +/- 12m, DAP 19cm. Com flor branca e botão verde-claro. Fuste cilíndrico e casca lisa.","BHCB010844","Dicotyledon","319","Southern America","48094","BHCB010844","auto",NA,NA
"4","2021-02-25 10:13:08-03","CVRD","CVRD","15776","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","neoestrellensis","Myrcia neoestrellensis","E. Lucas & C. E. Wilson","Eve Lucas","2020","02","20","Siqueira, G.S.","2017","09","12","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"30","30","Col. Adic. : Niel, Celivaldo, Jonatas <ll>dwc_commonname:</ll> Araçá rei","CVRD015776","Magnoliophyta","1190","América do Sul","48094",NA,"auto","Magnoliopsida","Myrtales"
"5","2021-02-25 10:13:08-03","CVRD","CVRD","771","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","neoestrellensis","Myrcia neoestrellensis","E. Lucas & C. E. Wilson","Eve Lucas","2020","02","20","Folli, D.A.","1981","06","02","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Araçá rei","CVRD000771","Magnoliophyta","319","América do Sul","48094","CVRD000771","auto","Magnoliopsida","Myrtales"
"6","2019-11-13 11:27:06-03","USP","SPF","226426","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","neoestrellensis","Myrcia neoestrellensis","E.Lucas & C.E.Wilson","Santos, MF","2018","08",NA,"Folli, DA","1991","11","27","Brasil","Espírito Santo","Linhares","Reserva Natural Vale","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"SPF00226426",NA,"1507",NA,"48094",NA,"auto",NA,NA
"7","2019-11-13 11:27:06-03","USP","SPF","226422","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","neoestrellensis","Myrcia neoestrellensis","E.Lucas & C.E.Wilson","Santos, MF","2018","08",NA,"Folli, DA","1981","06","02","Brasil","Espírito Santo","Linhares","Reserva Natural Vale","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"SPF00226422",NA,"319",NA,"48094",NA,"auto",NA,NA
"8","2017-09-11 17:11:15-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Myrtaceae","Marlierea","estrellensis","Marlierea estrellensis","O.Berg",NA,NA,NA,NA,"Beyrich, HC",NA,NA,NA,"Brazil","Rio de Janeiro","Petrópolis","In silvis montium S. d'Estrella prope Corr. Seco (Petropolin)","-43.1786","-22.505",NA,NA,NA,NA,NA,NA,NA,"s.n.","Southern America","36524","P14P1N0014","auto",NA,NA
