"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","county","locality","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","229402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin","isosyntype","Martii Herbar. Florae Brasil.","944","1841","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229402","NY00229402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","229403","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin","isosyntype","Martii Herbar. Florae Brasil.","944","1841","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229403","NY00229403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00925322","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin",NA,"R. Romero","2565","1995","South America","Brazil","Minas Gerais","-46.522778","-20.301513","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925322","NY00925322_01","R. Romero","07","17","São Roque de Minas","Cachoeira da Casca D'Anta, PARNA Serra da Canastra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01318275","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin",NA,"M. K. Caddah","425","2009","South America","Brazil","Minas Gerais","-46.5258","-20.3074","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318275","NY01318275_01","M. K. Caddah","03","27","São Roque de Minas","Parque Nacional da Serra da Canastra, trilha para Cachoeira Casca d'Anta, parte baixa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925323","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin",NA,"J. N. Nakajima","2424","1997","South America","Brazil","Minas Gerais","-46.522778","-20.301513","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925323","NY00925323_01","R. Romero","04","20","São Roque de Minas","Trilha da Cachoeira da Casca D'Anta, PARNA Serra da Canastra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3910042","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin",NA,"R. Romero","5279","1998","South America","Brazil","Minas Gerais","-43.6918983459473","-20.5207996368408","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451072' target='other'> <mi>dwc_moreinfo</mi></a>","NY03910042",NA,NA,"05","26","Ouro Branco","Serra de Ouro Branco, subida para o Cruzeiro, próximo ao topo da serra.","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1795753","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin",NA,"R. Goldenberg","1495","2011","South America","Brazil","Minas Gerais","-43.4152984619141","-19.959400177002","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024132' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795753",NA,NA,"01","21","Santa Bárbara","Cracça' Banhos do Belchior","33136","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:39-03","EAO","IAN","41206","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin",NA,"Martins-da-Silva, RCV","944",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN041206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:04:29-03","NBC","NL-BOTANY","L 0649888","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin","syntype","Claussen P",NA,"1841","Southern America","Brazil","Minas Gerais",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200649888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0649888","NL-L0649888","Goldenberg R","01","01",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:04:29-03","NBC","NL-BOTANY","L 0649889","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","tentaculifera","Miconia tentaculifera","Naudin","isolectotype","Martius CFP von",NA,NA,"Southern America","Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200649889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0649889","NL-L0649889","Goldenberg R",NA,NA,NA,"Martii.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
