"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","873350","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","L. B. Smith","H. S. Irwin","8681","1965","09","26","South America","Brazil","Distrito Federal","Brasília","Córrego Gama, between Gama and Brasília, near road to Anápolis","-47.8","-15.95","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873350","NY00873350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873351","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","L. B. Smith","H. S. Irwin","10137","1965","11","10","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, 25 km S. of Brasília","-48.05","-16.03","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873351","NY00873351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873349","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","E. Pereira","G. G. Hatschbach","41631","1978","10","21","South America","Brazil","Minas Gerais","Grão Mogol","Corrego do Pasto","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873349","NY00873349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:12:17-03","NBC","NL-BOTANY","WAG.1456206","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"Hatschbach GG",NA,"1978","10","21","Southern America","Brazil",NA,NA,"Correga do Pasto (mun. Grão Mogol). Minas Gerais.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1456206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1456206","NL-WAG1456206","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:59-03","MN","R","213586","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","Saraiva, D.P.","Moura, R. 636; Oliveira, A.",NA,"2012","08","09",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"R010006908",NA,NA,"2012","01","09","67219","auto",NA,NA,NA,NA,NA
"6","2016-02-02 14:37:51-02","BGBM","B","B 10 0157397","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei",NA,NA,"F. Markgraf, A. C. Brade & H. L. de Mello Barreto","3918",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Minas Geraes: Montes Claros Corryo das Mortes südlich von Grão Mogol, auf Felsen im Fluß; 700 m ü.d.M.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100157397 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157397","B100157397 B100157397_1",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA
"7","2020-12-21 16:19:27-03","MBM","MBM","59891","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgraf","Pereira, E.","Hatschbach, G.; Kasper, A.; Kasper, A.","41631","1978","10","21","Southern America","Brazil","Minas Gerais","Grão Mogol","Córrego do Pasto","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM059891","MBM059891",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"8","2020-12-21 16:19:27-03","MBM","MBM","314194","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgraf","Forzza, R.C.","Forzza, R.C.; et al.; et al.","3760","2004","12","19","Southern America","Brazil","Minas Gerais","Grão Mogol","Na margem do Ribeirão dos Bois","-42.8897018432617","-16.5594005584717","890","890",NA,"Erva na margem do curso dágua. Folhas discolores, glaucas na face abaxial. Frutos castanhos","MBM314194","MBM314194",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"9","2015-09-03 21:18:17-03","MNHN","RECOLNAT_MNHN_P","P01678071","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil. . Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb","Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821 . . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01678071' target='other'> <mi>dwc_moreinfo</mi></a>","P01678071","P01678071_01",NA,NA,NA,NA,NA,NA,NA,"B1 2026",NA,NA,NA
"10","2015-09-03 21:18:17-03","MNHN","RECOLNAT_MNHN_P","P01678072","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil, Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb","Voyage d' Auguste de Saint-Hilaire, de 1816 à 1821. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01678072' target='other'> <mi>dwc_moreinfo</mi></a>","P01678072","P01678072_01",NA,NA,NA,NA,NA,NA,NA,"B1 2026",NA,NA,NA
