"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","297952","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira","isotype","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297952","NY00297952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921468","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"P. K. H. Dusén","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281523' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921468","NY01921468_01","18022","1916","03","27","Paraná","Jaguariahyva","-49.713647","-24.340602","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921470","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"W. R. Anderson","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921470","NY01921470_01","10223","1973","05","14","Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","-48.8086","-15.78805","1250","1300","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1921294","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"J. M. Pires","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921294","NY01921294_01","58120","1964","07","02","Goiás","Bahia. Alvorada, a 270 km de Brasília para Fortaleza. Rio Corrientes","-46.4919","-14.4808",NA,NA,"Alvorada do Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1921473","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"A. Macedo","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921473","NY01921473_01 NY01921473_02","712","1945","09","19","Minas Gerais","Pirai.","-49.465","-18.9692",NA,NA,"Ituiutaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1921296","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"E. P. Heringer","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921296","NY01921296_01","10738","1965","10","16","Goiás","120 km. de Formosa Goias.","-47.0503","-14.4486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1921305","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"S. A. Mori","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921305","NY01921305_01","9525","1978","03","05","Bahia","Km 10 da estrada que liga Poçoes (BR-116) ao povodao de Bom Jesus da Serra (ao W de Poçoes)","-40.3653","-14.5297","750","750","Poçoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","04176956","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.",NA,NA,"T. J. Killeen","South America","Bolivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500047' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176956",NA,"1076","1985","07","24","Santa Cruz","Zapoco, an Ayoreo community 90 km SE of Concepcion","-61.67","-16.55","450",NA,"Ñuflo de Chávez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1921469","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"J. N. Rose","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281524' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921469","NY01921469_01","19941","1915","06","19","Bahia","Vicinity of Machado Portello","-40.5306","-13.0033",NA,NA,"Marcionílio Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1921298","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"H. S. Irwin","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194544' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921298","NY01921298_01","8361","1965","09","16","Distrito Federal","Córrego Capoeira do Bálsamo, ca. 10 km. E. of Brasília","-47.9294","-15.7797","1100","1100","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","440239","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","F. Markgraf",NA,"R. Reitz","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440239",NA,"320","1948","11","04","Santa Catarina","Azambuja, Brusque","-48.910147","-27.126635","35","35","Brusque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1921472","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"G. M. Nunes","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921472","NY01921472_01","22517","1927","10","24","Rio de Janeiro","Posse, Avellar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1921295","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"W. R. Anderson","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921295","NY01921295_01","9178","1973","04","19","Minas Gerais","13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","-44.45237","-15.56637","575","575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1921471","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"G. G. Hatschbach","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281526' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921471","NY01921471_01","38929","1976","10","04","Goiás","Rio Corumba.","-48.1594","-17.7219",NA,NA,"Ipameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1921467","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"S. A. Mori","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921467","NY01921467_01","10061A",NA,NA,NA,"Bahia","Rod. BA-026, a 6 Km a SW de Maracás","-40.4306","-13.4411","900","900","Maracás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","440238","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","G. G. Hatschbach",NA,"G. G. Hatschbach","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440238",NA,"45258","1982","09","03","Paraná","Mergulhao","-48.7117","-25.4286","100","100","Antonina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1921474","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"E. P. Heringer","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921474","NY01921474_01","10746","1965","10","25","Distrito Federal","Catetinho.","-47.9296989440918","-15.7797002792358",NA,NA,"Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1921476","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"E. P. Heringer","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921476","NY01921476_01 NY01921476_02","10746","1965","10","25","Distrito Federal","Catetinho.","-47.9296989440918","-15.7797002792358",NA,NA,"Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1921475","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"E. P. Heringer","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921475","NY01921475_01","10671","1965","10","12","Distrito Federal","County Club","-47.9296989440918","-15.7797002792358",NA,NA,"Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1921466","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"P. K. H. Dusén","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921466","NY01921466_01","13116","1911","10","01","Paraná",NA,"-49.7057991027832","-24.2511005401611",NA,NA,"Jaguariaíva","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1921297","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll.Arg.","W. Marcondes-Ferreira",NA,"H. S. Irwin","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921297","NY01921297_01","9306","1965","10","19","Goiás","Chapada dos Veadeiros, ca. 12 NW of Veadeiros","-47","-14","1200","1200","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","298002","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","warmingii","Aspidosperma warmingii","Müll.Arg.",NA,"isotype","J. E. B. Warming","South America","Brazil","sheet","Comm. ipse 1870 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298002","NY00298002_01",NA,NA,NA,NA,"Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","33335","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Mull.Arg.",NA,NA,"Alves, D.M.",NA,"Brasil",NA,NA,"BOTU033335",NA,"3","2017","10","31","São Paulo","Sítio Kataoka","-47.641111","-23.641667",NA,NA,"Salto de Pirapora",NA,NA,"47°38'28w","23°38'30s",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-13 09:18:50-03","UFRJ","RFA","19123","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Muell. Arg.","L.B. Smith",NA,"G.G. Hatschbach",NA,"Brasil",NA,"Árvore lacticifera; flor creme","RFA35631",NA,"8253","1961","09","12","Paraná",NA,"-49.261100769043","-24.823600769043",NA,NA,"Cerro Azul","32006","auto",NA,NA,"1962",NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:16:37-03","NBC","NL-BOTANY","L.2694310","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","F.Muell.",NA,NA,"Hatschbach GG","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2694310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2694310","NL-L2694310",NA,"1961","09","12",NA,"Est. Parana(Brasil), mun. Cerro Azul, Cerro Azul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"26","2020-02-08 09:16:37-03","NBC","NL-BOTANY","L.4284118","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","F.Muell.",NA,NA,"Hatschbach GG","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4284118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4284118","NL-L4284118",NA,"1961","09","12",NA,"Est. Parana(Brasil), mun. Cerro Azul, Cerro Azul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"27","2020-02-08 09:16:37-03","NBC","NL-BOTANY","U 0000465","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","F.Muell.",NA,"isotype","Riedel L","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000465","NL-U0000465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","94606 A",NA,NA,NA,NA
"28","2020-02-08 09:16:37-03","NBC","NL-BOTANY","U 0000466","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","F.Muell.",NA,NA,"Riedel L","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","94607 A",NA,NA,NA,NA
"29","2020-11-04 10:59:42-03","ESALQ","ESA","29166","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum",NA,"Ferreira Neto, W.M.",NA,"Ivanauskas, N.M.",NA,"Brasil",NA,NA,"ESA029166",NA,"760.0","1996","03","31","São Paulo",NA,"-47.8800010681152","-24.7099990844727",NA,NA,"Pariquera-Açu","17990","auto",NA,NA,"2004",NA,NA,NA,NA,NA,NA
"30","2020-11-04 10:59:42-03","ESALQ","ESA","130678","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Aspidosperma","camporum","Aspidosperma camporum","Müll. Arg.","Souza, V.C.",NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",NA,"Brasil",NA,"Árvore. Ca. 20m alt. Botões verdes. Látex alvo. Porto Real.","ESA130678",NA,"35881.0","2013","11","03","Rio de Janeiro","Fragmento 4700 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-44.2902984619141","-22.4197006225586",NA,NA,"Porto Real","9877","auto",NA,NA,"2013",NA,NA,NA,NA,NA,NA
