"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3962","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","tora","hirsuta","Cassia tora hirsuta","Chodat & Hassl.","isotype","E. Hassler","5071","South America","Paraguay","In campo Ipe hu, Sierra de Maracayú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003962","NY00003962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 19:07:00-03","NY","NYBG","1746625","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia",NA,NA,"I. G. Vargas Caballero","1758","South America","Bolivia","40 km al SW de Río San Martín.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1972211' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746625","NY01746625_01","R. C. Barneby","1992","10","26","Santa Cruz","Guarayos","-62.1","-14.5","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","515604","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia","(L.) H.S.Irwin & Barneby",NA,"G. G. Hatschbach","46345","South America","Brazil","Serra dos Pombos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00515604","NY00515604_01","R. C. Barneby","1983","05","14","Bahia","Anagé","-41.13","-14.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 19:07:00-03","NY","NYBG","1746736","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia",NA,NA,"R. L. Liesner","8784","South America","Venezuela","0-1 km S of San Carlos de Rio Negro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1979927' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746736","NY01746736_01","R. C. Barneby","1980","01","28","Amazonas",NA,"-67.05","1.85","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00979697","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia","(L.) H.S.Irwin & Barneby",NA,"H. S. Irwin","21780","South America","Brazil","Ca. 40 km S. of Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979697","NY00979697_01","H. S. Irwin; R. C. Barneby","1968","03","24","Goiás","Luziânia","-47.9503","-16.2525","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 19:41:00-03","NY","NYBG","1746774","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia",NA,NA,"R. D. Worthington","18219","South America","Trinidad and Tobago","St. Patrick Parish, Crown Point Store Bay area.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746774","NY01746774_01","R. C. Barneby",NA,NA,NA,"Tobago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00979668","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia","(L.) H.S.Irwin & Barneby",NA,"C. V. Mendonca","205","South America","Brazil","Faz. Montes Claros, Caratinga. Beira da mata do Jaó","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979668","NY00979668_01 NY00979668_02","R. C. Barneby","1992","02","23","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1746634","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia","(L.) H.S.Irwin & Barneby",NA,"T. J. Killeen","6325","South America","Bolivia","Reserva Forestal Bajo Paragua, 5 km al sur del Aserradero Cerro Pelado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1972937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746634","NY01746634_01","R. C. Barneby","1994","05","13","Santa Cruz","José Miguel de Velasco","-61.5","-14.55","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1075365","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia","(L.) H.S.Irwin & Barneby",NA,"G. T. Prance","12521","South America","Brazil","Rio Moa at Cachoeira Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477181' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075365",NA,"R. C. Barneby","1971","04","27","Acre","Mâncio Lima","-73.75","-7.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 19:40:00-03","NY","NYBG","1746746","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia",NA,"Senna obtusifolia",NA,NA,"G. S. Bunting","13190","South America","Venezuela","Dtto. Miranda-Bolívar: vía El Consejo de Ziruma- La Tabla (km 7 de la vía Pica-Pica)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1980078' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746746","NY01746746_01","R. C. Barneby","1983","11","04","Zulia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
