"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","individualCount","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","7942","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","blumenaviana","Mollinedia blumenaviana","Perkins","Vanilde Citadini- Zanette","2007","09","07","Beatriz Wessler; Bruna Alberton","2007","09","06","Brasil","Santa Catarina","Criciúma","SANTEC resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI004833","CRI004833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:35-03","UNESC","CRI","14968","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","blumenaviana","Mollinedia blumenaviana","Perkins","Peixoto, AL","2011","01","24","Korte, A.; Kniess, A.","2009","11","25","Brasil","Santa Catarina","Alfredo Wagner","Alto Limeirinha. Alto Limeirinha.","-49.500556","-27.630278","49º30'2''W","27º37'49''S","642","642","CRI014299","CRI014299","1017","Florística IFFSC 309 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:35-03","UNESC","CRI","14985","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Verdi, M","2010","10","14","Verdi, M.; Caglioni, E. & Martins, E.M.","2010","08","13","Brasil","Santa Catarina","Ituporanga","Rio do Norte. Rio do Norte.","-49.501667","-27.36","49º30'6''W","27º21'36''S","708","708","CRI014391","CRI014391","5300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:35-03","UNESC","CRI","9039","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","A. Korte","2009","10","21","A. Korte; A. Kniess","2009","10","21","Brasil","Santa Catarina","Vidal Ramos","Águas Frias.","-49.410556","-27.360556","49º24'38''W","27º21'38''S",NA,NA,"CRI004829","CRI004829","586","Floresta Ombrófila Densa Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:35-03","UNESC","CRI","3304","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004826","CRI004826","1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:35-03","UNESC","CRI","14976","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Sobral, M","2009","07","17","Dreveck, S.; Carneiro, F.E.","2009","03","28","Brasil","Santa Catarina","São Domingos","Parque das Araucárias. Parque das Araucárias.","-52.564167","-26.460556","52º33'51''W","26º27'38''S","749","749","CRI014394","CRI014394","768","Florística IFFSC 926(Arbusto) Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: arvoreta; Fruto roxo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","4576","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Vanilde Citadini- Zanette",NA,NA,NA,"Z. P. Topanotti","1995","10","26","Brasil","Santa Catarina","Criciúma","Universitário.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI004830","CRI004830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:35-03","UNESC","CRI","680","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","11","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004827","CRI004827","1030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:35-03","UNESC","CRI","11987","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Aline Votri Guislon & Guilherme Alves Elias","2016","09","19","Robson dos Santos; Vanilde Citadini-Zanette; Aline Votri Guislon; Peterson Teodoro Padilha & Daniela Pacheco","2016","09","09","Brasil","Santa Catarina","Criciúma","Mata da Satc","-49.370278","-28.678333","49º22'13''W","28º40'42''S","24.5","24.5","CRI010133","CRI010133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:35-03","UNESC","CRI","11972","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","clavigera","Mollinedia clavigera","Tul.","Martin Molz","2015","10","14","Karoline Ceron; San Custódio & Rafael Martins","2012","05","06","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010118","CRI010118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
