"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","yearIdentified","monthIdentified","dayIdentified","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00895592","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos","J. R. Swallen","L. B. Smith","11139","1957","02","09","South America","Brazil","Santa Catarina","Campos Novos","W. of C. 54 km. 9-52 km East of Campos Novos on the road to Curitibanos (92 km)","-51.2247","-27.4019","800","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895592","NY00895592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00864749","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos","T. de S. Filgueiras","H. S. Irwin","12994","1966","02","19","South America","Brazil","Distrito Federal","Brasília","Ca. 25 km S.W. of Brasília","-48.08168","-15.94305","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864749","NY00864749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00864751","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos",NA,"M. A. Chase","10844","1930","02","07","South America","Brazil","Mato Grosso do Sul","Campo Grande","Campo Grande","-54.6464","-20.4431","540","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864751","NY00864751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00864750","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos","T. de S. Filgueiras","H. S. Irwin","34469","1972","01","17","South America","Brazil","Goiás","Cocalzinho de Goiás","Falls of Rio Corumbá, ca. 12 km N. of Corumbá de Goiás","-48.7756","-15.7944","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864750","NY00864750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1147941","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos","T. de S. Filgueiras","T. C. Plowman","9098","1980","02","24","South America","Brazil","Pará","Conceição do Araguaia","Conceição do Araguaia, 2 Km west of town along highway PA-287. Growing in wet sand leading into gallery forest.","-49.3","-8.25","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147941","NY01147941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00864776","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos","M. A. Chase","G. Gardner","3500","1841",NA,NA,"South America","Brazil","Goiás",NA,"Prov. Goyaz, Brasilia Tropica",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864776","NY00864776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00864725","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","cinerascens","Paspalum cinerascens","(Döll) A.G.Burm. & C.N.Bastos","T. de S. Filgueiras","H. S. Irwin","16337","1966","05","31","South America","Brazil","Mato Grosso",NA,"Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864725","NY00864725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00895768","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","multinervium","Paspalum multinervium","A.G.Burm.","T. de S. Filgueiras","H. S. Irwin","11259","1965","12","13","South America","Brazil","Distrito Federal","Brasília","Vicinity of Paranoá","-47.8167","-15.8333","1025","1025","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895768","NY00895768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00895767","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","multinervium","Paspalum multinervium","A.G.Burm.","T. de S. Filgueiras","H. S. Irwin","12076","1966","01","28","South America","Brazil","Distrito Federal","Brasília","Ca. 25 km E. of Brasília","-47.68338","-15.7833","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895767","NY00895767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906119","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","multinervium","Paspalum multinervium","A.G.Burm.",NA,"E. P. Heringer","16838","1978","02","27","South America","Brazil","Distrito Federal","Brasília","Brasilia","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906119","NY00906119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
